event_id	loci	Proximal_Site	TCGA-CV-7235-01A-11R-2016-07	TCGA-CV-6962-01A-11R-1915-07	TCGA-HD-A6I0-01A-11R-A31N-07	TCGA-CV-7255-01A-11R-2016-07	TCGA-CV-6935-01A-11R-1915-07	TCGA-CV-6939-01A-11R-1915-07	TCGA-CV-7250-01A-11R-2016-07	TCGA-CV-6936-01A-11R-1915-07	TCGA-CV-6938-01A-11R-1915-07	TCGA-CV-7440-01A-11R-2132-07	TCGA-CV-7425-01A-11R-2081-07	TCGA-CV-7177-01A-11R-2016-07	TCGA-CV-6933-01A-11R-1915-07	TCGA-CV-6955-01A-11R-2016-07	TCGA-CV-7091-01A-11R-2016-07	TCGA-CV-6960-01A-41R-2016-07	TCGA-CV-7261-01A-11R-2016-07	TCGA-CV-7432-01A-11R-2132-07	TCGA-CV-7252-01A-11R-2016-07	TCGA-CV-6934-01A-11R-1915-07	TCGA-CV-7434-01A-11R-2132-07	TCGA-CV-7183-01A-11R-2016-07	TCGA-CV-6956-01A-21R-2016-07	TCGA-HD-A6HZ-01A-12R-A31N-07	TCGA-CV-7438-01A-21R-2132-07	TCGA-CV-7103-01A-21R-2016-07	TCGA-CV-7097-01A-11R-2016-07	TCGA-CV-7101-01A-11R-2016-07	TCGA-CV-6959-01A-11R-1915-07	TCGA-CV-7437-01A-21R-2132-07	TCGA-HD-8635-01A-11R-2403-07	TCGA-CV-7424-01A-11R-2081-07	TCGA-CV-7242-01A-11R-2016-07	TCGA-CV-7406-01A-11R-2081-07	TCGA-WA-A7GZ-01A-11R-A34R-07	TCGA-H7-A6C4-01A-11R-A30B-07	TCGA-CV-7178-01A-21R-2016-07	TCGA-CV-7238-01A-11R-2016-07	TCGA-CV-7423-01A-11R-2081-07	TCGA-CV-7245-01A-11R-2016-07	TCGA-CV-6943-01A-11R-1915-07	TCGA-CV-7416-01A-11R-2081-07	TCGA-CV-6961-01A-21R-1915-07
NM_016094|COMMD2|chr3|-	chr3:149456259-149459505	149458713	0.27	0.20	NA	0.34	0.62	0.71	0.28	0.41	0.48	0.29	0.38	0.39	0.28	0.44	0.22	0.22	0.24	0.42	0.37	0.61	0.44	0.39	0.53	0.32	0.58	0.33	0.38	0.24	0.33	0.23	0.33	0.28	0.36	0.42	0.28	0.35	0.44	0.30	0.27	0.31	0.46	0.40	0.24
NM_152388|TMEM237|chr2|-	chr2:202484942-202489045	202488571	0.09	NA	0.03	0.09	0.61	0.63	0.15	0.47	0.14	0.19	0.15	0.24	0.08	0.25	0.12	0.04	0.08	0.13	0.17	0.25	0.23	0.23	0.15	0.18	0.19	NA	0.29	0.14	0.12	0.14	0.17	0.14	0.12	0.26	0.10	0.11	0.19	0.10	0.19	0.12	NA	0.21	0.08
NM_170692|RASAL2|chr1|+	chr1:178442209-178448255	178443136	NA	0.36	NA	0.51	0.73	0.74	0.51	NA	NA	0.56	0.35	0.60	0.55	0.39	NA	0.44	0.35	0.53	0.59	0.74	NA	NA	0.61	0.54	0.75	0.43	0.63	0.39	0.56	0.34	0.61	NA	0.48	0.47	NA	0.57	0.54	0.51	NA	NA	0.56	0.62	0.48
NM_172037|RDH10|chr8|+	chr8:74235147-74237554	74236757	0.27	0.50	NA	0.48	0.70	0.48	0.42	0.64	0.65	0.48	0.44	0.43	0.36	0.49	0.45	0.53	0.36	0.34	0.60	0.61	NA	0.55	0.72	NA	0.72	0.73	NA	0.42	0.30	0.47	0.54	0.75	0.56	0.76	0.52	0.72	0.35	0.80	0.43	0.40	0.59	0.34	0.43
NM_032348|MXRA8|chr1|-	chr1:1286846-1289009	1288122	0.02	0.10	0.05	0.29	0.03	0.08	0.19	0.07	0.14	0.02	0.12	0.02	0.03	NA	0.05	0.02	0.03	0.04	0.02	0.01	0.09	0.16	0.03	0.06	0.05	0.02	0.02	0.06	0.07	0.06	0.04	0.02	0.07	0.04	0.21	0.26	0.02	0.12	0.07	0.02	0.03	0.02	0.04
NM_000430|PAFAH1B1|chr17|+	chr17:2585022-2588912	2585172	0.25	0.29	0.12	0.51	0.48	0.66	0.41	0.40	0.41	0.39	0.48	0.58	0.26	0.51	0.39	0.32	0.56	0.40	0.27	0.55	0.41	0.45	0.32	0.51	0.56	0.44	0.50	0.52	0.46	0.32	0.58	0.28	0.56	0.50	0.18	0.34	0.38	0.41	0.34	0.49	0.56	0.60	0.30
NM_007238|PXMP4|chr20|-	chr20:32290981-32295775	32295398	NA	0.24	0.17	0.30	0.44	0.55	NA	0.37	0.37	0.27	0.37	0.30	0.32	0.34	0.30	0.44	0.31	0.25	NA	0.43	0.41	0.22	0.43	NA	0.43	0.25	NA	0.30	0.33	0.25	NA	0.27	NA	0.47	0.40	NA	0.34	0.28	0.34	0.39	0.30	0.36	NA
NM_032012|TMEM245|chr9|-	chr9:111777405-111782785	111782462	0.35	0.41	0.18	0.63	0.72	0.79	0.59	0.60	0.55	0.53	0.60	0.61	0.35	0.60	0.40	0.32	0.49	0.58	0.39	0.65	0.70	0.57	0.59	0.67	0.67	0.40	0.77	0.56	0.57	0.27	0.61	0.33	0.47	0.56	0.35	0.60	0.48	0.56	0.46	0.57	0.63	0.57	0.40
NM_018179|ATF7IP|chr12|+	chr12:14650587-14655880	14651091	0.18	0.29	0.04	0.35	0.48	0.60	0.36	0.46	0.28	0.44	0.44	0.48	0.30	0.35	0.32	0.21	0.27	0.31	0.30	0.39	0.33	0.37	0.44	0.40	0.52	0.29	0.41	0.42	0.30	0.24	0.38	0.35	0.31	0.35	0.31	0.29	0.31	0.27	0.29	0.31	0.40	0.39	0.23
NM_006454|MXD4|chr4|-	chr4:2249175-2252428	2251977	0.38	0.45	0.05	0.82	0.66	0.79	0.34	0.69	0.81	0.60	0.67	0.87	0.41	0.36	0.42	0.34	0.57	0.48	0.56	0.88	0.59	0.58	0.91	0.60	0.74	0.43	0.72	0.45	0.39	0.65	0.84	0.64	0.48	0.56	0.58	0.55	0.94	0.39	0.78	0.48	0.51	0.73	0.50
NM_005342|HMGB3|chrX|+	chrX:150156249-150159234	150157047	0.29	0.34	0.15	0.19	0.34	0.32	0.25	0.62	0.32	0.12	0.18	0.20	0.19	0.23	0.14	0.17	0.28	0.13	0.29	0.21	0.25	0.35	0.13	0.39	0.20	0.19	0.21	0.31	0.12	0.31	0.18	0.28	0.20	0.50	0.23	0.28	0.36	0.26	0.23	0.22	0.21	0.24	0.18
NR_033721|DNAJC19|chr3|-	chr3:180701503-180702498	180702348	0.36	0.16	0.25	0.50	0.73	0.63	0.50	0.41	0.68	0.47	0.74	0.54	0.27	0.45	0.46	0.57	0.27	0.60	0.42	0.61	0.46	0.42	0.42	0.35	0.81	0.41	0.54	0.50	0.65	0.44	0.52	0.47	0.49	0.73	0.29	0.33	0.45	0.39	0.44	0.28	0.58	NA	0.32
NM_001135652|EIF2AK2|chr2|-	chr2:37332821-37334538	37333749	0.14	0.21	NA	0.42	0.61	0.63	0.22	0.35	0.21	0.39	0.36	0.45	0.22	0.39	0.33	0.23	0.38	0.29	0.24	0.48	0.30	0.42	0.45	0.24	0.41	0.21	0.47	0.31	0.45	0.26	0.35	0.13	0.35	0.37	0.31	0.28	0.44	0.21	0.30	0.25	0.45	0.54	0.26
NM_015060|AVL9|chr7|+	chr7:32623403-32628324	32623719	0.27	0.36	0.05	0.42	0.49	0.65	0.49	0.59	0.50	0.40	0.45	0.44	0.28	0.37	0.36	0.37	0.42	0.32	0.36	0.52	0.35	0.48	0.53	0.42	0.60	0.43	0.57	0.44	0.49	0.28	0.53	0.38	0.38	0.54	0.47	0.38	0.26	0.43	0.32	0.30	0.56	0.50	0.30
NM_144564|SLC39A3|chr19|-	chr19:2732544-2733483	2733303	0.51	0.39	0.82	0.20	0.47	0.38	0.47	0.27	0.26	0.20	0.29	0.24	0.36	0.33	0.47	0.58	0.29	0.32	0.43	0.28	0.52	0.21	0.24	0.32	0.32	0.53	0.23	0.53	0.44	0.28	0.39	0.45	0.46	0.46	0.47	0.27	0.26	0.63	0.24	0.28	0.55	0.40	0.49
NM_004577|PSPH|chr7|-	chr7:56078057-56079562	56079412	NA	0.30	0.64	NA	0.68	0.59	0.42	0.59	0.67	0.65	0.63	0.50	0.64	0.71	0.70	0.18	0.30	0.67	0.15	0.67	0.47	0.27	0.24	0.63	0.68	0.62	0.40	0.50	0.64	0.65	0.59	0.37	0.20	NA	0.43	0.67	NA	0.64	0.61	0.70	0.28	0.58	NA
NR_016021|TBRG1|chr11|+	chr11:124501988-124504509	124502228	0.20	0.20	0.04	0.29	0.60	0.37	0.28	0.28	0.40	0.34	0.46	0.46	0.19	0.33	0.26	0.27	0.24	NA	0.23	0.50	0.27	0.34	0.38	0.28	0.49	0.31	0.31	0.28	0.40	0.26	0.40	0.27	0.35	0.33	0.17	0.28	0.40	0.17	NA	0.26	0.37	0.46	0.25
NM_001134232|TMEM106B|chr7|+	chr7:12271462-12276894	12272490	0.26	0.31	NA	0.59	0.63	0.68	0.34	0.38	0.39	0.46	0.57	0.56	0.32	0.44	0.43	0.35	0.35	0.38	0.27	0.62	0.40	0.51	0.53	0.43	0.59	0.34	0.57	0.43	0.57	0.41	0.54	0.21	0.40	0.48	0.36	0.45	0.37	0.43	0.39	0.42	0.55	0.52	0.27
NM_018373|SYNJ2BP|chr14|-	chr14:70833210-70839848	70839405	0.35	0.43	0.12	0.40	0.59	0.58	0.40	0.42	0.27	0.38	0.35	0.52	0.43	0.41	0.54	0.30	0.52	0.32	0.38	0.41	0.33	0.47	0.48	NA	0.51	0.37	0.39	NA	0.44	0.23	0.51	NA	0.40	0.47	0.44	0.35	0.40	0.34	0.31	0.31	NA	0.36	0.34
NM_020728|ESYT2|chr7|-	chr7:158523675-158526943	158526570	0.39	0.38	0.31	0.50	0.79	0.75	0.51	0.68	0.57	0.53	0.56	0.62	0.41	0.64	0.48	0.33	0.40	0.46	0.49	0.70	0.48	0.60	0.66	0.69	0.73	0.54	0.64	0.48	0.42	0.35	0.51	0.61	0.63	0.66	0.41	0.57	0.50	0.48	0.50	0.49	0.59	0.58	0.46
NM_001253771|SYNCRIP|chr6|-	chr6:86317983-86322641	86321093	0.26	0.34	0.10	0.17	0.49	0.42	0.28	0.26	0.16	0.29	0.15	0.33	0.39	0.20	0.43	0.25	0.46	0.19	0.18	0.37	0.28	0.17	0.21	0.32	0.43	0.35	0.34	0.40	0.25	0.15	0.21	0.32	0.52	0.37	0.25	0.27	0.23	0.29	0.16	0.37	0.23	0.33	0.27
NM_001178142|TFDP2|chr3|-	chr3:141663293-141671538	141671352	0.14	0.12	0.02	0.18	0.24	0.38	0.14	0.17	0.11	0.13	NA	0.28	0.17	0.15	0.15	0.09	0.22	0.11	NA	0.31	0.11	NA	0.23	0.25	0.24	0.17	0.20	0.20	0.30	NA	0.41	0.13	0.23	0.16	0.13	NA	NA	0.14	0.16	0.12	NA	0.24	0.09
NM_003480|MFAP5|chr12|-	chr12:8798577-8800799	8800535	0.30	NA	0.03	0.15	0.32	0.34	0.20	NA	NA	0.19	NA	0.50	0.17	NA	0.25	0.17	0.25	NA	0.14	0.32	NA	0.25	0.19	0.19	0.30	0.38	0.25	0.39	0.25	0.12	0.38	0.34	0.20	0.28	0.18	0.25	0.35	0.25	0.23	0.18	0.27	0.29	0.21
NM_145254|TMEM170A|chr16|-	chr16:75477131-75481586	75481160	0.31	0.43	NA	NA	NA	0.65	0.43	0.58	0.40	0.55	0.55	0.42	NA	NA	NA	0.53	NA	0.28	0.39	NA	0.60	NA	0.63	NA	NA	0.35	0.43	0.43	0.49	NA	0.58	NA	NA	0.55	NA	0.43	0.47	NA	0.39	0.41	NA	0.48	0.41
NM_002936|RNASEH1|chr2|-	chr2:3589005-3593461	3593240	0.12	0.18	0.02	0.33	0.52	0.54	0.30	0.37	0.26	0.28	0.40	0.40	0.20	0.32	0.26	0.33	0.20	0.21	0.30	0.46	0.26	0.25	0.40	0.23	0.38	0.22	0.40	0.21	0.33	0.15	0.40	0.19	0.33	0.28	0.26	0.24	0.37	0.22	0.30	0.17	0.33	0.41	0.21
NM_007187|WBP4|chr13|+	chr13:41656839-41658037	41657106	NA	NA	0.26	0.35	NA	0.56	0.35	0.36	0.38	0.41	0.39	0.36	0.44	0.33	0.51	0.42	0.48	0.36	0.38	0.52	0.38	NA	0.36	0.40	0.46	0.52	0.46	0.42	0.40	0.28	0.45	0.48	0.45	0.58	0.31	0.47	0.32	0.40	0.23	0.30	0.48	NA	0.34
NM_177438|DICER1|chr14|-	chr14:95552546-95557000	95556709	0.31	0.38	0.08	0.56	0.63	0.64	0.55	0.64	0.48	0.53	0.79	0.61	0.53	0.56	0.50	0.52	0.46	0.63	0.61	0.63	0.35	0.60	0.65	0.62	0.65	0.47	0.77	0.42	0.65	0.31	0.78	0.41	0.60	0.53	0.52	0.66	0.35	0.44	0.52	0.45	0.64	0.61	0.45
NM_080626|BRI3BP|chr12|+	chr12:125509536-125515752	125510054	0.30	0.46	0.04	0.50	NA	0.74	0.47	0.62	0.50	0.47	NA	0.61	0.46	0.61	0.59	0.33	0.48	0.60	0.34	0.45	0.33	NA	0.67	0.77	0.48	0.30	0.50	0.53	0.50	0.37	0.53	0.34	0.40	0.64	0.60	NA	0.59	0.31	0.55	0.47	0.46	0.52	0.45
NM_032151|PCBD2|chr5|+	chr5:134296275-134298329	134296426	0.30	0.41	0.15	0.23	NA	0.62	0.43	0.66	0.45	NA	0.45	0.34	0.39	0.33	NA	0.47	0.28	0.27	NA	NA	NA	NA	NA	0.46	NA	0.33	NA	0.45	NA	0.35	0.53	NA	0.54	NA	NA	NA	0.40	0.36	0.35	0.43	NA	NA	0.39
NM_020132|AGPAT3|chr21|+	chr21:45402184-45407133	45404453	0.46	0.76	NA	NA	0.89	0.60	0.54	0.75	0.74	0.16	0.58	0.47	0.52	0.56	0.43	0.27	0.72	0.28	0.59	0.56	0.76	0.62	0.60	0.81	0.52	0.67	0.59	0.58	0.44	0.66	0.55	0.84	0.51	0.64	0.49	0.83	0.32	0.82	0.54	0.26	0.63	0.56	0.50
NM_001164446|C6orf132|chr6|-	chr6:42059868-42071616	42068992	0.25	0.19	0.28	0.33	0.40	0.29	0.32	0.22	0.16	0.14	0.67	0.34	0.22	0.25	0.26	0.14	0.31	0.17	0.25	0.16	0.18	0.39	0.25	0.43	0.14	0.26	0.19	0.59	0.14	0.28	0.31	0.24	0.14	0.30	0.53	0.16	0.20	0.24	0.51	0.27	0.18	0.19	0.28
NM_025179|PLXNA2|chr1|-	chr1:208195607-208200683	208200281	0.20	0.36	0.02	0.37	0.27	0.40	0.32	0.26	0.40	0.20	0.37	0.20	0.22	0.44	0.20	0.06	0.62	0.15	0.32	0.25	NA	NA	0.06	0.54	0.15	0.25	0.25	0.58	0.20	0.12	0.26	0.24	0.09	0.59	0.35	0.15	0.31	0.27	0.32	0.15	0.48	0.22	0.40
NM_031954|KCTD10|chr12|-	chr12:109886448-109889618	109887820	0.36	0.34	NA	0.63	0.63	0.72	0.73	0.58	0.59	0.56	0.61	0.58	0.44	0.57	0.60	0.47	0.43	0.52	0.46	0.68	0.57	0.65	0.82	0.76	0.79	0.74	0.57	0.46	0.46	0.41	0.63	0.85	0.54	0.54	0.40	0.70	0.55	0.74	0.47	0.51	0.50	0.50	0.36
NM_016033|FAM82B|chr8|-	chr8:87484282-87486587	87486437	0.54	0.39	0.13	0.64	0.92	0.80	0.46	0.72	0.62	0.62	0.53	0.57	0.49	0.53	0.43	0.53	0.31	0.65	0.43	0.86	0.62	0.56	NA	0.65	0.73	0.46	0.77	0.51	0.57	0.55	0.80	0.45	0.64	0.82	0.74	0.78	0.45	0.51	0.53	0.37	0.71	0.71	0.65
NM_153188|TNPO1|chr5|+	chr5:72204535-72210233	72206047	0.50	0.31	0.09	0.52	0.59	0.67	0.33	0.54	0.55	0.41	0.53	0.53	0.46	0.40	0.42	0.45	0.44	0.48	0.44	0.81	0.58	0.51	0.59	0.62	0.65	0.53	0.80	0.46	0.73	0.16	0.56	0.44	0.51	0.28	0.32	0.57	0.60	0.66	0.52	0.41	0.53	0.53	0.31
NM_203464|AK4|chr1|+	chr1:65691745-65697838	65692669	0.33	0.30	NA	0.52	0.73	0.55	0.30	0.63	0.45	0.33	0.46	0.52	NA	0.48	0.32	0.34	0.28	0.43	0.42	0.60	0.36	0.41	0.37	0.42	0.48	0.30	0.65	0.33	0.35	0.37	0.56	0.43	0.39	0.54	0.44	0.38	0.48	0.49	0.40	0.45	0.45	0.43	0.40
NM_015425|POLR1A|chr2|-	chr2:86250992-86254646	86253507	0.34	0.56	0.67	0.53	0.57	0.58	0.47	0.60	0.47	0.44	0.46	0.43	0.54	0.43	0.51	0.21	0.58	0.29	0.09	0.49	0.44	0.27	0.38	0.74	0.47	0.38	0.43	0.57	0.40	0.57	0.44	0.46	0.42	0.53	0.61	0.73	0.51	0.53	0.45	0.43	0.42	0.45	0.43
NM_003118|SPARC|chr5|-	chr5:151040994-151043160	151042084	0.12	0.12	0.40	0.06	0.11	0.15	0.13	0.15	0.14	0.09	0.17	0.20	0.13	0.16	0.08	0.06	0.16	0.14	0.11	0.13	0.09	0.11	0.13	0.16	0.14	0.15	0.11	0.14	0.10	0.15	0.12	0.19	0.13	0.12	0.11	0.10	0.13	0.13	0.15	0.14	0.14	0.12	0.12
NM_148177|FBXO32|chr8|-	chr8:124510128-124515702	124515452	0.17	0.15	0.03	0.23	0.17	0.32	0.09	0.20	0.13	0.13	0.27	0.31	0.13	0.12	0.24	0.12	0.33	0.11	0.21	0.22	NA	0.14	0.25	0.34	0.20	0.33	0.29	0.28	0.33	0.18	0.36	0.23	0.19	0.36	0.27	0.16	0.37	0.17	0.23	0.15	0.23	0.22	0.33
NM_014940|MON1B|chr16|+	chr16:77232004-77236311	77233408	0.31	0.41	NA	0.49	0.54	0.64	0.36	0.46	0.67	0.42	0.37	0.39	0.35	0.38	0.43	0.30	0.40	0.40	0.43	0.43	0.42	0.64	0.59	0.51	0.66	0.44	0.29	0.53	0.37	0.57	0.44	0.51	0.50	0.45	0.40	0.54	0.57	0.40	0.33	0.41	0.42	0.41	0.30
NM_001040445|ASB1|chr2|+	chr2:239355024-239360897	239355339	0.10	0.07	0.02	0.32	0.41	0.34	0.19	0.30	0.08	0.19	NA	0.31	0.13	NA	0.18	0.10	0.09	0.20	0.08	0.23	0.08	0.18	0.29	0.26	0.33	0.28	NA	0.16	0.33	0.13	0.54	0.10	0.16	0.33	0.16	0.27	0.16	0.24	0.24	0.19	0.14	0.34	0.16
NM_001185127|VAMP4|chr1|-	chr1:171669298-171673674	171673081	NA	0.24	NA	0.24	0.51	0.54	0.28	0.39	0.30	NA	0.37	0.41	0.27	NA	NA	0.22	0.29	0.26	0.21	0.42	NA	NA	NA	0.44	NA	0.27	NA	0.24	0.27	NA	0.34	0.34	NA	NA	NA	NA	0.23	NA	NA	0.24	NA	0.38	NA
NM_024731|KLHL36|chr16|+	chr16:84695183-84701287	84695820	0.24	0.25	0.03	0.65	0.73	0.57	0.41	0.51	0.21	0.53	0.51	0.64	0.37	0.41	0.39	0.23	0.26	0.27	0.17	0.29	0.13	0.44	0.53	0.45	0.57	0.43	0.51	0.42	0.60	0.35	0.62	0.25	0.27	0.48	0.50	0.30	0.51	0.32	0.43	0.45	0.28	0.73	0.38
NM_001031695|RBFOX2|chr22|-	chr22:36134765-36140296	36140119	0.47	0.35	0.05	0.56	0.68	0.78	0.34	0.65	0.48	0.48	0.55	0.54	0.40	0.28	0.38	0.35	0.38	0.45	0.47	0.64	0.57	0.52	0.61	0.49	0.63	0.29	0.68	0.49	0.55	0.31	0.59	0.27	0.42	0.48	0.48	0.45	0.60	0.42	0.53	0.43	0.55	0.71	0.42
