event_id	loci	Proximal_Site	TCGA-GC-A3BM-01A-11R-A22U-07	TCGA-CU-A0YN-01A-21R-A10U-07	TCGA-K4-A3WV-01A-11R-A22U-07	TCGA-GC-A6I3-01A-11R-A31N-07	TCGA-BT-A20R-01A-12R-A16R-07	TCGA-BT-A20W-01A-21R-A14Y-07	TCGA-BL-A13J-01A-11R-A277-07	TCGA-BL-A13J-01A-11R-A10U-07	TCGA-BL-A13J-01B-04R-A277-07	TCGA-K4-A54R-01A-11R-A26T-07	TCGA-BT-A20Q-01A-11R-A14Y-07	TCGA-BT-A2LA-01A-11R-A18C-07	TCGA-K4-A5RI-01A-11R-A28M-07	TCGA-BT-A20U-01A-11R-A14Y-07	TCGA-GD-A3OP-01A-21R-A220-07	TCGA-GD-A3OQ-01A-32R-A220-07	TCGA-CU-A0YR-01A-12R-A10U-07	TCGA-GD-A2C5-01A-12R-A180-07	TCGA-GC-A3WC-01A-31R-A22U-07	TCGA-BT-A20N-01A-11R-A14Y-07	TCGA-BT-A2LB-01A-11R-A18C-07
NR_046082|UBE2L3|chr22|+	chr22:21975803-21978326	21976113	0.38	0.24	0.28	0.17	0.28	0.26	0.20	0.28	0.36	0.21	0.33	0.58	0.27	0.46	0.47	0.38	0.32	0.25	0.31	0.21	0.29
NM_004804|CIAO1|chr2|+	chr2:96936848-96939886	96937270	0.47	0.35	0.19	0.13	0.54	0.54	0.36	0.36	0.70	0.20	0.44	0.57	0.45	0.37	0.62	0.50	0.34	0.27	0.51	0.28	0.36
NM_016422|RNF141|chr11|-	chr11:10533051-10536613	10536331	0.67	0.44	0.52	0.19	0.61	0.63	0.56	0.56	NA	0.42	0.70	0.63	0.62	0.69	0.81	0.70	0.86	0.47	0.67	0.56	0.58
NM_024583|SCRN3|chr2|+	chr2:175292440-175295128	175292897	0.41	0.23	0.13	0.20	0.32	0.14	NA	0.50	NA	0.27	NA	0.34	0.32	0.49	0.43	NA	0.25	0.16	0.41	0.35	NA
NM_005669|REEP5|chr5|-	chr5:112212091-112214532	112214382	0.37	0.13	0.21	0.05	0.28	0.20	0.29	0.21	0.58	0.13	0.29	0.17	0.36	0.32	0.43	0.26	0.23	0.18	0.20	0.15	0.17
NM_020347|LZTFL1|chr3|-	chr3:45865466-45867824	45867498	0.60	0.40	NA	0.18	0.48	0.35	0.42	0.42	NA	0.56	NA	0.43	0.46	0.57	0.65	0.54	0.49	0.39	NA	0.41	0.54
NM_020123|TM9SF3|chr10|-	chr10:98277888-98282087	98280476	0.25	0.08	0.11	0.24	0.13	0.14	0.11	0.09	0.16	0.18	0.15	0.17	0.19	0.17	0.23	0.14	0.12	0.18	0.13	0.11	0.13
NM_005885|MARCH6|chr5|+	chr5:10433705-10437972	10434035	0.49	0.26	0.28	0.08	0.37	0.32	0.43	0.41	0.72	0.23	0.43	0.48	0.29	0.56	0.54	0.41	0.44	0.22	0.42	0.25	0.31
NM_018299|UBE2W|chr8|-	chr8:74699702-74706350	74705376	0.42	0.30	0.25	NA	0.29	0.42	0.28	0.38	NA	0.29	0.36	0.29	0.40	0.27	0.40	0.32	NA	0.24	0.40	0.34	0.32
NM_001204255|SCARB2|chr4|-	chr4:77079875-77082904	77082689	0.72	0.46	0.44	0.09	0.59	0.46	0.49	0.68	0.93	0.41	0.76	0.65	0.65	0.63	0.68	0.65	0.65	0.46	0.60	0.48	0.54
NM_024632|SAP30L|chr5|+	chr5:153835459-153840596	153835656	0.26	0.13	0.07	0.01	0.14	0.16	0.27	0.20	NA	0.05	0.21	0.22	0.14	0.43	0.30	0.20	0.13	0.09	0.32	0.21	0.11
NM_004928|C21orf2|chr21|-	chr21:45749496-45750209	45749839	0.26	NA	0.94	0.12	0.29	0.45	NA	0.88	NA	0.40	0.24	0.61	0.16	0.23	0.37	0.36	0.32	0.25	0.41	0.72	0.21
NM_130834|OPA1|chr3|+	chr3:193412394-193415573	193412701	0.65	0.41	0.49	0.34	0.59	0.69	0.39	0.44	NA	0.39	0.55	0.63	0.56	0.66	0.66	0.66	0.61	0.50	0.57	0.51	0.67
NM_014034|ASF1A|chr6|+	chr6:119228566-119230655	119228900	0.33	0.23	0.22	0.27	0.31	0.18	0.30	0.31	NA	0.19	0.36	0.38	0.37	0.38	0.39	0.34	0.28	0.19	0.39	0.41	0.27
NM_001146273|TMEM64|chr8|-	chr8:91634113-91638090	91635946	0.30	0.38	NA	NA	NA	0.49	0.24	0.36	0.31	NA	NA	NA	NA	NA	0.37	0.35	0.37	NA	NA	0.31	0.75
NM_024594|PANK3|chr5|-	chr5:167975471-167984626	167984008	0.74	0.51	0.27	NA	0.23	0.72	0.62	0.59	0.76	0.21	0.65	0.18	NA	0.60	0.76	0.55	0.58	0.47	0.77	0.62	0.34
NM_019009|TOLLIP|chr11|-	chr11:1295412-1298483	1297930	0.57	0.39	0.30	0.13	0.36	0.67	0.41	0.45	NA	0.17	0.53	0.33	0.45	0.57	0.58	0.48	0.65	0.39	0.49	0.46	0.39
NM_201542|MED8|chr1|-	chr1:43849537-43850777	43850533	0.51	0.33	0.26	0.35	0.41	0.59	0.44	0.55	0.62	0.33	0.51	0.32	0.41	0.59	0.54	0.56	0.44	0.58	0.45	0.33	0.50
NM_001112736|FAM208A|chr3|-	chr3:56654121-56657871	56657051	0.50	0.37	0.41	NA	0.50	0.35	0.30	0.29	0.57	0.26	0.32	0.29	0.35	0.45	0.36	0.42	0.36	0.24	0.40	0.29	0.20
NM_005151|USP14|chr18|+	chr18:211132-212055	211282	0.88	0.88	0.96	1.00	0.94	0.93	0.82	0.82	NA	0.95	0.90	0.95	0.94	0.84	0.91	0.88	0.89	0.94	0.88	0.90	0.95
NM_001144968|NEDD4L|chr18|+	chr18:56063398-56068777	56063777	0.19	0.11	0.07	0.10	0.11	0.10	0.20	0.12	NA	0.04	0.17	0.18	0.16	0.25	0.31	0.18	0.17	0.09	0.22	0.08	0.10
NM_017653|DYM|chr18|-	chr18:46567861-46570574	46570205	0.43	0.17	0.14	0.06	0.16	0.15	0.32	0.17	NA	0.19	0.20	0.22	0.20	0.27	0.41	0.23	0.20	0.22	0.26	0.12	0.18
NM_003630|PEX3|chr6|+	chr6:143810279-143811122	143810460	0.35	0.23	0.23	0.15	0.41	0.30	NA	NA	NA	0.39	NA	0.25	0.36	0.34	0.32	0.38	0.28	0.41	0.23	0.23	0.31
NM_021940|SMAP1|chr6|+	chr6:71569902-71571715	71570849	0.52	0.57	0.29	NA	0.61	0.62	0.57	0.63	NA	0.41	0.53	0.65	0.62	0.67	0.68	0.80	0.47	0.43	0.62	0.60	0.72
NM_006785|MALT1|chr18|+	chr18:56414636-56421125	56415213	0.29	0.28	0.18	0.17	0.31	0.22	0.30	0.31	NA	0.17	0.31	0.28	0.26	0.28	0.31	0.29	NA	0.24	0.35	0.22	0.27
NM_032682|FOXP1|chr3|-	chr3:71003834-71008542	71005290	0.45	0.24	0.34	NA	0.63	0.48	0.15	0.24	NA	0.26	0.37	0.56	0.65	0.31	0.40	0.39	NA	0.43	NA	NA	0.58
NM_001931|DLAT|chr11|+	chr11:111933129-111935054	111934408	0.53	0.45	0.25	0.53	0.57	0.42	NA	0.38	NA	0.43	0.57	0.46	0.52	0.43	0.59	0.57	0.58	0.45	0.40	0.46	0.52
NM_005402|RALA|chr7|+	chr7:39745721-39747723	39745871	0.69	0.47	0.47	0.23	0.61	0.64	0.67	0.57	NA	0.61	0.74	0.78	0.56	0.70	0.72	0.72	0.59	0.50	0.64	0.49	0.60
NM_001256828|SMG6|chr17|-	chr17:1962248-1964916	1963182	0.13	0.26	0.09	NA	0.54	0.40	NA	0.35	NA	0.37	0.54	0.35	0.24	0.21	0.45	0.24	0.20	0.35	0.39	NA	0.44
NM_018003|UACA|chr15|-	chr15:70946940-70949466	70949307	NA	0.13	0.06	0.09	0.23	0.24	0.18	0.12	NA	0.22	0.26	0.19	0.21	0.18	0.36	0.28	0.24	0.23	0.23	0.13	0.14
NM_001177|ARL1|chr12|-	chr12:101786755-101789448	101789239	0.43	0.27	0.34	0.32	0.49	0.39	0.27	0.38	0.46	0.26	0.43	0.51	0.37	0.40	0.53	0.40	0.43	0.29	0.40	0.34	0.46
NM_001206652|SH3GLB1|chr1|+	chr1:87208810-87213881	87209211	0.40	0.18	0.09	0.02	0.16	0.22	0.42	0.24	0.61	0.11	0.29	0.19	0.21	0.35	0.42	0.30	0.27	0.11	0.30	0.18	0.13
NM_016094|COMMD2|chr3|-	chr3:149456262-149459505	149458704	0.50	0.32	0.24	NA	0.37	0.30	0.48	0.46	NA	0.35	0.48	0.35	0.39	0.48	0.60	0.41	0.42	0.32	0.51	0.24	NA
NM_001042533|MINA|chr3|-	chr3:97658431-97664186	97662069	0.27	0.18	0.19	0.23	0.19	0.26	0.21	0.18	NA	0.19	0.27	0.27	0.22	0.24	0.24	0.22	0.21	0.17	0.21	0.23	0.28
NM_001537|HSBP1|chr16|+	chr16:83845025-83846598	83845240	0.50	0.25	0.26	0.11	0.37	0.30	0.31	0.31	0.42	0.28	0.36	0.56	0.36	0.46	0.45	0.40	0.30	0.30	0.34	0.29	0.24
NM_005008|NHP2L1|chr22|-	chr22:42069947-42071199	42070897	0.33	0.35	0.22	0.34	0.35	0.32	0.22	0.34	0.42	0.18	0.41	0.65	0.37	0.56	0.46	0.37	0.26	0.24	0.40	0.30	0.34
NM_004871|GOSR1|chr17|+	chr17:28849271-28855325	28853630	0.30	NA	0.24	0.47	0.23	0.29	NA	0.20	NA	NA	0.24	0.30	0.30	0.21	0.27	0.20	0.30	0.39	0.23	0.16	0.25
NM_005729|PPIF|chr10|+	chr10:81113462-81115082	81114346	0.51	0.28	0.81	0.78	0.58	0.66	0.41	0.43	0.52	0.55	0.46	0.43	0.62	0.41	0.44	0.50	0.59	0.68	0.39	0.42	0.56
NM_000430|PAFAH1B1|chr17|+	chr17:2585022-2588918	2585172	0.60	0.44	0.24	0.13	0.42	0.38	0.40	0.40	0.74	0.24	0.54	0.51	0.46	0.64	0.68	0.59	0.50	0.25	0.53	0.33	0.37
NM_177952|PPM1A|chr14|+	chr14:60759170-60765868	60760002	0.19	0.10	0.11	0.03	0.12	0.14	0.30	0.16	0.40	0.08	0.18	0.11	0.13	0.20	0.21	0.15	0.17	0.12	0.18	0.14	0.07
NM_007275|TUSC2|chr3|-	chr3:50362338-50363617	50363463	NA	0.52	0.34	0.24	0.42	0.55	0.39	0.44	NA	0.66	0.58	0.69	0.39	0.50	0.65	0.49	0.54	0.34	0.66	0.44	0.53
NM_018066|GPN2|chr1|-	chr1:27202629-27206240	27205910	0.30	0.19	0.13	0.08	0.14	0.33	0.29	0.25	NA	0.20	0.30	0.25	0.15	0.25	0.30	0.21	0.24	0.27	0.28	0.22	0.11
NM_015387|MOB4|chr2|+	chr2:198415238-198418032	198415539	0.47	0.26	0.32	0.28	0.47	0.35	0.37	0.41	0.40	0.36	0.39	0.45	0.43	0.47	0.47	0.42	0.36	0.31	0.45	0.41	0.46
NM_032012|TMEM245|chr9|-	chr9:111777412-111782785	111782460	0.74	0.56	0.25	0.25	0.57	0.56	0.58	0.64	NA	0.28	0.67	0.19	0.56	0.66	0.82	0.67	0.75	0.52	0.73	0.46	0.58
NM_012412|H2AFV|chr7|-	chr7:44866446-44874161	44873885	0.18	0.07	0.04	0.01	0.07	0.11	0.18	0.08	0.22	0.04	0.09	0.12	0.07	0.15	0.15	0.11	0.14	0.04	0.09	0.08	0.04
NM_015247|CYLD|chr16|+	chr16:50830234-50835827	50830603	0.33	0.14	0.13	0.04	0.16	0.19	0.22	0.20	NA	0.09	0.25	0.11	0.19	0.26	0.31	0.24	0.19	0.13	0.21	0.15	0.14
NM_002154|HSPA4|chr5|+	chr5:132439924-132442110	132440127	0.25	0.12	0.10	0.04	0.11	0.15	0.21	0.17	0.38	0.07	0.29	0.30	0.15	0.36	0.40	0.27	0.19	0.12	0.20	0.16	0.14
NM_057175|NAA15|chr4|+	chr4:140309037-140312365	140310433	0.41	0.24	0.56	NA	0.57	0.50	0.33	0.44	NA	0.37	0.44	0.43	0.68	0.50	0.46	0.38	0.43	0.42	0.46	0.34	0.64
NM_013325|ATG4B|chr2|+	chr2:242611605-242613271	242612005	0.38	0.42	0.38	0.14	0.31	0.50	NA	0.56	NA	0.37	0.52	0.48	0.38	0.52	0.54	0.47	0.36	0.25	0.28	0.36	0.35
NM_002752|MAPK9|chr5|-	chr5:179660598-179663526	179662893	0.40	0.27	0.36	0.32	0.35	0.38	0.18	0.23	NA	0.20	0.37	0.38	0.38	0.37	0.41	0.38	0.39	0.28	0.36	0.33	0.34
NM_001695|ATP6V1C1|chr8|+	chr8:104080879-104085337	104081477	0.67	0.31	0.10	0.11	0.34	0.36	0.45	0.34	NA	0.22	0.47	0.42	0.42	0.54	0.55	0.44	0.43	0.38	0.41	0.34	0.35
NM_004782|SNAP29|chr22|+	chr22:21241966-21245528	21242128	0.39	0.20	0.16	0.12	0.24	0.14	0.32	0.28	0.58	0.13	0.32	0.28	0.33	0.17	0.39	0.13	0.23	0.17	0.29	0.22	0.18
NR_033721|DNAJC19|chr3|-	chr3:180701531-180702498	180702348	0.35	0.24	0.31	0.24	0.36	0.19	NA	0.35	NA	0.21	0.41	0.42	0.29	0.47	0.62	0.47	0.30	0.27	0.44	0.27	0.37
NM_014256|B3GNT3|chr19|+	chr19:17922379-17927549	17923864	0.34	0.37	NA	NA	0.20	0.53	0.21	0.24	0.37	0.19	0.32	NA	0.35	0.29	0.36	0.48	0.28	0.24	NA	0.16	0.19
NM_030813|CLPB|chr11|-	chr11:71996800-72004659	72004382	0.26	0.17	0.12	0.09	0.15	0.32	0.29	0.27	NA	0.10	0.25	0.51	0.19	0.24	0.30	0.15	0.20	0.14	0.28	0.39	0.14
NM_013374|PDCD6IP|chr3|+	chr3:33907842-33911196	33908365	0.23	0.07	0.11	0.09	0.20	0.14	0.28	0.18	0.50	0.09	0.20	0.14	0.21	0.21	0.21	0.18	0.16	0.12	0.15	0.13	0.10
NM_014704|CEP104|chr1|-	chr1:3728807-3732081	3731380	0.45	0.29	0.15	0.06	0.16	0.35	NA	0.37	NA	0.13	0.40	0.34	0.26	0.35	0.47	0.36	0.39	0.13	0.37	0.29	0.18
NM_004738|VAPB|chr20|+	chr20:57019132-57026153	57020583	0.20	0.16	0.10	0.02	0.09	0.13	0.18	0.11	NA	0.04	0.08	0.15	0.11	0.24	0.13	0.12	0.13	0.13	0.29	0.16	0.04
NM_022739|SMURF2|chr17|-	chr17:62538404-62542065	62541561	0.39	0.21	0.20	0.12	0.40	0.28	0.30	0.27	NA	0.19	0.34	0.29	0.27	0.40	0.40	0.32	0.35	0.25	0.27	0.23	0.25
NM_003826|NAPG|chr18|+	chr18:10550073-10552962	10550297	0.65	0.52	0.36	0.28	0.60	0.55	0.44	0.57	NA	0.58	0.67	0.63	0.66	0.67	0.74	0.63	0.63	0.66	0.51	0.48	0.61
NM_012474|UCK2|chr1|+	chr1:165876920-165880829	165877285	0.15	0.18	0.03	0.02	0.04	0.11	0.13	0.07	0.33	0.03	0.06	0.24	0.08	0.29	0.14	0.19	0.13	0.06	0.32	0.18	0.06
NR_016021|TBRG1|chr11|+	chr11:124501988-124505266	124502237	0.44	0.30	0.16	0.09	0.30	0.29	0.44	0.36	0.56	0.31	0.29	0.47	0.39	0.44	0.43	0.43	0.49	0.23	0.31	0.17	0.25
NM_148893|SVIP|chr11|-	chr11:22843703-22844679	22844474	0.32	0.30	0.20	0.11	0.49	0.26	NA	0.44	NA	0.21	0.31	0.41	NA	0.46	0.45	0.36	NA	0.20	NA	0.37	0.30
NM_005171|ATF1|chr12|+	chr12:51213417-51214923	51214200	0.49	0.41	NA	NA	0.62	0.52	0.29	0.39	NA	0.49	0.57	0.50	0.42	0.44	0.28	0.46	0.51	0.49	0.22	0.42	0.64
NM_001134232|TMEM106B|chr7|+	chr7:12271462-12276908	12272490	0.57	0.34	0.20	NA	0.40	0.45	0.55	0.43	NA	0.41	0.44	0.26	0.32	0.66	0.66	0.57	0.55	0.28	0.47	0.42	0.41
NM_018156|VPS13D|chr1|+	chr1:12568946-12572110	12570345	0.56	0.23	0.27	0.29	0.25	0.29	NA	0.38	NA	0.36	0.41	0.39	0.44	0.50	0.58	0.42	0.46	0.34	0.52	0.30	0.29
NM_017902|HIF1AN|chr10|+	chr10:102307849-102318093	102309730	0.28	0.32	0.14	NA	NA	0.32	NA	0.33	NA	NA	0.18	0.30	0.24	0.35	0.24	0.27	0.25	0.28	0.34	0.38	0.16
NM_002486|NCBP1|chr9|+	chr9:100433367-100434021	100433689	0.66	0.66	0.53	0.90	0.69	0.68	0.76	0.64	NA	0.59	0.85	0.79	0.60	0.79	0.68	0.69	0.81	0.82	0.71	0.73	0.72
NR_028493|LYRM2|chr6|-	chr6:90344032-90347072	90345909	0.44	0.45	0.90	NA	0.57	0.75	NA	0.53	NA	0.42	0.69	0.88	0.53	0.74	0.77	0.45	0.40	0.45	0.65	0.44	0.60
NM_003198|TCEB3|chr1|+	chr1:24086001-24088563	24086248	0.69	0.38	0.40	0.20	0.44	0.56	0.51	0.49	NA	0.38	0.49	0.50	0.48	0.66	0.72	0.59	0.57	0.37	0.51	0.36	0.50
NM_018373|SYNJ2BP|chr14|-	chr14:70833093-70839848	70839403	0.68	0.49	0.31	NA	0.38	0.53	NA	0.44	NA	0.33	0.38	0.63	0.30	0.53	0.55	0.55	0.45	0.29	0.53	0.49	0.34
NM_024345|DCAF10|chr9|+	chr9:37861136-37868408	37861962	0.57	0.24	0.28	0.20	0.33	0.45	0.48	0.27	NA	0.22	0.42	0.22	0.27	0.50	0.55	0.58	0.46	0.24	0.47	0.33	0.47
NM_014286|NCS1|chr9|+	chr9:132995268-132999557	132995704	NA	0.45	0.31	0.33	0.29	0.41	0.45	0.41	NA	0.22	0.44	0.67	0.42	0.57	0.59	0.52	0.52	0.48	0.62	0.41	0.40
NM_017813|IMPAD1|chr8|-	chr8:57870468-57876623	57875397	0.68	0.37	0.45	0.24	0.42	0.54	0.47	0.64	0.66	0.36	0.63	0.34	0.49	0.70	0.70	0.63	NA	0.32	0.85	0.58	0.52
NM_015459|ATL3|chr11|-	chr11:63391532-63396877	63396646	0.37	0.30	0.14	0.04	0.33	0.36	0.45	0.47	0.76	0.05	0.57	0.21	0.39	0.52	0.68	0.49	0.40	0.20	0.55	0.34	0.27
NM_174907|PPP4R2|chr3|+	chr3:73114547-73118343	73116296	0.36	0.25	0.30	NA	0.26	0.28	0.33	0.32	0.58	0.33	0.41	0.28	0.43	0.37	0.43	0.32	0.32	0.23	0.50	0.27	0.39
NM_020728|ESYT2|chr7|-	chr7:158523667-158526943	158526568	0.70	0.44	0.39	0.44	0.77	0.60	0.60	0.70	NA	0.52	0.76	0.58	0.66	0.72	0.80	0.67	0.69	0.59	0.75	0.60	0.65
NM_001253771|SYNCRIP|chr6|-	chr6:86316617-86322641	86321032	0.34	0.16	0.19	0.37	0.44	0.33	0.44	0.39	0.51	0.22	0.27	0.64	0.56	0.32	0.45	0.25	0.47	0.27	0.32	0.33	0.33
NM_003252|TIAL1|chr10|-	chr10:121331917-121335303	121335004	0.15	0.08	0.13	0.05	0.18	0.11	0.16	0.10	0.31	0.07	0.14	0.22	0.10	0.15	0.17	0.12	0.15	0.09	0.11	0.09	0.09
NM_001178142|TFDP2|chr3|-	chr3:141663295-141671538	141671352	0.24	0.19	0.10	0.05	0.08	0.26	0.25	0.15	NA	0.07	0.16	0.16	0.11	0.35	0.34	0.22	0.32	0.17	0.23	0.21	0.11
NM_005870|SAP18|chr13|+	chr13:21721324-21722863	21721571	0.21	0.14	0.15	0.16	0.23	0.25	0.16	0.21	0.25	0.11	0.26	0.21	0.18	0.22	0.37	0.25	0.18	0.19	0.24	0.16	0.21
NM_014781|RB1CC1|chr8|-	chr8:53534926-53536419	53535521	0.35	0.22	0.42	0.88	0.38	0.43	0.21	0.26	0.38	0.30	0.30	0.50	0.49	0.26	0.45	0.38	0.31	0.50	0.37	0.25	0.55
NM_003463|PTP4A1|chr6|+	chr6:64289961-64293537	64291326	0.39	0.38	0.16	NA	0.45	0.39	0.34	0.31	0.47	0.36	0.41	0.37	0.55	0.31	0.54	0.41	0.44	0.39	0.36	0.31	0.56
NM_017988|SCYL2|chr12|+	chr12:100732305-100735514	100733797	0.46	0.43	0.35	NA	0.74	0.53	0.35	0.41	0.50	0.48	0.48	0.50	0.46	0.42	0.31	0.42	0.53	0.41	0.37	0.35	0.50
NM_004457|ACSL3|chr2|+	chr2:223806214-223809330	223806780	0.20	0.12	0.12	0.09	0.21	0.23	0.19	0.17	0.32	0.08	0.20	0.14	0.15	0.20	0.28	0.23	0.21	0.15	0.16	0.12	0.11
NM_002936|RNASEH1|chr2|-	chr2:3589002-3593461	3593238	0.46	0.24	0.17	0.03	0.14	0.32	0.25	0.25	NA	0.32	0.35	0.30	0.31	0.46	0.54	0.32	0.33	0.23	0.32	0.22	0.20
NM_005759|ABI2|chr2|+	chr2:204291899-204296986	204292171	0.88	0.39	0.48	0.11	0.44	0.63	NA	0.39	NA	0.42	0.68	0.59	0.40	0.67	0.80	0.52	0.53	0.44	NA	0.56	0.47
NM_015032|PDS5B|chr13|+	chr13:33349154-33352146	33349975	0.31	0.15	0.26	NA	0.26	0.27	NA	NA	NA	0.20	0.33	0.21	0.25	0.29	0.23	0.26	0.41	0.21	0.24	0.25	0.16
NM_003818|CDS2|chr20|+	chr20:5170747-5178521	5170968	0.17	0.11	0.07	0.06	0.08	0.08	0.17	0.10	0.54	0.06	0.09	0.17	0.09	0.23	0.14	0.13	0.08	0.08	0.17	0.10	0.08
NM_183323|PAIP1|chr5|-	chr5:43526375-43527571	43527304	0.58	0.26	0.31	0.10	0.45	0.37	0.40	0.43	NA	0.27	0.45	0.63	0.47	0.50	0.47	0.41	0.47	0.37	0.29	0.33	0.37
NM_002140|HNRNPK|chr9|-	chr9:86583024-86584355	86583862	0.48	0.39	0.36	0.73	0.56	0.58	0.59	0.37	0.62	0.58	0.51	0.56	0.57	0.50	0.52	0.47	0.70	0.51	0.45	0.49	0.48
NM_004330|BNIP2|chr15|-	chr15:59951328-59956319	59955100	0.46	0.34	0.21	NA	0.19	0.27	0.38	0.28	0.42	0.25	0.30	0.15	0.24	0.36	0.42	0.34	0.25	0.22	0.34	0.23	0.22
NM_004239|TRIP11|chr14|-	chr14:92432336-92436237	92435937	0.41	0.17	0.16	0.09	0.19	0.22	NA	0.15	NA	0.12	0.22	0.28	0.22	0.27	0.39	0.27	0.30	0.17	0.26	0.19	0.19
NM_024654|NOL9|chr1|-	chr1:6581399-6586063	6585804	0.54	0.48	0.55	0.13	NA	0.51	NA	NA	NA	0.23	0.44	0.51	0.48	0.63	NA	0.44	0.44	0.23	0.58	0.34	0.23
NM_005801|EIF1|chr17|+	chr17:39847033-39847879	39847229	0.46	0.26	0.35	0.21	0.42	0.54	0.52	0.37	0.31	0.57	0.35	0.66	0.45	0.39	0.50	0.40	0.40	0.31	0.49	0.37	0.50
NM_017944|USP47|chr11|+	chr11:11977547-11980827	11978261	0.20	0.14	0.12	0.08	0.15	0.15	0.16	0.15	NA	0.09	0.18	0.23	0.15	0.24	0.25	0.20	0.18	0.20	0.16	0.11	0.15
NM_004707|ATG12|chr5|-	chr5:115163891-115167560	115167306	0.48	0.26	0.29	0.17	0.41	0.40	0.42	0.47	NA	0.31	0.41	0.47	0.40	0.48	0.51	0.37	0.37	0.34	0.44	0.30	0.36
NM_000140|FECH|chr18|-	chr18:55215531-55218078	55216841	0.24	NA	0.16	0.45	0.41	NA	NA	NA	NA	0.12	0.38	0.26	0.21	0.25	0.31	NA	0.37	0.23	0.31	0.21	0.30
NM_012247|SEPHS1|chr10|-	chr10:13359433-13361356	13361153	0.39	0.21	0.25	0.23	0.50	0.29	0.23	0.24	NA	0.17	0.38	0.48	0.35	0.41	0.41	0.31	0.30	0.24	0.30	0.25	0.35
NM_006320|PGRMC2|chr4|-	chr4:129190406-129192568	129191329	0.29	0.09	0.17	0.44	0.26	0.31	0.15	0.11	0.19	0.17	0.14	0.34	0.19	0.22	0.24	0.19	0.22	0.27	0.26	0.12	0.25
NM_017872|THG1L|chr5|+	chr5:157166328-157168455	157166633	0.36	0.20	0.26	0.13	0.30	0.23	0.23	0.26	NA	0.29	0.23	0.71	0.25	0.25	0.35	0.18	0.17	0.20	0.36	0.13	0.16
NM_032177|PHAX|chr5|+	chr5:125960266-125962939	125960557	0.56	0.49	0.37	0.24	0.45	0.53	0.38	0.39	NA	0.39	0.65	0.59	0.71	0.67	0.74	0.56	0.42	0.41	0.54	0.48	0.51
NM_005342|HMGB3|chrX|+	chrX:150156249-150159245	150157163	0.21	0.18	0.13	0.15	0.26	0.28	0.46	0.30	NA	0.11	0.23	0.35	0.32	0.07	0.67	0.38	0.38	0.28	0.22	0.46	0.16
NM_020132|AGPAT3|chr21|+	chr21:45402184-45407321	45404529	0.44	0.65	0.73	NA	NA	0.91	0.38	0.60	NA	0.18	0.78	0.67	0.69	0.51	0.71	0.70	0.68	0.55	0.67	0.62	0.35
NM_032797|AIFM2|chr10|-	chr10:71872106-71874085	71873779	0.33	0.29	0.27	0.17	0.16	0.36	NA	NA	NA	0.20	0.29	0.25	0.21	0.48	NA	NA	0.33	0.25	0.39	0.28	0.24
NM_018839|NSFL1C|chr20|-	chr20:1422811-1424556	1424275	0.24	0.18	0.14	0.16	0.16	0.16	0.22	0.20	NA	0.22	0.22	0.32	0.23	0.30	0.29	0.23	0.18	0.16	0.22	0.15	0.17
NM_002092|GRSF1|chr4|-	chr4:71685210-71686578	71686393	0.48	0.39	0.34	0.34	0.51	0.42	0.48	0.39	0.55	0.35	0.55	0.65	0.51	0.52	0.49	0.49	0.55	0.38	0.47	0.40	0.50
NM_013319|UBIAD1|chr1|+	chr1:11345700-11348473	11346275	0.54	0.38	0.38	0.21	0.41	0.39	NA	0.42	NA	0.42	0.50	0.57	0.53	0.72	0.60	0.49	0.41	0.32	0.42	0.40	0.61
NM_001171654|KLHL5|chr4|+	chr4:39122629-39127809	39123704	0.47	0.25	0.15	NA	NA	NA	NA	NA	NA	0.17	0.28	0.32	0.23	0.36	NA	0.28	0.30	NA	0.52	0.20	0.31
NM_015556|SIPA1L1|chr14|+	chr14:72205734-72207758	72206041	0.28	0.13	0.09	0.08	0.19	0.11	NA	0.16	NA	0.13	0.25	0.29	0.26	0.22	0.34	0.16	0.25	0.15	0.12	0.14	0.16
NM_002069|GNAI1|chr7|+	chr7:79846618-79848725	79847295	0.40	0.27	0.34	NA	NA	0.49	0.19	0.34	0.40	0.48	0.39	0.27	0.41	0.45	0.38	0.40	0.40	0.35	0.36	0.30	NA
NM_080631|VPS41|chr7|-	chr7:38762422-38765926	38765197	0.56	0.35	0.60	0.36	0.49	0.66	0.31	0.25	0.43	0.56	0.40	0.44	0.38	0.50	0.42	0.39	0.37	0.40	0.32	0.34	0.37
NM_001134671|DERL1|chr8|-	chr8:124025572-124027825	124027539	0.82	0.47	0.52	0.30	0.72	0.65	0.69	0.64	NA	0.52	0.71	1.00	0.57	0.67	0.77	0.67	0.61	0.52	0.66	0.62	0.66
NM_006275|SRSF6|chr20|+	chr20:42089342-42092421	42089911	0.50	0.23	0.22	0.41	0.37	0.32	0.34	0.36	0.93	0.49	0.37	0.58	0.46	0.40	0.48	0.37	0.57	0.34	0.33	0.30	0.42
NM_173829|SREK1IP1|chr5|-	chr5:64013968-64020400	64019997	NA	0.24	0.17	0.02	0.15	0.22	0.48	0.33	NA	0.10	0.32	NA	0.20	0.39	NA	0.44	0.29	0.14	NA	0.39	0.13
