event_id	loci	Proximal_Site	TCGA-77-8008-01A-21R-2187-07	TCGA-51-4081-01A-01R-1100-07	TCGA-90-6837-01A-11R-1949-07	TCGA-56-8201-01A-11R-2247-07	TCGA-77-7138-01A-41R-2045-07	TCGA-22-5482-01A-01R-1635-07	TCGA-51-4079-01A-01R-1100-07	TCGA-56-8083-01A-11R-2247-07	TCGA-77-7338-01A-11R-2045-07	TCGA-56-7731-01A-11R-2125-07	TCGA-77-7335-01A-11R-2045-07	TCGA-33-6737-01A-11R-1820-07	TCGA-58-8386-01A-11R-2296-07	TCGA-56-8623-01A-11R-A28V-07	TCGA-85-7710-01A-11R-2125-07	TCGA-22-4609-01A-21R-2125-07	TCGA-43-6647-01A-11R-1820-07	TCGA-22-5472-01A-01R-1635-07	TCGA-77-7337-01A-21R-2045-07	TCGA-43-7657-01A-31R-2125-07	TCGA-22-5481-01A-31R-1949-07	TCGA-22-5478-01A-01R-1635-07	TCGA-22-5483-01A-01R-1820-07	TCGA-22-5489-01A-01R-1635-07	TCGA-77-7142-01A-11R-2045-07	TCGA-43-7658-01A-11R-2125-07	TCGA-56-7582-01A-11R-2045-07	TCGA-43-6143-01A-11R-1820-07	TCGA-39-5040-01A-21R-2125-07	TCGA-43-3394-01A-01R-0980-07	TCGA-56-8309-01A-11R-2296-07	TCGA-22-5491-01A-01R-1635-07	TCGA-90-7767-01A-11R-2125-07	TCGA-92-7340-01A-21R-2045-07	TCGA-43-6773-01A-41R-1949-07	TCGA-56-7730-01A-11R-2125-07	TCGA-34-8454-01A-11R-2326-07	TCGA-33-4587-01A-11R-2125-07	TCGA-43-6771-01A-11R-1820-07	TCGA-60-2709-01A-21R-1820-07	TCGA-56-7580-01A-11R-2045-07	TCGA-77-8007-01A-11R-2187-07	TCGA-56-7823-01B-11R-2247-07	TCGA-51-4080-01A-01R-1100-07	TCGA-43-5670-01A-21R-2125-07	TCGA-22-4593-01A-21R-1820-07	TCGA-56-7579-01A-11R-2045-07	TCGA-22-5471-01A-01R-1635-07	TCGA-34-7107-01A-11R-1949-07	TCGA-56-8082-01A-11R-2247-07	TCGA-56-7222-01A-11R-2045-07
NM_001161407|NDFIP2|chr13|+	chr13:80126650-80130186	80127940	0.10	0.21	0.21	0.21	0.14	0.16	0.16	0.12	0.20	0.19	0.36	0.12	0.21	0.32	0.12	0.22	0.16	0.22	0.16	0.19	0.24	0.12	0.16	0.19	0.14	0.21	0.26	0.11	0.14	0.20	0.29	0.12	0.15	0.18	0.23	0.23	0.26	0.12	0.09	0.23	0.30	0.21	NA	0.16	0.10	0.21	0.15	0.21	0.19	0.16	0.23
NM_015949|GET4|chr7|+	chr7:934970-936075	935120	0.53	0.59	0.43	0.43	0.46	0.48	0.44	0.47	0.39	0.46	0.47	0.35	0.54	0.54	0.53	0.52	0.32	0.55	0.42	0.50	0.56	0.38	0.41	0.34	0.50	0.66	0.47	0.29	0.45	0.38	0.56	0.36	0.32	0.34	0.47	0.36	0.53	0.46	0.41	0.39	0.41	0.47	0.41	0.36	0.39	0.46	0.39	0.29	0.44	0.51	0.45
NM_001080415|U2SURP|chr3|+	chr3:142775153-142779308	142775625	0.13	0.24	0.24	0.25	0.17	0.18	0.27	0.12	0.26	0.23	0.12	0.14	0.28	0.31	0.31	0.33	0.17	0.30	0.16	0.29	0.19	0.16	0.17	0.19	0.17	0.25	0.23	0.09	0.20	0.24	0.17	0.18	0.15	0.18	0.27	0.24	0.18	0.20	0.21	0.27	0.23	0.23	0.17	0.29	0.12	0.18	0.15	0.16	0.14	0.24	0.23
NM_153029|N4BP1|chr16|-	chr16:48572628-48577172	48576652	0.44	0.35	0.38	0.28	0.32	0.33	0.21	0.38	0.40	0.34	0.16	0.18	0.36	0.45	0.29	0.34	0.28	0.45	0.17	0.43	0.22	0.27	0.26	0.29	0.40	0.39	0.35	0.31	0.31	0.21	0.34	0.20	0.29	0.22	0.35	0.21	0.26	0.32	0.27	0.30	0.45	0.24	0.20	0.24	0.27	0.32	0.16	0.22	0.34	0.23	0.24
NM_139046|MAPK8|chr10|+	chr10:49642921-49647384	49643078	0.27	0.34	NA	0.49	0.31	0.25	0.38	0.33	0.36	0.20	NA	0.27	0.30	NA	0.22	0.26	0.32	0.27	0.26	0.26	0.25	0.28	0.24	0.27	0.35	0.29	0.34	0.25	0.26	0.36	0.31	0.23	0.24	0.32	0.30	0.33	0.30	0.27	0.26	0.36	0.41	0.23	0.38	0.39	0.23	0.27	0.27	0.33	0.28	0.32	0.24
NM_030821|PLA2G12A|chr4|-	chr4:110631108-110635651	110635198	0.32	0.41	0.31	0.37	0.19	0.36	0.31	0.38	0.39	0.28	0.22	0.30	0.37	0.54	0.30	0.36	0.33	0.36	0.21	0.59	0.34	0.26	0.47	0.41	0.34	0.42	0.50	0.36	0.34	0.37	0.38	0.23	0.34	0.26	0.37	0.33	0.38	0.43	0.25	0.53	0.40	0.34	0.30	0.41	0.30	0.40	0.21	0.25	0.40	0.40	0.35
NM_001006617|MAPKAP1|chr9|-	chr9:128199704-128201291	128200998	0.40	0.45	0.46	0.44	0.36	0.43	0.39	0.50	0.58	0.38	0.42	0.40	0.41	0.52	0.37	0.45	0.41	0.48	0.26	0.43	0.32	0.39	0.41	0.42	0.43	0.39	0.39	0.32	0.37	0.38	0.48	0.36	0.36	0.40	0.47	0.39	0.49	0.42	0.44	0.43	0.47	0.41	0.28	0.44	0.40	0.54	0.40	0.41	0.38	0.48	0.42
NM_001145547|RBM17|chr10|+	chr10:6157415-6158737	6157630	0.12	0.13	0.12	0.14	0.10	0.13	0.12	0.10	0.18	0.12	0.12	0.07	0.12	0.30	0.14	0.17	0.17	0.21	0.12	0.12	0.14	0.10	0.13	0.11	0.13	0.23	0.12	0.05	0.13	0.13	0.19	0.10	0.08	0.09	0.17	0.10	0.17	0.17	0.07	0.15	0.16	0.12	0.06	0.16	0.12	0.14	0.08	0.08	0.07	0.13	0.11
NM_007107|SSR3|chr3|-	chr3:156257944-156261058	156260870	0.45	0.50	0.37	0.55	0.33	0.47	0.48	0.54	0.61	0.39	0.35	0.28	0.47	0.55	0.38	0.42	0.48	0.56	0.50	0.48	0.38	0.53	0.41	0.48	0.43	0.53	0.48	0.39	0.42	0.49	0.52	0.39	0.50	0.48	0.34	0.34	0.50	0.44	0.36	0.53	0.48	0.41	0.37	0.52	0.36	0.48	0.42	0.34	0.43	0.48	0.34
NM_012192|FXC1|chr11|+	chr11:6503274-6506153	6504178	0.69	0.70	0.62	0.87	0.59	0.88	0.86	0.68	0.79	0.73	0.94	0.44	0.76	0.87	0.63	0.67	0.80	0.87	0.66	0.51	0.77	0.79	0.61	0.73	0.73	0.93	0.70	0.40	0.76	0.50	0.72	0.54	0.64	0.79	0.68	0.77	0.85	0.91	0.33	0.81	0.73	0.68	0.62	0.45	0.69	0.70	0.59	0.52	0.69	0.64	0.78
NM_001412|EIF1AX|chrX|-	chrX:20142629-20146429	20145354	0.51	0.51	0.68	0.53	0.39	0.68	0.44	0.39	0.56	0.53	0.52	0.61	0.42	0.86	0.50	0.58	0.38	0.61	0.27	0.61	0.77	0.73	0.47	0.51	0.44	0.72	0.48	0.31	0.56	0.49	0.61	0.47	0.36	0.43	0.63	0.71	0.52	0.60	0.45	0.60	0.65	0.54	0.30	0.56	0.30	0.53	0.42	0.64	0.33	0.58	0.50
NM_144571|CNOT6L|chr4|-	chr4:78634517-78641797	78639210	0.47	0.61	NA	0.68	NA	0.62	NA	0.41	0.64	0.79	NA	NA	0.49	NA	0.60	0.51	0.60	0.54	0.46	NA	NA	0.62	NA	0.61	0.48	NA	0.47	0.48	0.63	0.58	0.64	NA	0.60	0.57	0.62	NA	0.55	0.68	0.60	0.51	0.75	NA	0.37	0.71	0.63	0.60	0.46	NA	0.42	0.58	NA
NM_005766|FARP1|chr13|+	chr13:99100489-99102021	99100653	0.61	0.49	0.48	0.52	0.32	0.55	0.49	0.36	0.66	0.44	0.53	0.37	0.66	0.66	0.54	0.51	0.50	0.64	0.41	0.36	0.40	0.36	0.44	0.41	0.44	0.60	0.41	0.41	0.46	0.52	0.63	0.46	0.44	0.50	0.51	0.56	0.76	0.49	0.50	0.49	0.48	0.41	0.40	0.37	0.45	0.63	0.38	0.34	0.61	0.46	0.41
NM_001145646|APH1B|chr15|+	chr15:63597812-63601328	63598064	0.36	NA	0.15	0.29	0.34	NA	NA	0.56	NA	0.23	0.11	0.14	0.45	0.53	NA	0.37	NA	0.40	0.24	NA	0.40	0.35	0.33	NA	0.40	0.75	NA	0.36	0.65	0.40	0.34	NA	NA	NA	0.31	NA	NA	0.74	NA	0.32	NA	NA	NA	NA	0.10	NA	NA	0.13	NA	NA	NA
NR_027418|LOC100499466|chr17|+	chr17:66121725-66132053	66125699	0.26	0.17	NA	NA	0.18	0.15	0.20	0.29	0.22	0.17	0.24	NA	0.20	0.38	0.20	0.17	0.16	0.21	0.09	0.17	NA	0.16	0.11	0.14	0.13	0.24	0.14	0.21	0.22	0.12	0.30	0.09	0.12	0.14	0.21	0.29	0.17	0.25	NA	0.18	0.22	0.18	0.17	0.07	0.21	0.26	0.22	NA	0.14	0.10	0.19
NM_006802|SF3A3|chr1|-	chr1:38422661-38423935	38423769	0.23	0.35	0.40	0.42	0.38	0.44	0.39	0.36	0.47	0.40	0.49	0.30	0.49	0.47	0.38	0.45	0.36	0.56	0.29	0.48	0.47	0.41	0.36	0.45	0.26	0.49	0.35	0.26	0.44	0.45	0.52	0.38	0.39	0.36	0.47	0.46	0.52	0.44	0.35	0.50	0.45	0.46	0.37	0.35	0.42	0.47	0.35	0.41	0.54	0.43	0.40
NM_001127197|ELF4|chrX|-	chrX:129197922-129201500	129198951	0.33	0.32	0.41	0.52	0.86	0.40	0.37	0.19	0.49	0.41	NA	0.38	0.32	0.53	0.21	0.31	0.40	0.47	0.20	0.56	0.30	0.39	0.25	0.28	0.38	0.27	0.32	0.14	0.41	0.24	0.36	0.33	0.37	0.44	0.35	0.40	0.27	0.22	0.35	0.36	0.58	0.29	0.23	0.48	0.55	0.30	0.42	0.53	0.24	0.27	0.28
NM_000232|SGCB|chr4|-	chr4:52886850-52890326	52890073	0.36	0.56	0.30	0.49	0.42	0.53	0.60	0.49	0.56	0.43	0.47	0.31	0.37	0.68	0.40	0.43	0.39	0.53	0.48	0.47	0.44	0.27	0.37	0.43	0.46	0.61	0.65	0.36	NA	0.40	0.51	0.40	0.50	0.42	0.38	0.54	0.41	0.45	0.32	0.50	0.51	0.34	0.48	0.56	0.26	0.40	NA	0.33	0.40	0.52	0.50
NM_015434|INTS7|chr1|-	chr1:212113776-212115453	212115117	0.31	0.28	0.27	0.33	0.33	0.35	0.38	0.33	0.29	0.39	0.33	0.24	0.30	0.35	0.29	0.26	0.28	0.40	0.22	0.32	0.32	0.30	0.25	0.28	0.24	0.35	0.27	0.19	0.27	0.29	0.41	0.30	0.29	0.25	0.38	0.27	0.33	0.29	0.26	0.27	0.35	0.26	0.20	0.32	0.38	0.30	0.29	0.30	0.27	0.32	0.31
NM_014630|ZNF592|chr15|+	chr15:85345093-85349583	85346392	0.31	0.27	0.16	0.25	0.24	0.24	0.34	0.27	0.46	0.21	0.33	0.18	0.28	0.37	0.25	0.35	0.30	0.36	0.33	0.18	0.13	0.15	0.22	0.34	0.54	0.31	0.45	0.22	0.32	0.26	0.37	0.19	0.25	0.30	0.25	0.25	0.40	0.29	0.20	0.24	0.31	0.32	0.24	0.41	0.17	0.30	0.18	0.16	0.35	0.23	0.36
NM_001195000|MR1|chr1|+	chr1:181024360-181031072	181025458	0.39	0.30	0.30	0.34	0.22	0.40	0.19	0.43	0.52	0.26	0.27	NA	0.38	0.56	0.24	0.38	0.40	0.59	0.29	0.47	0.23	0.33	0.27	0.28	0.47	0.34	0.42	0.39	NA	0.33	0.42	0.29	0.24	0.33	0.37	0.18	0.49	0.28	0.27	0.50	0.47	0.37	0.13	0.30	0.22	0.46	0.34	0.20	0.40	0.31	0.20
NM_015704|PPPDE2|chr22|-	chr22:41994782-41997194	41996943	0.27	0.20	0.27	0.23	0.18	0.21	0.20	0.37	0.39	0.15	0.07	0.12	0.41	0.35	0.22	0.27	0.17	0.29	0.18	0.37	0.22	0.27	0.31	0.21	0.27	0.48	0.21	0.31	0.34	0.23	0.36	0.20	0.18	0.24	0.27	0.13	0.42	0.38	0.25	0.35	0.19	0.16	0.09	0.15	0.13	0.39	0.25	0.09	0.25	0.23	0.25
NM_001196|BID|chr22|-	chr22:18216223-18218357	18218189	0.25	0.22	0.26	0.29	0.28	0.24	0.21	0.21	0.32	0.23	0.36	0.15	0.26	0.37	0.19	0.31	0.20	0.36	0.25	0.38	0.28	0.19	0.17	0.21	0.31	0.29	0.31	0.16	0.27	0.18	0.29	0.12	0.21	0.24	0.27	0.23	0.29	0.33	0.23	0.22	0.23	0.27	0.13	0.19	0.20	0.26	0.27	0.18	0.21	0.22	0.20
NM_003162|STRN|chr2|-	chr2:37068367-37076768	37070990	NA	0.09	NA	0.13	0.07	0.06	0.04	0.07	0.12	NA	NA	0.05	0.12	NA	0.12	0.10	NA	0.04	0.04	0.10	0.08	0.06	0.04	0.07	0.03	0.14	0.10	0.11	0.05	0.04	NA	0.02	0.05	NA	NA	0.08	0.11	0.11	0.06	NA	NA	0.08	0.05	0.05	0.06	0.23	0.06	0.08	0.06	0.07	0.05
NM_003601|SMARCA5|chr4|+	chr4:144474271-144475518	144474504	0.26	0.32	0.21	0.45	0.31	0.31	0.39	0.38	0.41	0.36	0.35	0.21	0.34	0.44	0.29	0.32	0.26	0.38	0.27	0.40	0.24	0.25	0.28	0.33	0.32	0.28	0.36	0.25	0.27	0.35	0.32	0.31	0.28	0.35	0.34	0.28	0.33	0.26	0.23	0.41	0.44	0.28	0.28	0.43	0.42	0.32	0.25	0.27	0.33	0.36	0.29
NM_001195098|ANKRD28|chr3|-	chr3:15708727-15712063	15710227	0.34	0.26	0.34	0.43	0.29	NA	0.24	0.20	0.35	0.44	NA	0.36	0.27	0.55	0.17	0.32	0.30	0.41	0.20	0.39	0.36	0.29	0.27	0.24	0.20	0.21	0.21	0.14	0.23	NA	0.39	NA	0.21	0.37	0.26	0.41	0.39	0.21	0.22	0.32	0.48	0.37	0.25	0.16	0.41	0.39	0.34	NA	0.22	0.18	0.30
NR_027671|UGGT1|chr2|+	chr2:128947290-128953259	128950021	0.46	0.58	0.67	0.61	0.55	0.60	0.67	0.43	0.53	0.66	0.61	0.58	0.55	0.76	0.43	0.57	0.41	0.71	0.40	0.67	0.63	0.40	0.50	0.43	0.61	0.58	0.55	0.38	0.48	0.60	0.51	0.47	0.37	0.47	0.60	0.62	0.64	0.53	0.53	0.53	0.83	0.45	0.53	0.49	0.44	0.53	0.61	0.50	0.57	0.46	0.59
NM_001098728|GTF2H2C|chr5|+	chr5:68887905-68891033	68888124	0.29	0.31	0.24	0.25	0.11	0.22	0.18	0.32	0.18	0.18	0.12	0.12	0.30	0.23	0.34	0.28	0.20	0.22	0.14	0.15	0.33	0.13	0.20	0.31	0.17	0.20	0.29	0.15	0.19	0.28	0.24	0.21	0.24	0.14	0.38	0.14	0.22	0.24	0.14	0.43	0.23	0.23	0.16	0.26	0.16	0.19	0.09	0.17	0.27	0.23	0.13
NM_152734|C6orf89|chr6|+	chr6:36891122-36896751	36892289	0.47	0.61	0.39	0.44	0.36	0.48	0.38	0.64	0.66	0.52	0.32	0.28	0.51	0.76	0.37	0.51	0.42	0.57	0.24	0.49	0.51	0.40	0.36	0.40	0.40	0.79	0.46	0.30	0.59	0.48	0.61	0.29	0.46	0.32	0.48	0.51	0.64	0.53	0.32	0.50	0.54	0.54	0.44	0.35	0.19	0.58	0.39	0.25	0.43	0.37	0.41
NM_016474|C3orf19|chr3|+	chr3:14712402-14715174	14712659	0.26	0.39	0.23	0.28	0.38	0.30	0.30	0.26	0.27	0.35	0.29	0.23	0.41	0.46	0.27	0.37	0.26	0.40	0.31	NA	0.41	0.30	0.38	0.29	NA	0.55	NA	0.27	0.27	0.35	0.28	NA	0.32	0.33	0.35	0.26	0.30	0.38	0.21	0.31	0.36	0.28	0.30	NA	0.30	0.34	0.21	0.21	0.33	NA	0.33
NM_001233|CAV2|chr7|+	chr7:116146024-116148599	116146680	0.35	0.41	0.46	0.47	0.37	0.45	0.32	0.46	0.40	0.48	0.65	0.35	0.33	0.55	0.24	0.40	0.33	0.36	0.29	0.38	NA	0.35	0.36	0.45	0.34	NA	0.37	0.28	0.25	0.32	0.43	0.30	0.37	0.38	0.39	0.45	0.46	0.44	0.33	0.44	0.62	0.22	0.28	0.47	0.31	0.36	0.31	0.45	0.29	0.43	0.34
NM_001777|CD47|chr3|-	chr3:107762193-107766139	107765962	0.12	0.25	0.12	0.15	0.05	0.18	0.15	0.20	0.21	0.10	0.11	0.07	0.26	0.26	0.17	0.23	0.13	0.21	0.10	0.12	0.13	0.09	0.16	0.21	0.21	0.21	0.21	0.12	0.17	0.11	0.23	0.09	0.16	0.06	0.15	0.15	0.20	0.11	0.19	0.31	0.17	0.19	0.10	0.26	0.07	0.35	0.07	0.07	0.19	0.19	0.17
NM_005902|SMAD3|chr15|+	chr15:67482750-67487531	67483231	0.57	0.72	0.53	0.58	0.44	0.53	0.66	0.63	0.78	0.47	0.58	0.48	0.68	0.68	0.48	0.59	0.44	0.64	0.38	0.65	0.72	0.58	0.56	0.55	0.72	0.81	0.67	0.46	0.72	0.66	0.53	0.49	0.55	0.49	0.81	0.64	0.63	0.73	0.38	0.63	0.65	0.58	0.65	0.55	0.37	0.70	0.72	0.50	0.75	0.53	0.66
NM_022835|PLEKHG2|chr19|+	chr19:39914372-39918995	39916111	0.30	0.27	0.34	0.33	0.23	0.21	NA	0.11	0.37	0.27	0.28	0.29	0.33	0.43	0.25	0.27	0.34	0.31	0.30	0.37	0.20	0.22	NA	0.23	0.38	0.37	0.35	0.13	0.41	0.35	0.37	NA	0.29	0.42	0.23	0.27	0.29	0.31	0.22	NA	NA	0.18	0.15	NA	0.15	0.21	0.30	NA	0.20	0.16	NA
NM_015455|CNOT6|chr5|+	chr5:180000987-180005388	180003782	0.41	0.62	NA	0.87	0.87	0.71	0.69	0.43	0.60	NA	NA	0.81	0.47	0.90	0.50	0.54	0.67	0.58	0.49	0.79	0.88	0.48	0.50	0.58	0.61	0.47	0.77	0.23	0.51	0.50	0.70	0.55	0.38	0.65	0.60	NA	0.70	0.43	0.64	0.60	0.84	0.56	0.52	0.52	0.71	0.53	0.75	NA	0.41	0.64	0.81
NM_002056|GFPT1|chr2|-	chr2:69546929-69553365	69552527	0.24	0.39	0.30	0.31	0.25	0.33	0.28	0.25	0.34	0.26	0.30	0.28	0.42	0.52	0.35	0.36	0.32	0.38	0.25	0.34	0.37	0.24	0.35	0.40	0.26	0.52	0.49	0.33	0.45	0.42	0.37	0.27	0.31	0.23	NA	0.34	0.41	0.30	0.29	0.42	0.35	0.32	0.44	0.42	0.17	0.32	0.34	0.30	0.46	0.24	0.29
NM_000671|ADH5|chr4|-	chr4:99992182-99993592	99993367	0.21	0.34	0.27	0.29	0.15	0.26	0.43	0.29	0.30	0.22	0.29	0.19	0.34	0.37	0.30	0.33	0.28	0.35	0.23	0.21	0.23	0.26	0.39	0.35	0.30	0.44	0.24	0.19	0.26	0.28	0.36	0.26	0.26	0.24	0.31	0.24	0.29	0.35	0.30	0.40	0.26	0.30	0.20	0.30	0.17	0.39	0.26	0.18	0.26	0.47	0.34
NM_001048210|CLCC1|chr1|-	chr1:109474491-109475123	109474973	0.67	0.74	0.56	0.66	0.52	0.79	0.69	0.73	0.70	0.48	0.91	0.54	0.81	0.59	0.60	0.57	0.76	0.69	0.57	0.50	0.52	0.63	0.62	0.62	0.67	0.75	0.82	0.58	0.58	0.65	0.80	0.65	0.68	0.55	0.69	0.75	0.84	0.59	0.47	0.69	0.70	0.67	0.61	0.65	0.68	0.79	0.51	0.61	0.83	0.71	0.66
NM_021156|TMX4|chr20|-	chr20:7957997-7963268	7962100	0.29	0.38	0.21	0.37	0.18	0.22	0.22	0.34	0.44	0.32	0.32	0.21	0.29	0.44	0.15	0.38	0.24	0.21	0.38	0.21	0.21	0.20	0.26	0.33	0.47	0.37	0.39	0.27	0.41	0.24	0.31	0.20	0.37	0.38	0.33	0.23	0.30	0.27	0.23	0.29	0.35	0.27	0.31	0.27	0.23	0.36	0.25	0.21	0.28	0.35	0.25
NM_030650|KIAA1715|chr2|-	chr2:176788584-176794927	176793561	0.46	0.52	NA	0.59	0.42	0.68	0.53	0.44	0.58	NA	NA	NA	0.60	0.71	0.60	0.52	0.49	0.84	0.37	0.51	NA	0.53	0.46	0.49	0.45	0.50	0.63	0.32	NA	0.47	0.63	0.48	0.41	0.50	NA	0.85	0.65	0.47	0.56	0.71	0.70	0.52	0.68	0.40	0.37	0.43	0.48	0.60	0.70	0.54	0.52
NM_013321|SNX8|chr7|-	chr7:2292679-2294804	2294654	0.52	0.45	0.36	0.30	0.32	0.29	0.27	0.40	0.52	0.29	0.07	0.25	0.54	0.62	0.59	0.49	0.34	0.60	0.20	0.54	0.36	0.41	0.39	0.28	NA	0.61	0.28	0.31	0.51	0.21	0.52	0.19	0.24	0.14	0.49	0.19	0.56	0.52	0.33	0.27	0.37	0.51	0.39	0.10	0.19	0.49	0.30	0.14	0.44	0.28	0.60
NM_001031617|COX19|chr7|-	chr7:1004513-1009092	1008711	0.33	0.38	0.27	0.19	0.20	0.36	0.22	0.33	0.42	0.20	0.25	0.15	NA	0.47	0.27	0.34	NA	0.34	0.15	0.35	0.28	0.29	0.26	0.25	NA	0.43	0.26	0.32	0.46	0.17	0.45	0.15	0.27	0.30	0.41	0.44	0.33	0.27	0.15	0.30	0.41	0.31	0.35	0.29	0.24	NA	0.23	0.21	0.48	0.13	0.22
NM_002111|HTT|chr4|+	chr4:3241572-3245677	3242320	0.20	0.23	0.17	0.16	0.13	0.24	0.19	0.25	0.42	0.17	0.15	0.13	0.35	0.38	0.25	0.26	0.14	0.26	0.10	0.27	0.10	0.12	0.19	0.18	0.45	0.33	0.19	0.15	0.24	0.19	0.22	0.12	0.10	0.16	0.28	0.12	0.26	0.30	0.19	0.18	0.19	0.21	0.13	0.18	0.09	0.33	0.24	0.10	0.23	0.13	0.27
NM_198833|SERPINB8|chr18|+	chr18:61654107-61656577	61654593	0.63	0.49	0.44	0.50	0.55	0.57	0.64	NA	0.80	0.52	0.35	0.32	NA	0.71	0.55	0.59	0.45	0.77	0.44	NA	0.38	NA	NA	0.54	0.51	0.63	0.51	NA	NA	0.31	0.73	0.33	0.62	0.53	0.52	0.50	0.69	NA	0.40	0.63	NA	0.69	0.28	0.55	0.20	0.62	0.25	0.23	0.46	0.63	NA
NM_003971|SPAG9|chr17|-	chr17:49039534-49043748	49043047	0.35	0.36	0.36	0.40	0.23	0.39	0.38	0.31	0.41	0.34	0.22	0.17	0.33	0.45	0.43	0.47	0.32	0.45	0.27	0.47	0.37	0.37	0.29	0.36	0.42	0.52	0.48	0.19	0.40	0.43	0.28	0.32	0.35	0.27	0.42	0.30	0.31	0.39	0.27	0.40	0.38	0.31	0.30	0.35	0.27	0.24	0.22	0.27	0.37	0.38	0.48
NM_001142269|GGCX|chr2|-	chr2:85775177-85777249	85776579	0.29	0.47	0.24	0.36	0.22	0.34	0.27	0.40	0.39	0.26	0.37	0.26	0.39	0.41	0.27	0.34	0.33	0.35	0.25	0.30	0.36	0.32	0.30	0.42	0.45	0.44	0.45	0.32	0.46	0.26	0.38	0.26	0.27	0.34	0.30	0.38	0.38	0.34	0.34	0.40	0.23	0.32	0.30	0.34	0.32	0.39	0.33	0.32	0.34	0.39	0.31
NM_016131|RAB10|chr2|+	chr2:26357806-26360302	26358049	0.43	0.53	0.50	0.52	0.40	0.54	0.58	0.57	0.53	0.45	0.39	0.36	0.53	0.64	0.47	0.49	0.59	0.67	0.47	0.43	0.70	0.43	0.64	0.56	0.51	0.64	0.59	0.45	0.56	0.57	0.53	0.54	0.45	0.46	0.59	0.47	0.49	0.51	0.38	0.64	0.53	0.49	0.40	0.68	0.52	0.60	0.36	0.48	0.48	0.56	0.55
NM_004514|FOXK2|chr17|+	chr17:80559178-80562467	80560258	0.44	0.54	0.42	0.42	0.57	0.35	0.51	0.33	0.75	0.47	0.50	0.55	0.42	0.45	0.40	0.51	0.30	0.40	0.24	0.68	0.40	0.34	0.49	0.35	0.62	0.70	0.56	0.18	0.45	0.53	0.41	0.37	0.38	0.30	0.50	0.47	0.45	0.52	0.28	0.42	0.66	0.33	0.40	0.48	0.37	0.34	0.49	0.44	0.38	0.28	0.69
NM_001195214|YIPF6|chrX|+	chrX:67751722-67757127	67754490	0.32	0.41	0.36	0.28	0.25	0.35	0.40	0.35	0.28	0.46	0.76	0.30	0.43	0.69	0.25	0.40	0.29	0.45	0.24	0.32	0.43	0.37	0.34	0.39	0.37	0.60	0.42	0.22	0.28	0.40	0.55	0.31	0.34	0.31	0.38	0.61	0.45	0.46	0.33	0.42	0.51	0.25	0.36	0.31	0.29	0.45	0.39	0.46	0.38	0.38	0.33
NM_014244|ADAMTS2|chr5|-	chr5:178537836-178541325	178540886	0.85	0.90	0.84	0.89	NA	0.85	0.83	0.83	0.86	0.85	0.83	0.76	NA	0.52	NA	0.82	0.73	0.76	0.82	0.85	NA	0.85	0.80	0.77	NA	NA	NA	0.78	NA	0.84	0.90	NA	0.89	0.89	0.81	NA	0.81	0.90	0.80	0.85	NA	0.76	0.87	NA	NA	0.77	0.87	0.83	0.80	NA	NA
NM_024293|FAM134A|chr2|+	chr2:220046734-220050157	220048265	0.21	0.17	0.21	0.20	0.15	0.18	0.17	0.10	0.28	0.20	0.44	0.13	0.21	0.25	0.15	0.18	0.15	0.20	0.25	0.18	0.08	0.09	0.08	0.18	0.26	0.10	0.16	0.13	0.11	0.11	0.18	0.11	0.14	0.29	0.15	0.14	0.20	0.07	0.22	0.20	0.20	0.19	0.13	0.14	0.13	0.24	0.13	0.16	0.16	0.11	0.09
NM_005793|NME6|chr3|-	chr3:48331781-48336293	48335615	0.29	NA	0.29	0.24	0.25	0.34	0.32	0.44	0.49	0.26	0.21	0.20	0.35	0.42	0.32	0.50	0.29	0.46	0.24	0.21	0.22	0.37	0.44	0.38	0.54	0.71	NA	0.35	0.30	0.25	0.50	0.29	0.40	0.24	0.30	NA	0.46	0.54	0.20	0.41	NA	0.26	0.34	NA	0.19	0.34	0.30	0.18	0.47	0.33	0.27
NM_032368|LZIC|chr1|-	chr1:9986359-9990515	9990331	0.44	0.43	0.43	0.51	0.27	0.37	0.39	0.52	0.47	0.47	0.38	0.27	0.50	0.56	0.38	0.49	0.45	0.62	0.38	0.44	0.55	0.42	0.38	0.49	0.59	0.47	0.51	0.35	0.44	0.38	0.59	0.32	0.32	0.32	0.56	0.38	0.68	0.44	0.29	0.53	0.58	0.46	0.41	0.33	0.36	0.58	0.36	0.31	0.56	0.42	0.40
NM_015339|ADNP|chr20|-	chr20:49505543-49511049	49507084	0.48	0.50	0.45	0.75	0.91	0.58	0.64	0.43	0.57	0.63	NA	0.59	0.39	0.74	0.34	0.33	0.34	0.51	0.49	0.72	0.57	0.57	0.44	0.46	0.43	0.49	0.54	0.47	0.28	0.52	0.62	0.48	0.45	0.71	0.54	0.61	0.56	0.49	0.49	0.58	0.90	0.38	0.44	0.45	0.84	0.53	0.83	0.84	0.39	0.43	0.62
