event_id	loci	Proximal_Site	TCGA-38-4627-01A-01R-1206-07	TCGA-49-4512-01A-21R-1858-07	TCGA-55-6983-01A-11R-1949-07	TCGA-55-6978-01A-11R-1949-07	TCGA-73-4676-01A-01R-1755-07	TCGA-91-6828-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5933-01A-11R-1755-07	TCGA-55-6984-01A-11R-1949-07	TCGA-91-6829-01A-21R-1858-07	TCGA-44-2668-01A-01R-A278-07	TCGA-44-2668-01B-02R-A277-07	TCGA-44-2668-01A-01R-0946-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6831-01A-11R-1858-07	TCGA-50-5932-01A-11R-1755-07	TCGA-49-6744-01A-11R-1858-07	TCGA-50-5931-01A-11R-1755-07	TCGA-44-2662-01B-02R-A277-07	TCGA-44-2662-01A-01R-A278-07	TCGA-44-2662-01A-01R-0946-07	TCGA-44-6778-01A-11R-1858-07	TCGA-38-4632-01A-01R-1755-07	TCGA-44-6146-01A-11R-1755-07	TCGA-44-6146-01A-11R-A278-07	TCGA-44-6146-01B-04R-A277-07	TCGA-44-3396-01A-01R-1206-07	TCGA-50-6595-01A-12R-1858-07	TCGA-55-6979-01A-11R-1949-07	TCGA-55-6975-01A-11R-1949-07	TCGA-44-2661-01A-01R-1107-07	TCGA-50-5935-01A-11R-1755-07	TCGA-55-6986-01A-11R-1949-07	TCGA-38-4625-01A-01R-1206-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-5645-01B-04R-A277-07	TCGA-44-5645-01A-01R-A278-07	TCGA-44-5645-01A-01R-1628-07	TCGA-44-6148-01A-11R-1755-07	TCGA-91-6849-01A-11R-1949-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-2665-01B-06R-A277-07	TCGA-44-2665-01A-01R-A278-07	TCGA-50-5939-01A-11R-1628-07	TCGA-55-6969-01A-11R-1949-07	TCGA-55-6980-01A-11R-1949-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6761-01A-31R-1949-07	TCGA-55-6981-01A-11R-1949-07	TCGA-44-6145-01A-11R-1755-07	TCGA-55-6971-01A-11R-1949-07	TCGA-44-6776-01A-11R-1858-07	TCGA-50-5930-01A-11R-1755-07	TCGA-91-6847-01A-11R-1949-07	TCGA-49-4490-01A-21R-1858-07	TCGA-44-6147-01A-11R-1755-07	TCGA-44-6147-01B-06R-A277-07	TCGA-44-6147-01A-11R-A278-07	TCGA-55-6985-01A-11R-1949-07	TCGA-55-6982-01A-11R-1949-07	TCGA-55-6968-01A-11R-1949-07	TCGA-91-6835-01A-11R-1858-07	TCGA-55-6970-01A-11R-1949-07	TCGA-55-6972-01A-11R-1949-07	TCGA-50-5936-01A-11R-1628-07	TCGA-91-6836-01A-21R-1858-07	TCGA-38-4626-01A-01R-1206-07
NM_001195098|ANKRD28|chr3|-	chr3:15708624-15712063	15710153	0.35	0.78	0.43	0.35	0.24	0.31	0.31	0.46	0.23	NA	0.31	NA	NA	0.21	0.46	0.38	0.45	0.37	0.36	NA	0.25	0.33	0.35	0.23	0.39	0.39	NA	0.32	0.31	0.28	0.31	0.46	0.65	0.42	0.40	0.38	NA	0.29	0.40	0.52	0.35	0.20	0.34	NA	0.23	0.35	0.46	0.62	0.50	0.46	0.20	0.38	0.28	0.61	0.29	0.45	0.59	0.31	NA	0.25	0.37	0.49	0.25	0.21	0.22	0.44	0.27	0.11	0.35
NM_001098728|GTF2H2C|chr5|+	chr5:68887905-68891037	68888124	0.17	0.39	0.15	0.16	0.19	0.33	0.39	0.38	0.16	0.23	0.22	0.16	NA	0.08	0.23	0.44	0.22	0.18	0.23	0.43	0.20	0.20	0.31	0.12	0.36	NA	NA	0.30	0.12	0.19	0.14	0.32	0.34	0.35	0.16	0.48	0.46	0.39	0.41	0.38	0.23	0.24	0.25	NA	0.33	0.25	0.18	0.17	0.35	0.29	0.18	0.33	0.36	0.35	0.18	0.32	0.24	0.29	0.38	0.30	0.27	0.29	0.21	0.34	0.23	0.42	0.26	0.06	0.26
NM_152734|C6orf89|chr6|+	chr6:36891122-36896748	36892289	0.41	0.27	0.39	0.60	0.43	0.63	0.39	0.49	0.41	0.56	0.66	0.40	NA	0.38	0.48	0.49	0.45	0.50	0.57	NA	0.48	0.45	0.62	0.35	0.73	0.65	NA	0.56	0.44	0.50	0.49	0.46	0.47	0.73	0.38	0.60	NA	0.73	0.80	0.77	0.59	0.50	0.44	NA	0.49	0.67	0.53	0.57	0.65	0.51	0.38	0.64	0.48	0.69	0.40	0.70	0.35	0.43	NA	0.46	0.55	0.33	0.53	0.52	0.50	0.38	0.45	0.22	0.62
NM_001233|CAV2|chr7|+	chr7:116146024-116148608	116146757	0.41	0.88	0.66	0.27	0.24	0.49	0.58	0.39	0.19	0.42	0.42	0.19	0.25	0.21	0.40	0.48	0.34	0.45	0.47	0.60	0.25	0.29	0.54	0.20	0.39	0.35	0.70	0.22	0.31	0.38	0.29	0.44	0.51	0.69	0.31	0.71	NA	0.35	0.40	0.51	0.34	0.32	0.41	0.53	0.36	0.31	0.47	0.39	0.34	0.52	0.34	0.41	0.49	0.45	0.26	NA	0.71	0.37	0.70	0.35	0.36	0.35	0.46	0.37	0.36	0.51	0.32	0.20	0.50
NM_001777|CD47|chr3|-	chr3:107762155-107766139	107765961	0.14	0.09	0.13	0.29	0.10	0.24	0.10	0.17	0.18	0.20	0.28	0.10	0.19	0.10	0.12	0.22	0.22	0.17	0.15	0.33	0.12	0.13	0.32	0.07	0.25	0.22	0.46	0.17	0.14	0.09	0.16	0.12	0.20	0.24	0.16	0.12	0.48	0.20	0.23	0.35	0.09	0.11	0.19	0.34	0.15	0.19	0.17	0.12	0.30	0.19	0.09	0.23	0.23	0.18	0.09	0.13	0.10	0.13	0.59	0.14	0.12	0.15	0.28	0.15	0.16	0.11	0.17	0.12	0.22
NM_015969|MRPS17|chr7|+	chr7:56022601-56024180	56022900	0.18	0.20	0.23	0.17	0.18	0.22	0.25	0.38	0.11	0.19	0.28	0.13	NA	0.12	0.18	0.16	0.19	0.20	0.27	NA	0.18	0.16	0.32	0.16	0.42	0.37	NA	0.19	0.13	0.16	0.13	0.29	0.18	0.28	0.14	0.22	NA	0.33	0.34	0.29	0.24	0.13	0.18	NA	0.20	0.22	0.22	0.21	0.23	0.16	0.16	0.26	0.28	0.29	0.17	0.25	0.23	0.18	NA	0.21	0.18	0.18	0.26	0.24	0.24	0.28	0.18	0.16	0.32
NM_003292|TPR|chr1|-	chr1:186282121-186283158	186283008	0.18	0.04	0.08	0.08	0.08	0.09	0.17	0.15	0.06	0.08	0.06	NA	NA	0.04	0.13	0.06	0.17	0.13	0.05	NA	NA	0.04	0.19	0.10	0.12	NA	NA	0.07	0.04	0.04	0.04	0.40	0.13	0.18	0.15	0.11	NA	0.25	0.25	0.18	0.06	0.06	0.15	NA	0.33	0.12	0.06	0.34	0.18	0.11	0.07	0.09	0.09	0.16	0.02	0.06	0.06	0.19	NA	0.25	0.08	0.08	0.06	0.10	0.18	0.13	0.08	0.04	0.36
NM_002056|GFPT1|chr2|-	chr2:69546926-69553365	69552527	0.24	0.34	0.36	0.40	0.25	0.39	0.24	0.29	0.26	0.36	0.42	0.27	0.33	0.22	0.37	0.46	0.35	0.22	0.32	0.42	0.31	0.29	0.55	0.24	0.38	0.34	0.42	0.31	0.30	0.25	0.27	0.34	0.37	0.31	0.55	0.19	0.47	0.40	0.44	0.48	0.34	0.18	0.32	0.43	0.31	0.33	0.39	0.32	0.37	0.53	0.28	0.35	0.41	0.36	0.24	0.40	0.21	0.40	0.39	0.39	0.40	0.33	0.53	0.36	0.31	0.30	0.38	0.35	0.40
NM_021156|TMX4|chr20|-	chr20:7957997-7963268	7962094	0.34	NA	0.26	0.44	0.37	0.32	0.16	0.38	0.36	0.25	0.46	0.34	NA	0.40	0.36	0.31	0.26	0.36	0.26	NA	0.33	0.29	0.25	0.18	0.26	0.30	NA	0.36	0.34	0.31	0.21	0.34	0.35	0.40	0.29	0.22	NA	0.35	0.38	0.44	0.28	0.30	0.32	0.77	0.47	0.35	0.34	0.35	0.46	0.37	0.20	0.42	0.34	0.23	0.33	0.33	0.30	0.22	NA	0.26	0.33	0.28	0.38	0.37	0.21	0.20	0.41	0.32	0.36
NR_016021|TBRG1|chr11|+	chr11:124501988-124504617	124502254	0.51	0.33	0.47	0.46	0.48	0.43	0.29	0.35	0.41	0.39	0.37	NA	NA	0.29	0.45	0.35	0.52	0.42	0.23	0.47	NA	0.32	0.46	0.25	0.40	NA	0.76	0.35	0.38	0.27	0.33	0.33	0.43	0.63	0.47	0.27	NA	0.49	0.47	0.57	0.37	0.33	0.47	NA	0.58	0.40	0.32	0.37	0.60	0.42	0.30	0.43	0.53	0.62	0.40	0.38	0.22	0.42	NA	NA	0.46	0.44	0.46	0.38	0.54	0.33	0.39	0.26	0.48
NM_013321|SNX8|chr7|-	chr7:2292667-2294804	2294654	0.37	0.10	0.40	0.41	0.32	0.64	0.38	0.36	0.48	0.47	0.44	0.25	NA	0.28	0.47	0.39	0.37	0.21	0.40	NA	0.46	0.44	0.57	0.09	0.67	0.59	NA	0.44	0.40	0.35	0.25	0.19	0.27	0.46	0.30	0.26	NA	NA	0.70	0.45	0.28	0.46	0.41	NA	NA	0.49	0.35	0.66	0.43	0.66	0.44	0.57	0.53	0.44	0.47	0.48	0.31	0.33	NA	NA	0.43	0.36	0.52	0.47	0.63	NA	0.43	0.23	0.36
NM_148893|SVIP|chr11|-	chr11:22841584-22844679	22844474	0.29	0.38	0.36	0.34	0.35	0.33	0.25	0.34	0.37	0.41	0.33	NA	NA	0.24	0.39	0.45	0.48	0.37	0.45	NA	0.27	0.32	0.39	0.21	0.43	0.42	0.64	0.34	0.26	0.28	0.23	0.26	0.46	0.34	0.41	0.35	NA	0.40	0.39	0.44	0.34	0.30	0.38	NA	0.43	0.32	0.37	0.35	0.42	0.39	0.29	0.36	0.35	0.48	0.36	0.26	0.42	0.41	0.53	0.45	0.38	0.32	0.47	0.36	0.48	0.37	0.49	0.32	0.35
NM_002111|HTT|chr4|+	chr4:3241572-3245695	3242332	0.22	0.12	0.20	0.22	0.11	0.36	0.23	0.30	0.15	0.31	0.28	NA	NA	0.15	0.26	0.20	0.22	0.18	0.21	NA	0.25	0.23	0.51	0.10	0.39	NA	NA	0.25	0.20	0.17	0.15	0.22	0.18	0.48	0.15	0.14	NA	0.43	0.37	0.34	0.17	0.13	0.23	NA	NA	0.26	0.22	0.23	0.33	0.23	0.22	0.26	0.30	0.21	0.23	0.38	0.12	0.27	NA	NA	0.29	0.13	0.35	0.27	0.30	0.23	0.20	0.23	0.32
NM_003971|SPAG9|chr17|-	chr17:49039474-49043748	49043047	0.42	0.24	0.51	0.44	0.27	0.45	0.40	0.48	0.26	0.57	0.52	0.29	0.41	0.23	0.43	0.56	0.41	0.49	0.43	0.47	0.33	0.31	0.45	0.23	0.58	NA	0.55	0.30	0.31	0.24	0.39	0.53	0.43	0.46	0.42	0.30	0.53	0.44	0.43	0.65	0.30	0.31	0.52	0.70	0.49	0.43	0.43	0.49	0.37	0.44	0.29	0.48	0.47	0.49	0.29	0.47	0.22	0.50	0.52	0.52	0.43	0.45	0.56	0.34	0.55	0.46	0.50	0.36	0.44
NM_004514|FOXK2|chr17|+	chr17:80559178-80562465	80560263	0.42	0.44	0.50	0.64	0.37	0.43	0.45	0.38	0.39	0.70	0.40	0.19	0.31	0.23	0.30	0.63	0.44	0.32	0.43	NA	0.24	0.35	0.60	0.23	0.45	NA	NA	0.40	0.48	0.37	0.33	0.34	0.38	0.50	0.26	0.32	NA	0.45	0.53	0.65	0.59	0.23	0.35	NA	0.21	0.50	0.51	0.46	0.66	0.45	0.33	0.51	0.48	0.67	0.49	0.68	0.26	0.34	NA	0.23	0.42	0.45	0.61	0.38	0.55	0.43	0.53	0.40	0.42
NM_001195214|YIPF6|chrX|+	chrX:67751722-67757215	67754490	0.43	0.81	0.37	0.42	0.39	0.45	0.34	0.45	0.27	0.53	0.43	NA	NA	0.23	0.36	0.46	0.36	0.53	0.44	0.34	0.18	0.34	0.52	0.31	0.61	0.34	0.51	0.59	0.50	0.58	0.33	0.44	0.52	0.57	0.27	0.61	0.48	0.31	0.57	0.68	0.65	0.31	0.43	NA	0.17	0.32	0.45	0.50	0.64	0.47	0.33	0.48	0.56	0.65	0.66	0.45	0.78	0.44	NA	0.27	0.53	0.44	0.40	0.48	0.31	0.48	0.32	0.31	0.53
NM_032368|LZIC|chr1|-	chr1:9986355-9990515	9990328	0.34	0.47	0.43	0.48	0.40	0.46	0.38	0.60	0.41	0.66	0.61	NA	NA	0.31	0.46	0.43	0.63	0.43	0.56	NA	0.27	0.44	0.50	0.25	0.66	NA	NA	0.56	0.39	0.41	0.30	0.55	0.52	0.62	0.42	0.40	NA	0.40	0.57	0.72	0.38	0.33	0.59	NA	NA	0.51	0.54	0.62	0.69	0.46	0.42	0.53	0.59	0.60	0.42	0.52	0.44	0.46	NA	0.37	0.51	0.59	0.42	0.57	0.51	0.53	0.46	0.24	0.52
NM_015339|ADNP|chr20|-	chr20:49505285-49511049	49506976	0.58	NA	0.77	0.64	0.55	0.39	1.00	0.67	0.40	0.81	0.36	0.42	0.34	0.29	0.41	0.33	0.38	0.68	0.78	0.46	0.52	0.44	0.33	0.74	0.37	0.50	0.60	0.50	0.50	0.80	0.60	0.85	0.89	0.83	0.40	0.93	0.61	0.86	0.63	0.45	0.85	0.26	0.41	0.36	0.62	0.53	0.80	0.79	0.50	0.84	0.58	0.57	0.27	0.79	0.39	0.85	NA	0.35	0.59	0.27	0.70	0.60	0.29	0.20	0.40	NA	0.41	0.17	0.61
NM_000089|COL1A2|chr7|+	chr7:94059558-94060522	94059937	0.61	0.47	0.67	0.67	0.52	0.55	0.46	0.39	0.51	0.57	0.52	0.52	0.67	0.63	0.44	0.56	0.44	0.58	0.60	0.74	0.52	0.54	0.35	0.67	0.54	0.51	0.75	0.61	0.63	0.60	0.66	0.51	0.47	0.52	0.47	0.44	0.51	0.28	0.33	0.21	0.45	0.58	0.52	0.85	0.53	0.53	0.53	0.58	0.52	0.54	0.58	0.57	0.41	0.45	0.53	0.66	0.51	0.49	0.78	0.50	0.56	0.61	0.51	0.39	0.50	0.41	0.48	0.52	0.49
NM_001110792|MECP2|chrX|-	chrX:153286961-153296901	153295784	0.31	0.19	0.22	0.26	0.23	0.59	0.19	0.28	0.37	0.26	0.62	NA	NA	0.26	0.39	0.34	0.40	0.20	0.35	NA	0.27	0.31	0.74	0.13	0.29	NA	NA	0.27	0.23	0.19	0.25	0.22	0.35	0.55	0.18	0.12	NA	0.40	0.45	0.63	0.19	0.33	0.22	NA	NA	0.50	0.28	0.40	0.44	0.36	0.34	0.33	0.47	0.32	0.33	0.37	0.16	0.39	NA	0.40	0.40	0.23	0.56	0.47	0.38	0.13	0.33	0.39	0.37
NM_006753|SURF6|chr9|-	chr9:136195290-136199184	136197877	0.17	0.49	0.20	0.16	0.41	0.14	0.57	0.20	0.32	0.10	NA	NA	NA	0.14	0.46	0.25	0.17	0.26	0.25	NA	NA	0.16	0.23	NA	0.39	NA	NA	0.28	0.38	0.11	0.18	NA	0.23	0.17	0.07	0.17	NA	0.49	0.48	NA	0.11	NA	NA	NA	NA	0.10	0.26	0.11	NA	0.09	0.08	0.17	0.24	0.33	NA	0.16	0.11	0.25	NA	NA	0.10	0.13	0.26	0.26	0.13	0.07	0.12	0.25	0.47
NR_027126|RBM18|chr9|-	chr9:125000493-125004322	125002445	0.24	NA	0.42	0.31	0.23	0.30	0.46	0.35	0.26	0.54	0.33	NA	NA	0.15	0.33	0.37	0.42	0.36	0.39	NA	NA	0.22	0.26	0.12	0.39	NA	NA	0.26	0.28	0.33	0.27	0.22	0.45	0.44	0.23	0.45	NA	NA	0.39	0.41	0.44	0.28	0.33	NA	NA	0.37	0.37	0.44	0.36	0.36	0.22	0.38	0.53	0.63	0.30	0.38	0.39	0.38	NA	NA	0.36	0.42	0.33	0.23	0.27	0.40	0.25	0.22	0.46
NM_144498|OSBPL2|chr20|+	chr20:60868840-60871318	60869904	0.45	0.65	0.49	0.41	0.26	0.36	0.53	0.48	0.27	0.62	0.44	0.24	NA	0.22	0.34	0.40	0.31	0.52	0.55	NA	0.26	0.27	0.43	0.30	0.55	0.49	NA	0.38	0.33	0.32	0.41	0.41	0.41	0.62	0.32	0.51	NA	0.44	0.48	0.66	0.50	0.22	0.43	NA	0.50	0.57	0.49	0.53	0.47	0.49	0.34	0.30	0.52	0.60	0.55	0.54	0.36	0.32	NA	0.31	0.47	0.51	0.41	0.37	0.43	0.61	0.54	0.38	0.51
NM_001255976|PMEPA1|chr20|-	chr20:56219588-56227654	56223490	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00
NM_013302|EEF2K|chr16|+	chr16:22295207-22300049	22297921	NA	NA	0.36	0.42	NA	0.37	NA	NA	0.42	NA	0.27	NA	NA	NA	0.51	0.40	NA	0.33	0.54	NA	0.33	0.38	0.58	NA	0.70	0.51	NA	NA	NA	NA	0.37	0.67	0.84	0.63	0.41	0.62	NA	0.46	0.60	0.68	NA	0.39	0.54	NA	0.44	0.51	NA	0.47	0.54	NA	NA	0.58	0.35	0.67	NA	NA	NA	0.38	NA	0.35	0.40	NA	0.38	0.44	0.29	NA	0.25	NA	0.54
NM_194261|UBE2I|chr16|+	chr16:1374730-1377005	1375280	0.13	0.10	0.11	0.07	0.03	0.12	0.18	0.16	0.05	0.14	0.09	0.04	0.06	0.04	0.11	0.05	0.16	0.09	0.10	0.02	0.05	0.06	0.09	0.05	0.18	0.17	0.08	0.09	0.05	0.06	0.07	0.10	0.16	0.11	0.06	0.10	NA	0.24	0.19	0.35	0.10	0.07	0.11	NA	0.07	0.13	0.06	0.12	0.12	0.15	0.07	0.07	0.22	0.16	0.07	0.06	0.10	0.13	NA	0.15	0.07	0.09	0.08	0.11	0.10	0.15	0.12	0.02	0.14
NM_002709|PPP1CB|chr2|+	chr2:29022064-29025832	29023850	0.40	0.93	0.52	0.43	0.39	0.34	0.64	0.54	0.28	0.61	0.30	0.25	0.39	0.31	0.43	0.59	0.47	0.45	0.54	0.59	0.31	0.32	0.36	0.35	0.53	0.47	0.73	0.42	0.40	0.44	0.47	0.54	0.87	0.65	0.38	0.89	0.74	0.47	0.68	0.56	0.61	0.26	0.42	0.53	0.44	0.45	0.46	0.62	0.57	0.66	0.39	0.48	0.31	0.58	0.44	0.56	0.68	0.43	0.48	0.33	0.44	0.55	0.29	0.33	0.29	0.75	0.41	0.17	0.56
NM_004863|SPTLC2|chr14|-	chr14:77972324-77978746	77978485	0.48	0.10	0.42	0.47	0.34	0.69	0.39	0.40	0.52	0.54	0.56	NA	NA	0.37	0.51	0.52	0.55	0.33	0.30	NA	NA	0.46	0.60	0.20	0.58	0.60	0.82	0.44	0.39	0.32	0.31	0.38	0.38	0.60	0.33	0.30	0.81	0.59	0.58	0.57	0.27	0.34	0.50	1.00	NA	0.54	NA	0.41	0.71	0.48	0.49	0.48	0.50	0.53	0.31	0.60	0.25	0.42	1.00	0.55	0.40	0.36	0.60	0.51	0.60	0.31	0.48	0.31	0.52
NM_174909|TMEM167A|chr5|-	chr5:82347055-82352973	82352605	0.32	0.52	0.35	0.45	0.27	0.42	0.34	0.38	0.35	0.46	0.52	0.29	0.36	0.27	0.32	0.61	0.34	0.39	0.51	0.44	0.30	0.32	0.44	0.20	0.52	0.45	0.48	0.34	0.27	0.32	0.37	0.31	0.39	0.41	0.34	0.51	0.50	0.46	0.50	0.61	0.36	0.35	0.44	0.59	0.31	0.36	0.39	0.44	0.39	0.46	0.37	0.49	0.50	0.55	0.39	0.34	0.36	0.47	0.56	0.40	0.40	0.40	0.44	0.38	0.46	0.33	0.39	0.23	0.43
NM_001981|EPS15|chr1|-	chr1:51819906-51822518	51820940	0.73	0.99	0.62	0.50	0.43	0.44	0.66	0.58	0.47	0.64	0.45	NA	0.50	0.46	0.44	0.56	0.39	0.72	0.43	0.78	0.38	0.40	0.43	0.55	0.48	NA	0.69	0.53	0.53	0.55	0.66	0.60	0.82	0.71	0.39	0.70	0.78	0.46	0.70	0.59	0.76	0.40	0.62	NA	0.69	0.59	0.57	0.72	0.48	0.64	0.46	0.53	0.48	0.59	0.56	0.79	0.91	0.45	0.73	0.50	0.61	0.61	0.65	0.38	0.41	0.81	0.59	0.41	0.49
NM_001202516|CFLAR|chr2|+	chr2:202028557-202038096	202032603	NA	0.83	0.82	0.47	0.98	0.54	0.74	0.54	0.23	0.63	NA	0.23	0.38	0.30	0.50	NA	0.73	0.80	NA	0.69	0.28	0.37	0.65	0.26	0.72	NA	1.00	0.50	0.47	0.39	NA	0.43	1.00	0.59	0.34	1.00	1.00	0.64	0.93	0.95	0.84	0.59	0.54	0.63	0.44	0.43	NA	0.50	0.27	0.48	0.39	0.53	0.69	1.00	NA	0.79	0.62	0.64	0.90	0.48	0.68	0.66	0.64	0.44	0.44	NA	0.62	0.86	0.56
NM_001002264|EPSTI1|chr13|-	chr13:43460558-43462638	43462235	0.22	0.44	0.22	0.23	NA	0.20	0.28	0.26	0.20	0.31	0.23	0.17	0.26	0.16	0.20	0.28	NA	0.24	NA	NA	0.22	0.22	0.25	0.27	0.39	0.35	NA	0.24	0.21	0.22	0.25	0.24	0.32	NA	0.19	0.41	NA	NA	NA	NA	NA	NA	0.20	NA	0.22	0.28	0.29	0.28	0.26	0.30	0.27	0.27	0.28	NA	0.26	NA	0.36	0.40	NA	0.39	0.32	0.23	0.19	0.29	0.21	NA	0.18	0.16	0.22
NM_024755|SLTM|chr15|-	chr15:59171021-59172306	59171682	NA	0.86	0.64	0.48	0.51	0.58	0.73	0.84	0.38	0.63	0.49	0.41	NA	0.50	0.67	0.62	0.52	0.62	0.54	NA	0.47	0.43	0.57	0.62	0.60	0.68	0.98	0.52	0.47	0.73	0.53	0.83	0.70	0.69	0.44	0.63	NA	0.65	0.61	0.86	0.71	0.42	0.51	NA	NA	0.55	0.71	0.64	0.50	0.53	0.55	0.60	0.52	0.57	0.42	0.83	0.85	0.65	NA	0.65	0.57	0.61	0.56	0.61	0.47	0.95	0.51	0.50	0.61
NM_052972|LRG1|chr19|-	chr19:4536436-4538963	4537256	0.27	0.67	0.38	NA	0.28	0.30	0.40	0.31	0.28	0.39	NA	0.28	0.64	0.27	0.18	0.39	0.25	0.32	NA	NA	0.31	0.23	NA	0.23	0.34	0.35	NA	0.35	0.29	0.43	0.29	0.33	0.38	0.37	0.22	0.39	NA	0.35	0.37	0.51	0.43	0.23	0.24	NA	0.35	0.33	0.44	0.34	0.34	0.43	0.28	0.42	0.31	0.30	0.35	NA	0.58	0.25	NA	0.34	0.46	0.33	NA	0.22	0.23	0.29	0.18	NA	0.36
NM_001170330|C4orf3|chr4|-	chr4:120218188-120219934	120219673	0.37	0.32	0.31	0.29	0.27	0.28	0.29	0.39	0.25	0.25	0.47	0.16	0.18	0.19	0.26	0.40	0.25	0.32	0.35	0.20	0.17	0.23	0.43	0.26	0.36	0.32	0.37	0.27	0.25	0.23	0.20	0.26	0.28	0.33	0.27	0.21	0.36	0.36	0.40	0.50	0.25	0.27	0.38	0.47	0.36	0.24	0.32	0.33	0.33	0.17	0.24	0.26	0.36	0.43	0.23	0.22	0.34	0.35	0.21	0.36	0.38	0.26	0.27	0.38	0.34	0.36	0.26	0.23	0.41
NM_001083924|C1orf116|chr1|-	chr1:207190745-207196825	207194103	0.53	0.74	0.87	0.40	0.90	0.45	0.92	0.63	0.30	0.80	0.66	NA	NA	0.32	0.69	NA	0.63	0.78	NA	NA	NA	0.31	0.86	0.65	0.63	0.58	NA	0.81	0.34	0.81	NA	0.77	0.69	0.80	NA	0.86	1.00	0.81	0.80	0.70	0.78	NA	0.37	NA	NA	0.63	NA	0.68	0.44	0.48	0.46	0.50	0.76	0.88	0.81	NA	0.68	0.65	NA	0.65	0.71	0.41	NA	0.38	0.71	0.96	0.63	0.60	0.84
NM_003403|YY1|chr14|+	chr14:100743754-100749177	100744880	0.22	0.19	0.23	0.17	0.13	0.25	0.31	0.19	0.15	0.32	0.30	0.13	0.21	0.13	0.26	0.41	0.30	0.24	0.27	0.23	0.18	0.21	0.31	0.12	0.36	0.29	0.31	0.23	0.22	0.13	0.15	0.20	0.28	0.32	0.14	0.20	0.42	0.31	0.35	0.36	0.19	0.20	0.22	0.37	0.12	0.27	0.22	0.27	0.26	0.24	0.15	0.32	0.26	0.29	0.22	0.27	0.13	0.23	0.25	0.20	0.24	0.16	0.26	0.23	0.21	0.17	0.23	0.09	0.35
NR_024537|GSTM3|chr1|-	chr1:110277919-110279791	110279636	0.11	0.10	0.13	0.11	0.03	0.07	0.10	0.11	NA	0.06	0.12	NA	NA	0.05	0.09	0.07	0.13	0.09	0.06	NA	0.06	0.06	0.13	0.05	0.17	0.19	NA	0.06	0.09	0.09	0.10	0.07	0.12	NA	0.04	0.05	NA	0.30	0.25	0.16	0.08	0.08	0.13	NA	0.14	0.09	0.06	0.10	0.12	NA	0.05	NA	NA	0.16	0.06	0.04	0.06	0.08	NA	0.11	0.06	0.12	0.05	0.07	NA	0.07	0.07	0.04	0.14
NM_014991|WDFY3|chr4|-	chr4:85590560-85594144	85593618	0.72	0.56	0.62	0.73	0.55	0.79	0.56	0.67	0.62	0.55	0.53	NA	NA	0.49	0.64	0.69	0.48	0.63	0.41	NA	0.37	0.55	0.70	NA	0.57	NA	NA	0.61	0.69	0.63	0.51	0.75	0.75	0.61	NA	0.39	NA	0.43	0.74	0.72	0.49	NA	0.73	NA	0.54	0.66	0.73	0.62	0.60	0.64	0.33	0.77	0.73	0.50	NA	0.64	0.53	0.66	NA	NA	0.54	0.68	0.82	0.55	0.55	NA	0.64	0.57	0.70
NM_001098517|CADM1|chr11|-	chr11:115044343-115047312	115047156	0.56	0.31	0.36	0.76	0.60	0.69	0.34	0.62	0.75	NA	0.77	NA	NA	0.59	0.48	0.58	0.54	0.62	0.54	NA	NA	0.64	0.78	0.60	NA	NA	NA	0.38	NA	0.48	0.48	0.56	0.62	0.64	0.52	0.74	0.83	0.54	0.62	0.59	0.22	0.58	0.72	NA	0.58	0.63	0.67	0.48	0.72	0.74	0.35	0.50	0.55	0.49	0.25	0.67	0.31	0.47	NA	0.49	0.53	0.57	0.77	0.53	0.64	0.33	0.42	0.71	0.65
NM_080391|PTP4A2|chr1|-	chr1:32372010-32374561	32374304	0.48	0.40	0.40	0.42	0.47	0.52	0.52	0.52	0.32	0.48	0.63	0.29	0.34	0.27	0.41	0.47	0.59	0.36	0.45	0.50	0.41	0.46	0.56	0.36	0.61	0.52	0.67	0.42	0.40	0.31	0.32	0.53	0.53	0.53	0.52	0.48	0.65	0.56	0.60	0.60	0.35	0.29	0.47	0.57	0.39	0.51	0.42	0.53	0.61	0.48	0.35	0.54	0.47	0.62	0.41	0.45	0.30	0.40	0.69	0.39	0.37	0.44	0.45	0.44	0.49	0.49	0.42	0.14	0.54
