event_id	loci	Proximal_Site	TCGA-38-4627-01A-01R-1206-07	TCGA-49-4512-01A-21R-1858-07	TCGA-55-6983-01A-11R-1949-07	TCGA-55-6978-01A-11R-1949-07	TCGA-73-4676-01A-01R-1755-07	TCGA-91-6828-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5933-01A-11R-1755-07	TCGA-55-6984-01A-11R-1949-07	TCGA-91-6829-01A-21R-1858-07	TCGA-44-2668-01A-01R-A278-07	TCGA-44-2668-01B-02R-A277-07	TCGA-44-2668-01A-01R-0946-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6831-01A-11R-1858-07	TCGA-50-5932-01A-11R-1755-07	TCGA-49-6744-01A-11R-1858-07	TCGA-50-5931-01A-11R-1755-07	TCGA-44-2662-01B-02R-A277-07	TCGA-44-2662-01A-01R-A278-07	TCGA-44-2662-01A-01R-0946-07	TCGA-44-6778-01A-11R-1858-07	TCGA-38-4632-01A-01R-1755-07	TCGA-44-6146-01A-11R-1755-07	TCGA-44-6146-01A-11R-A278-07	TCGA-44-6146-01B-04R-A277-07	TCGA-44-3396-01A-01R-1206-07	TCGA-50-6595-01A-12R-1858-07	TCGA-55-6979-01A-11R-1949-07	TCGA-55-6975-01A-11R-1949-07	TCGA-44-2661-01A-01R-1107-07	TCGA-50-5935-01A-11R-1755-07	TCGA-55-6986-01A-11R-1949-07	TCGA-38-4625-01A-01R-1206-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-5645-01B-04R-A277-07	TCGA-44-5645-01A-01R-A278-07	TCGA-44-5645-01A-01R-1628-07	TCGA-44-6148-01A-11R-1755-07	TCGA-91-6849-01A-11R-1949-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-2665-01B-06R-A277-07	TCGA-44-2665-01A-01R-A278-07	TCGA-50-5939-01A-11R-1628-07	TCGA-55-6969-01A-11R-1949-07	TCGA-55-6980-01A-11R-1949-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6761-01A-31R-1949-07	TCGA-55-6981-01A-11R-1949-07	TCGA-44-6145-01A-11R-1755-07	TCGA-55-6971-01A-11R-1949-07	TCGA-44-6776-01A-11R-1858-07	TCGA-50-5930-01A-11R-1755-07	TCGA-91-6847-01A-11R-1949-07	TCGA-49-4490-01A-21R-1858-07	TCGA-44-6147-01A-11R-1755-07	TCGA-44-6147-01B-06R-A277-07	TCGA-44-6147-01A-11R-A278-07	TCGA-55-6985-01A-11R-1949-07	TCGA-55-6982-01A-11R-1949-07	TCGA-55-6968-01A-11R-1949-07	TCGA-91-6835-01A-11R-1858-07	TCGA-55-6970-01A-11R-1949-07	TCGA-55-6972-01A-11R-1949-07	TCGA-50-5936-01A-11R-1628-07	TCGA-91-6836-01A-21R-1858-07	TCGA-38-4626-01A-01R-1206-07
NM_007182|RASSF1|chr3|-	chr3:50367215-50368158	50368008	0.98	1.00	1.00	0.98	0.96	1.00	0.99	0.98	0.97	1.00	0.98	NA	NA	0.96	0.98	0.97	1.00	1.00	0.96	NA	NA	0.95	1.00	0.98	0.99	0.80	NA	0.97	0.99	1.00	0.98	1.00	0.99	0.98	1.00	0.99	NA	0.69	0.99	0.99	1.00	NA	0.96	NA	NA	0.99	0.97	0.95	0.96	1.00	1.00	0.96	0.98	0.91	0.94	0.98	NA	0.98	NA	0.72	0.95	0.98	0.98	0.95	0.97	0.99	0.97	0.97	0.99
NM_001114397|DHX36|chr3|-	chr3:153988886-153994145	153993489	0.24	0.18	0.20	0.28	0.04	0.25	0.11	0.18	0.18	0.32	0.23	0.14	0.41	0.18	0.32	0.27	0.06	0.23	0.27	NA	0.16	0.19	0.27	0.07	0.27	0.25	NA	0.10	0.17	0.12	0.21	0.16	0.30	0.17	0.16	0.16	NA	0.28	0.32	0.17	0.17	0.12	0.28	NA	NA	0.16	0.14	0.26	0.15	0.25	0.11	0.18	0.30	0.19	0.12	0.28	0.25	0.29	NA	0.25	0.26	0.29	0.19	0.15	0.25	0.14	0.21	0.12	0.21
NM_001098783|RPP14|chr3|+	chr3:58303166-58309510	58305253	0.20	0.36	0.29	0.26	0.28	0.22	0.21	0.37	0.21	NA	NA	NA	NA	NA	NA	0.33	0.18	0.31	NA	NA	NA	NA	0.28	0.28	0.28	NA	NA	0.27	0.25	0.29	0.24	0.28	NA	0.33	0.22	0.33	NA	NA	0.38	0.36	0.32	NA	0.30	NA	NA	NA	0.31	0.33	0.24	0.29	0.17	NA	0.28	NA	0.28	0.33	0.26	0.38	NA	NA	0.24	0.32	0.40	0.28	0.22	0.27	NA	0.29	0.30
NM_002673|PLXNB1|chr3|-	chr3:48445261-48445997	48445829	1.00	1.00	0.99	0.96	0.98	0.95	1.00	0.97	NA	0.98	0.98	NA	NA	NA	NA	0.97	0.88	1.00	1.00	NA	0.98	0.96	1.00	0.98	0.90	0.94	NA	0.99	1.00	0.94	0.94	0.93	0.98	0.92	0.98	0.99	NA	0.95	0.96	1.00	1.00	NA	0.94	NA	NA	0.73	1.00	0.99	0.91	1.00	0.99	0.98	0.88	0.99	1.00	0.99	1.00	0.96	NA	NA	1.00	1.00	0.93	1.00	0.92	1.00	0.90	0.92	1.00
NM_003242|TGFBR2|chr3|+	chr3:30732911-30738361	30735512	0.01	0.11	0.04	0.02	0.01	0.01	0.02	0.01	0.02	0.03	0.02	0.02	NA	0.01	0.01	0.01	0.01	0.02	0.03	NA	0.02	0.01	0.02	0.02	0.02	0.02	0.14	0.01	0.02	0.03	0.03	0.02	0.02	0.03	0.01	0.04	0.20	0.04	0.01	0.01	0.04	0.02	0.01	0.08	0.05	0.02	0.03	0.04	0.01	0.04	0.03	0.01	0.02	0.02	0.02	0.05	0.06	0.02	NA	0.03	0.02	0.02	0.04	0.02	0.02	0.06	0.02	0.02	0.02
NM_018147|FAIM|chr3|+	chr3:138351771-138352462	138352060	0.20	0.19	0.22	0.18	0.29	0.06	0.15	0.22	0.15	0.21	0.14	0.14	NA	0.15	0.17	0.16	0.20	0.14	0.17	NA	NA	0.11	0.20	0.19	0.20	NA	NA	0.15	0.18	0.20	0.24	0.19	0.24	0.21	0.20	0.32	NA	NA	0.20	0.17	0.20	0.13	NA	NA	NA	0.15	0.21	0.33	0.14	0.21	0.18	0.14	0.18	0.27	NA	0.26	0.15	0.20	NA	0.20	0.25	0.27	0.24	0.16	0.21	0.28	0.14	0.19	0.20
NM_005875|EIF1B|chr3|+	chr3:40353460-40353963	40353662	0.30	0.63	0.54	0.49	0.41	0.37	0.33	0.51	0.36	0.48	0.46	0.31	0.47	0.40	0.45	0.43	0.39	0.36	0.49	NA	0.34	0.22	0.42	0.49	0.42	0.28	NA	0.35	0.36	0.57	0.45	0.53	0.56	0.53	0.41	0.50	NA	0.38	0.51	0.43	0.51	0.37	0.22	NA	0.46	0.49	0.51	0.46	0.35	0.62	0.66	0.37	0.50	0.50	0.38	0.52	0.60	0.49	NA	0.29	0.52	0.47	0.52	0.46	0.50	0.58	0.32	0.50	0.43
NM_138287|DTX3L|chr3|+	chr3:122290524-122294095	122290674	0.76	0.80	0.88	0.82	0.79	0.78	0.81	0.91	0.77	0.83	0.80	0.65	0.61	0.77	0.80	0.73	0.74	0.81	0.81	NA	0.74	0.74	0.77	0.74	0.75	0.75	NA	0.72	0.76	0.74	0.82	0.78	0.74	0.86	0.80	0.81	NA	0.75	0.68	0.76	0.78	0.73	0.77	NA	0.68	0.84	0.84	0.87	0.77	0.85	0.78	0.76	0.92	0.84	0.98	0.80	NA	0.79	NA	0.75	0.88	0.89	0.83	0.75	0.78	NA	0.76	0.74	0.78
NM_000884|IMPDH2|chr3|-	chr3:49061326-49061837	49061687	0.14	0.18	0.06	0.11	0.13	0.12	0.15	0.18	0.23	0.12	0.13	NA	NA	0.12	0.14	0.13	0.18	0.15	0.20	NA	0.32	0.20	0.23	0.11	0.34	NA	NA	0.24	0.11	0.13	0.11	0.15	0.19	0.07	0.05	0.15	NA	0.44	0.25	0.29	0.13	0.21	0.17	NA	NA	0.17	0.09	0.16	0.07	0.08	0.18	0.17	0.25	0.13	0.24	0.06	0.11	0.23	NA	0.25	0.24	0.16	0.18	0.21	0.06	0.09	0.12	0.12	0.22
NM_001190242|IFT80|chr3|-	chr3:159974791-159976423	159976206	0.79	NA	0.86	0.79	0.61	0.51	0.77	0.70	0.65	0.76	0.56	0.56	NA	0.64	0.67	0.68	0.69	0.73	0.75	NA	NA	0.58	0.65	NA	NA	NA	NA	0.64	0.69	0.83	0.63	0.80	0.88	NA	NA	NA	NA	0.66	0.76	0.68	0.63	0.48	0.71	NA	NA	0.59	0.88	0.73	0.70	NA	0.70	0.75	0.65	0.89	0.54	0.75	0.84	0.71	NA	NA	0.90	0.74	0.63	0.62	0.62	0.85	0.61	0.60	0.68
NM_021038|MBNL1|chr3|+	chr3:152180173-152183595	152181842	0.78	0.89	0.88	0.84	0.79	0.82	0.76	0.80	0.80	0.87	0.79	0.72	0.70	0.73	0.79	0.78	0.74	0.79	0.82	0.85	0.73	0.65	0.76	0.90	0.76	0.70	0.84	0.76	0.84	0.91	0.86	0.83	0.85	0.87	0.79	0.86	0.84	0.76	0.80	0.78	0.87	0.76	0.66	0.67	0.87	0.83	0.84	0.91	0.81	0.91	0.89	0.78	0.78	0.83	0.81	0.89	0.92	0.83	0.70	0.74	0.84	0.83	0.84	0.76	0.79	0.93	0.73	0.74	0.76
NR_024272|SEC13|chr3|-	chr3:10341938-10343058	10342661	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	NA	0.01	0.01	0.01	0.01	0.01	0.01	NA	0.02	0.01	0.02	0.01	0.01	0.02	NA	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.01	NA	0.03	0.02	0.01	0.02	0.01	0.01	NA	0.01	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	NA	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.01
NM_001198896|ACY1|chr3|+	chr3:52022926-52024499	52023159	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	NA	NA	0.01	0.01	0.01	0.01	0.01	0.01	NA	NA	0.01	0.01	0.01	0.01	0.02	NA	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	NA	0.02	0.01	0.01	0.01	0.01	0.01	NA	NA	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	NA	NA	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
NM_017719|SNRK|chr3|+	chr3:43388830-43392656	43389239	0.94	NA	0.98	0.97	NA	0.91	NA	0.95	0.94	NA	0.88	0.73	NA	0.88	0.87	0.94	0.91	0.91	NA	NA	0.71	NA	0.86	NA	0.82	0.74	NA	0.98	0.94	0.94	0.88	0.92	0.93	NA	NA	NA	NA	0.80	0.86	0.90	NA	NA	0.89	NA	NA	0.89	NA	NA	0.89	NA	0.91	0.93	0.75	NA	0.86	NA	NA	0.89	NA	0.77	0.97	NA	NA	0.91	0.92	NA	NA	0.88	0.93
NM_000373|UMPS|chr3|+	chr3:124462761-124463382	124462999	0.19	0.31	0.28	0.19	0.16	0.19	0.22	0.21	0.19	0.24	0.20	0.17	NA	0.15	0.17	0.14	0.17	0.17	0.22	NA	0.18	0.18	0.21	0.23	0.19	0.27	NA	0.19	0.19	0.28	0.22	0.19	0.20	0.19	0.17	0.17	NA	0.26	0.16	0.19	0.23	0.17	0.17	NA	NA	0.22	0.20	0.19	0.24	0.19	0.19	0.17	0.21	0.20	0.23	0.21	0.22	0.18	NA	0.26	0.21	0.21	0.22	0.19	0.24	0.24	0.27	0.16	0.18
NM_144641|PPM1M|chr3|+	chr3:52283685-52284642	52283835	1.00	1.00	1.00	1.00	0.99	0.94	1.00	1.00	1.00	NA	0.96	NA	NA	1.00	1.00	1.00	0.90	1.00	1.00	NA	0.85	0.98	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	0.93	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	0.99	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00
NR_026698|KPNA1|chr3|-	chr3:122140552-122146019	122144568	0.32	0.38	0.33	0.33	0.26	0.30	0.31	0.30	0.25	0.36	0.29	0.16	0.33	0.17	0.26	0.35	0.25	0.28	0.30	NA	0.22	0.21	0.35	0.25	0.35	0.31	NA	0.29	0.31	0.27	0.24	0.29	0.36	0.34	0.23	0.32	NA	0.37	0.35	0.42	0.34	0.16	0.29	NA	NA	0.22	0.32	0.31	0.27	0.39	0.20	0.33	0.36	0.38	0.29	0.40	0.33	0.31	NA	0.29	0.31	0.28	0.38	0.26	0.28	0.42	0.30	0.25	0.30
NM_004087|DLG1|chr3|-	chr3:196769005-196771600	196769948	0.19	0.52	0.26	0.21	0.24	0.13	0.23	0.23	0.20	0.21	0.17	0.11	NA	0.16	0.15	0.24	0.16	0.22	0.25	NA	NA	0.14	0.18	0.15	0.18	0.15	NA	0.22	0.16	0.20	0.22	0.21	0.26	0.32	0.21	0.41	NA	0.18	0.23	0.28	0.25	0.17	0.16	NA	NA	0.21	0.30	0.34	0.13	0.24	0.21	0.20	0.22	0.21	0.28	0.31	0.41	0.20	NA	0.18	0.30	0.27	0.22	0.18	0.16	0.55	0.18	0.13	0.25
NM_053032|MYLK|chr3|-	chr3:123330587-123333196	123331575	0.50	0.89	0.86	0.67	0.64	0.57	0.64	0.60	0.56	0.74	0.56	0.37	NA	0.47	0.56	0.61	0.56	0.65	0.68	NA	0.39	0.30	0.53	0.67	0.50	0.43	NA	0.53	0.74	0.76	0.76	0.78	0.84	0.80	0.56	0.90	NA	0.38	0.65	0.61	0.75	0.47	0.31	NA	0.64	0.69	0.84	0.79	0.45	0.86	0.74	0.62	0.55	0.63	0.73	NA	0.87	0.70	NA	0.45	0.81	0.81	0.73	0.42	0.68	NA	0.53	0.47	0.53
NM_020202|NIT2|chr3|+	chr3:100074020-100075520	100074170	0.02	0.03	0.02	0.06	0.03	0.05	0.02	0.04	0.05	0.04	0.05	0.03	NA	0.03	0.03	0.07	0.06	0.02	0.03	NA	0.02	0.03	0.08	0.02	0.07	0.05	NA	0.04	0.03	0.02	0.03	0.02	0.05	0.04	0.04	0.05	NA	0.07	0.06	0.07	0.03	0.03	0.04	NA	0.03	0.05	0.05	0.03	0.06	0.02	0.03	0.08	0.08	0.04	0.04	0.05	0.02	0.04	NA	0.06	0.05	0.03	0.06	0.05	0.04	0.01	0.02	0.02	0.05
NM_001998|FBLN2|chr3|+	chr3:13679061-13679903	13679471	0.61	0.92	0.81	0.61	0.70	0.82	0.82	0.61	0.56	NA	0.63	0.66	NA	0.61	0.63	0.59	0.70	0.62	0.75	NA	0.57	0.63	0.61	0.60	NA	NA	NA	0.62	0.67	0.77	0.57	0.71	0.86	0.74	0.62	0.84	NA	NA	0.53	0.58	0.85	0.57	0.63	NA	0.63	0.60	0.82	0.71	0.55	0.89	0.81	0.67	0.58	0.69	0.72	0.68	0.89	0.75	NA	0.57	0.73	0.83	0.55	0.57	0.64	NA	0.52	0.56	0.65
NM_018385|LSG1|chr3|-	chr3:194361508-194362976	194362002	0.80	1.00	0.93	0.94	0.93	0.96	0.90	0.90	0.82	0.92	0.87	0.72	NA	0.83	0.86	0.80	0.90	0.94	0.93	NA	0.71	0.69	0.82	0.85	0.81	0.72	NA	0.90	0.96	0.92	0.98	0.90	0.95	0.95	0.69	0.92	NA	0.72	0.94	0.81	0.98	0.75	0.72	NA	NA	0.75	0.96	0.98	0.77	1.00	0.75	0.83	0.83	0.89	0.89	0.91	0.98	0.96	NA	0.74	0.89	0.99	0.85	0.73	0.80	NA	0.78	0.89	0.80
NM_001080517|SETD5|chr3|+	chr3:9517166-9519876	9517413	NA	0.99	0.99	0.97	0.97	0.92	0.99	0.94	0.96	0.94	0.94	NA	NA	0.92	0.88	0.97	0.91	0.96	0.98	NA	NA	0.93	0.89	0.95	0.86	NA	NA	0.97	0.95	0.99	0.91	0.96	0.97	0.98	0.95	0.98	NA	NA	0.89	0.85	0.99	0.90	0.96	NA	NA	0.95	0.96	0.98	0.98	1.00	0.98	0.96	0.93	0.96	0.96	0.99	0.98	0.95	NA	NA	0.99	0.99	0.98	0.91	0.97	0.99	0.89	0.94	0.98
NM_024665|TBL1XR1|chr3|-	chr3:176737197-176743312	176742771	0.85	0.85	0.86	0.89	0.85	0.88	0.89	0.91	0.80	0.86	0.85	0.60	0.76	0.80	0.85	0.84	0.84	0.88	0.84	0.58	0.60	0.72	0.84	0.90	0.87	0.67	0.73	0.85	0.80	0.88	0.87	0.92	0.93	0.88	0.88	0.86	0.66	0.70	0.91	0.88	0.89	0.74	0.81	0.61	0.66	0.88	0.89	0.89	0.83	0.89	0.84	0.88	0.88	0.90	0.88	0.95	0.89	0.86	0.63	0.63	0.87	0.87	0.88	0.81	0.85	0.87	0.80	0.74	0.88
NM_003794|SNX4|chr3|-	chr3:125165481-125166670	125166520	0.87	1.00	0.98	0.90	0.92	0.76	0.89	0.91	0.87	0.95	0.89	0.72	NA	0.73	0.76	0.79	0.78	0.86	0.91	NA	0.97	0.74	0.80	0.80	0.67	0.91	NA	0.87	0.71	0.95	0.95	0.82	0.98	0.98	0.77	0.98	NA	0.65	0.77	0.91	0.98	0.74	0.85	NA	NA	0.83	0.96	0.91	0.75	0.96	0.88	0.95	0.83	0.80	0.97	1.00	1.00	0.89	NA	0.93	0.99	1.00	0.87	0.72	0.89	1.00	0.75	0.81	0.76
NM_001184718|TIPARP|chr3|+	chr3:156422472-156424638	156422761	0.80	0.86	0.91	0.78	0.81	0.65	0.85	0.80	0.80	0.87	0.78	0.65	0.91	0.78	0.75	NA	0.74	0.84	0.93	NA	0.64	0.72	0.77	0.86	0.74	0.54	NA	0.80	0.75	0.86	0.86	0.85	0.84	0.90	0.76	0.89	NA	0.62	0.85	0.75	0.91	0.62	0.76	NA	0.65	0.77	0.88	0.88	0.77	0.92	0.84	0.85	0.87	0.86	0.78	NA	0.86	0.80	NA	0.57	0.85	0.89	0.79	0.79	0.82	0.95	0.71	0.80	0.80
NM_022485|MTMR14|chr3|+	chr3:9743473-9744078	9743757	0.97	1.00	0.99	0.92	0.98	0.82	0.88	0.88	0.88	0.99	0.86	NA	NA	0.94	1.00	0.98	0.87	1.00	0.89	NA	1.00	0.87	0.92	0.93	0.95	NA	NA	0.94	1.00	0.96	0.95	1.00	1.00	0.85	0.91	0.99	NA	NA	0.98	0.87	0.91	0.92	0.85	NA	NA	0.94	0.96	0.89	0.88	0.90	0.93	0.96	0.87	1.00	0.98	0.92	0.99	0.96	NA	NA	1.00	0.97	0.95	0.95	0.96	0.87	0.97	0.96	0.90
NR_033721|DNAJC19|chr3|-	chr3:180698319-180702498	180701564	0.01	0.07	0.03	NA	0.02	0.06	0.04	0.04	NA	0.04	0.05	NA	NA	0.02	0.03	0.05	0.07	0.04	0.04	NA	NA	0.03	0.08	0.03	0.04	NA	NA	0.03	0.01	0.05	0.03	0.03	0.06	0.03	0.02	0.03	NA	NA	0.04	0.08	0.03	NA	0.03	NA	NA	0.05	0.02	0.03	0.03	0.02	0.02	0.05	NA	0.05	0.04	0.10	0.03	0.04	NA	NA	0.02	0.04	0.05	0.07	0.02	0.04	0.04	0.03	0.05
NM_007284|TWF2|chr3|-	chr3:52262646-52263217	52263005	0.92	1.00	0.93	0.88	0.75	0.71	0.93	0.82	0.79	0.91	0.79	0.65	NA	0.83	0.84	0.90	0.83	0.90	0.93	NA	0.84	0.81	0.91	0.90	0.83	0.84	NA	0.90	0.97	0.98	0.90	0.91	0.82	0.89	0.85	0.96	NA	0.64	0.79	0.95	0.94	0.84	0.87	NA	NA	0.82	0.89	0.91	0.76	0.96	0.84	0.93	0.98	0.85	0.90	0.89	1.00	0.91	NA	0.78	0.95	0.90	0.87	0.71	0.87	0.99	0.81	0.73	0.94
NM_014616|ATP11B|chr3|+	chr3:182635810-182640885	182639291	0.12	NA	0.19	0.09	0.08	0.11	0.20	0.14	0.10	0.18	0.10	0.03	NA	0.07	0.08	0.22	0.05	0.16	0.21	NA	0.07	0.10	0.19	NA	0.15	0.10	0.19	0.11	0.09	0.12	0.16	0.24	0.25	0.20	NA	0.25	NA	0.10	0.13	0.17	0.21	0.07	0.12	NA	NA	0.12	0.17	0.20	0.11	0.13	0.15	0.25	0.12	0.19	0.11	0.34	0.24	0.11	NA	NA	0.16	0.13	0.11	0.12	0.06	NA	0.10	NA	0.19
NM_178335|CCDC50|chr3|+	chr3:191109529-191116461	191109920	0.25	0.20	0.18	0.20	0.25	0.18	0.18	0.20	0.27	0.14	0.28	0.12	0.22	0.13	0.29	0.26	0.20	0.20	0.25	0.30	0.18	0.17	0.34	0.14	0.27	0.22	0.39	0.20	0.13	0.15	0.20	0.14	0.27	0.22	0.20	0.17	0.47	0.25	0.26	0.28	0.22	0.32	0.22	0.38	0.18	0.18	0.20	0.30	0.20	0.11	0.23	0.21	0.24	0.30	0.17	0.19	0.19	0.27	0.48	0.31	0.18	0.18	0.19	0.32	0.18	0.13	0.14	0.11	0.28
NM_002182|IL1RAP|chr3|+	chr3:190366126-190369292	190366366	0.72	NA	NA	0.90	NA	0.77	NA	NA	0.88	0.78	0.81	0.53	NA	0.67	0.76	0.77	NA	NA	NA	NA	0.62	0.67	NA	NA	NA	NA	NA	0.81	0.88	0.89	NA	0.89	0.88	0.95	NA	NA	NA	0.62	0.85	NA	NA	0.66	0.76	NA	0.81	NA	NA	0.83	0.87	0.91	0.91	NA	NA	NA	NA	0.93	0.93	0.73	NA	NA	0.87	0.87	NA	0.67	NA	NA	0.89	0.81	0.78
NM_001199958|NDUFB5|chr3|+	chr3:179341707-179342325	179341857	0.97	1.00	1.00	0.87	1.00	0.83	0.96	0.87	0.78	0.97	0.91	0.75	1.00	0.90	0.87	0.99	0.99	0.96	0.94	NA	0.84	0.86	0.84	0.87	0.92	0.99	NA	1.00	1.00	1.00	1.00	0.96	1.00	1.00	0.89	0.97	NA	0.85	1.00	0.95	1.00	0.87	0.93	1.00	0.95	0.94	1.00	0.93	0.83	0.99	1.00	0.99	0.94	0.91	1.00	1.00	1.00	1.00	NA	0.80	1.00	1.00	0.95	0.85	0.97	0.97	0.95	1.00	0.89
NM_005126|NR1D2|chr3|+	chr3:24018713-24022143	24018902	0.81	NA	0.88	0.83	0.74	0.79	0.75	0.75	0.81	0.91	0.74	NA	NA	NA	0.77	0.77	0.71	0.75	0.81	NA	NA	0.63	0.71	NA	0.75	0.62	0.94	0.78	0.79	0.80	0.85	0.88	0.84	0.86	0.81	NA	NA	0.59	0.83	0.77	NA	NA	0.70	NA	NA	0.67	0.84	0.84	0.74	0.92	0.79	0.78	0.85	0.77	0.75	0.86	NA	0.70	NA	0.55	0.77	0.77	0.83	0.70	0.81	0.83	0.75	0.66	0.76
NM_018266|TMEM39A|chr3|-	chr3:119145067-119151061	119149735	0.10	0.25	0.12	0.13	0.08	0.11	0.10	0.10	0.10	0.13	0.16	0.11	NA	0.07	0.13	0.15	0.10	0.10	0.12	NA	NA	0.09	0.15	0.06	0.12	0.10	NA	0.09	0.13	0.12	0.12	0.08	0.13	0.13	0.09	0.15	NA	NA	0.17	0.14	0.12	0.08	0.12	NA	NA	0.10	0.13	0.15	0.14	0.14	0.09	0.14	0.13	0.13	0.11	0.14	0.16	0.12	NA	NA	0.13	0.16	0.13	0.12	0.09	0.09	0.13	0.07	0.14
NM_001146179|IP6K2|chr3|-	chr3:48730613-48731673	48731037	0.28	0.49	0.35	0.45	0.24	0.37	0.45	0.27	NA	0.33	0.36	NA	NA	NA	NA	0.17	0.33	0.29	0.38	NA	NA	0.36	0.34	0.16	0.35	0.36	NA	0.33	0.27	0.25	0.31	0.38	0.38	0.27	0.33	0.38	NA	NA	0.48	0.41	0.37	NA	0.40	NA	NA	NA	0.27	0.29	0.27	0.28	0.35	NA	0.41	0.29	0.54	0.38	0.30	0.37	NA	NA	0.39	0.38	0.38	0.31	0.39	0.39	NA	0.41	0.49
NM_003925|MBD4|chr3|-	chr3:129149801-129150421	129150188	0.21	0.35	0.25	0.23	0.17	0.25	0.29	0.32	0.20	0.19	0.20	0.23	NA	0.17	0.21	0.23	0.26	0.19	0.26	NA	0.23	0.25	0.21	0.26	0.25	0.23	NA	0.22	0.20	0.21	0.16	0.27	0.30	0.37	0.18	0.42	NA	0.30	0.24	0.24	0.22	0.17	0.31	NA	0.17	0.29	0.19	0.25	0.29	0.28	0.19	0.21	0.21	0.27	0.14	0.29	0.27	0.26	0.23	0.18	0.23	0.26	0.24	0.18	0.26	0.39	0.20	0.15	0.22
NM_001256964|CCDC51|chr3|-	chr3:48471461-48474576	48473663	0.01	0.03	0.01	0.02	0.01	NA	0.02	0.01	0.01	0.02	NA	NA	NA	0.01	0.01	0.02	0.02	0.01	0.02	NA	NA	0.01	0.02	0.01	0.01	NA	NA	0.02	0.02	0.02	0.02	0.02	NA	0.01	0.01	0.01	NA	NA	0.02	0.02	0.02	0.01	0.01	NA	NA	0.01	0.02	0.01	0.01	0.02	0.02	NA	0.01	0.02	0.01	0.02	0.02	0.01	NA	NA	NA	NA	0.02	NA	0.01	0.02	0.02	0.01	0.01
NM_000992|RPL29|chr3|-	chr3:52027617-52028142	52027922	0.98	1.00	1.00	0.97	0.99	0.97	0.90	0.99	0.90	1.00	0.99	1.00	1.00	0.97	0.99	0.99	0.99	0.97	1.00	0.87	1.00	0.96	0.97	0.99	0.99	1.00	0.87	0.98	1.00	1.00	0.98	0.95	1.00	0.98	0.97	1.00	0.95	1.00	0.98	1.00	0.98	0.98	0.96	0.92	0.95	0.98	1.00	0.99	0.94	0.99	1.00	0.99	0.99	1.00	1.00	0.95	1.00	1.00	NA	1.00	1.00	0.99	0.99	0.98	0.94	1.00	0.99	0.99	0.97
NM_016479|SHISA5|chr3|-	chr3:48509196-48510585	48510427	0.97	1.00	0.99	0.99	0.99	0.99	0.98	0.97	0.99	0.99	0.98	0.81	NA	0.97	0.98	0.99	0.99	0.99	0.98	NA	0.88	0.97	0.98	0.96	0.96	0.81	NA	0.96	0.99	0.99	1.00	0.99	0.95	0.99	0.98	0.99	NA	0.82	0.97	0.96	1.00	0.99	0.97	NA	0.99	0.95	0.99	0.99	0.98	0.99	0.98	0.99	0.98	0.99	0.96	0.99	1.00	0.99	NA	0.90	0.98	0.98	0.99	0.97	0.98	0.99	0.95	0.98	0.96
NM_003363|USP4|chr3|-	chr3:49314585-49315884	49315541	0.28	0.37	0.38	0.28	0.45	0.38	0.33	0.35	0.36	0.54	0.40	NA	NA	0.30	0.34	0.37	0.39	0.51	0.44	NA	0.27	0.30	0.41	0.35	0.36	0.49	NA	0.46	0.44	0.51	0.25	0.39	0.36	0.43	0.30	0.55	NA	0.49	0.45	0.44	0.44	0.39	0.43	NA	NA	0.54	0.36	0.43	0.42	0.33	0.37	0.36	0.54	0.44	0.58	0.65	0.45	0.45	NA	0.34	0.42	0.39	0.49	0.36	0.45	0.37	0.53	0.35	0.39
