event_id	loci	Proximal_Site	TCGA-E9-A1RC-01A-11R-A157-07	TCGA-BH-A18N-01A-11R-A12D-07	TCGA-E9-A1R7-01A-11R-A14M-07	TCGA-GI-A2C9-01A-11R-A21T-07	TCGA-BH-A0AZ-01A-21R-A12P-07	TCGA-BH-A0DH-01A-11R-A084-07	TCGA-BH-A0B8-01A-21R-A056-07	TCGA-BH-A1EV-01A-11R-A137-07	TCGA-E9-A1RH-01A-21R-A169-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-BH-A0BM-01A-11R-A056-07	TCGA-E2-A1L7-01A-11R-A144-07	TCGA-BH-A0BV-01A-11R-A00Z-07	TCGA-BH-A18S-01A-11R-A12D-07	TCGA-BH-A0DP-01A-21R-A056-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-BH-A0H9-01A-11R-A056-07	TCGA-BH-A18P-01A-11R-A12D-07	TCGA-BH-A18U-01A-21R-A12D-07	TCGA-BH-A0BT-01A-11R-A12P-07	TCGA-BH-A0E1-01A-11R-A056-07	TCGA-AC-A23H-01A-11R-A157-07	TCGA-BH-A209-01A-11R-A157-07	TCGA-BH-A0DK-01A-21R-A056-07	TCGA-E9-A1RF-01A-11R-A157-07	TCGA-BH-A203-01A-12R-A169-07	TCGA-BH-A18L-01A-32R-A12D-07	TCGA-A7-A0DC-01A-11R-A00Z-07	TCGA-A7-A0DC-01B-04R-A22O-07	TCGA-AC-A2FF-01A-11R-A17B-07	TCGA-BH-A0AY-01A-21R-A00Z-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-E2-A153-01A-12R-A12D-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-BH-A0E0-01A-11R-A056-07	TCGA-BH-A0DT-01A-21R-A12D-07	TCGA-BH-A18R-01A-11R-A12D-07	TCGA-E9-A1N9-01A-11R-A14D-07	TCGA-E2-A15I-01A-21R-A137-07	TCGA-AC-A2FB-01A-11R-A17B-07	TCGA-BH-A0BQ-01A-21R-A115-07	TCGA-BH-A0B7-01A-12R-A115-07	TCGA-BH-A0C3-01A-21R-A12P-07	TCGA-BH-A18Q-01A-12R-A12D-07	TCGA-E9-A1N6-01A-11R-A144-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-E2-A1LB-01A-11R-A144-07	TCGA-A7-A0DB-01A-11R-A277-07	TCGA-A7-A0DB-01A-11R-A00Z-07	TCGA-A7-A0DB-01C-02R-A277-07	TCGA-BH-A1F2-01A-31R-A13Q-07	TCGA-A7-A13G-01B-04R-A22O-07	TCGA-A7-A13G-01A-11R-A13Q-07	TCGA-BH-A0B5-01A-11R-A12P-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-BH-A1EN-01A-11R-A13Q-07	TCGA-BH-A18M-01A-11R-A12D-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-BH-A0HA-01A-11R-A12P-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-BH-A204-01A-11R-A157-07	TCGA-BH-A1FU-01A-11R-A14D-07	TCGA-A7-A0CE-01A-11R-A00Z-07	TCGA-E2-A15M-01A-11R-A12D-07	TCGA-E9-A1RD-01A-11R-A157-07	TCGA-BH-A0BJ-01A-11R-A056-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-BH-A0C0-01A-21R-A056-07	TCGA-BH-A18K-01A-11R-A12D-07	TCGA-E9-A1ND-01A-11R-A144-07	TCGA-BH-A0BC-01A-22R-A084-07	TCGA-BH-A1EU-01A-11R-A137-07	TCGA-A7-A0CH-01A-21R-A00Z-07	TCGA-E9-A1RB-01A-11R-A157-07	TCGA-BH-A208-01A-11R-A157-07	TCGA-BH-A0H5-01A-21R-A115-07	TCGA-BH-A0HK-01A-11R-A056-07	TCGA-E2-A1LS-01A-12R-A157-07	TCGA-E2-A1BC-01A-11R-A12P-07	TCGA-A7-A0D9-01A-31R-A056-07	TCGA-BH-A0DO-01B-11R-A12D-07	TCGA-BH-A0H7-01A-13R-A056-07	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13E-01A-11R-A277-07	TCGA-A7-A13E-01B-06R-A277-07	TCGA-A7-A13E-01A-11R-A12P-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-E9-A1RI-01A-11R-A169-07	TCGA-E2-A15K-01A-11R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-E9-A1NF-01A-11R-A14D-07	TCGA-E2-A1IG-01A-11R-A144-07	TCGA-E2-A158-01A-11R-A12D-07	TCGA-BH-A0AU-01A-11R-A12P-07	TCGA-BH-A1FN-01A-11R-A13Q-07	TCGA-BH-A0DQ-01A-11R-A084-07	TCGA-BH-A0DV-01A-21R-A12P-07	TCGA-E9-A1N5-01A-11R-A14D-07	TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-E9-A1NG-01A-21R-A14M-07	TCGA-BH-A1EO-01A-11R-A137-07	TCGA-E9-A1N4-01A-11R-A14M-07	TCGA-BH-A1FB-01A-11R-A13Q-07	TCGA-GI-A2C8-01A-11R-A16F-07
NM_004354|CCNG2|chr4|+	chr4:78086953-78091201	78088069	0.06	0.14	0.16	0.11	0.11	0.07	0.13	0.11	0.07	0.05	0.16	0.15	0.11	0.08	0.11	0.15	0.15	0.14	0.08	0.15	0.13	0.10	0.06	0.14	0.13	0.08	0.10	0.15	NA	0.14	0.07	0.05	0.14	0.10	0.13	0.18	0.15	0.09	0.12	0.20	0.09	0.08	0.07	0.23	0.10	0.08	0.10	0.09	0.12	0.14	0.14	NA	0.11	0.12	0.07	0.17	0.11	0.10	0.12	0.09	0.07	0.09	0.16	0.10	0.11	0.12	0.08	0.16	0.11	0.08	0.11	0.13	0.18	0.10	0.11	0.13	0.12	0.27	0.12	0.20	0.10	0.19	0.13	0.09	0.18	0.06	0.10	0.11	0.22	0.08	0.15	0.17	0.16	0.12	0.15	0.10	0.12	0.10	0.08	0.27	0.07	0.13	0.12	0.12	0.11
NM_003501|ACOX3|chr4|-	chr4:8359933-8368807	8368302	0.07	0.18	0.34	0.07	0.09	0.19	0.20	0.26	0.17	NA	0.05	0.11	0.10	0.06	0.18	0.04	0.07	0.39	0.18	0.05	0.05	0.09	0.05	0.05	0.09	0.05	0.04	0.14	NA	0.12	0.03	0.02	0.06	0.12	0.03	0.23	0.22	0.10	0.27	0.39	0.07	0.42	0.28	0.12	0.04	0.07	0.13	0.36	0.10	NA	0.21	0.37	0.40	0.17	0.23	0.12	0.18	0.10	0.03	0.04	NA	0.12	0.16	0.10	0.20	0.11	0.05	0.05	0.04	0.06	0.06	0.44	0.18	0.05	0.08	0.14	0.13	0.03	0.31	0.29	0.16	0.02	0.07	NA	NA	0.06	0.04	0.27	0.04	0.05	0.08	0.04	0.07	0.35	0.05	0.14	0.04	0.12	0.24	0.02	0.05	0.24	0.15	0.25	0.18
NM_032557|USP38|chr4|+	chr4:144141447-144144910	144142576	0.11	0.12	0.18	0.12	0.06	0.09	0.09	0.13	0.14	0.07	0.08	0.09	0.08	0.09	0.08	0.09	0.07	0.09	0.11	0.06	0.14	0.13	0.10	0.06	0.09	0.09	0.09	0.13	NA	0.13	0.05	0.10	0.09	0.09	0.05	0.10	0.12	0.09	0.11	0.13	0.08	0.13	0.11	0.20	0.12	0.08	0.09	0.15	0.08	NA	0.11	NA	0.13	0.15	0.10	0.13	0.13	0.11	0.07	0.10	0.11	0.16	0.11	0.17	0.10	0.10	0.10	0.10	0.07	0.10	0.09	0.15	0.10	0.11	0.13	0.10	0.07	0.10	0.12	0.07	0.10	0.16	0.11	0.16	NA	0.08	0.08	0.08	0.10	0.10	0.11	0.11	0.18	0.08	0.09	0.09	0.16	0.12	0.08	0.05	0.10	0.12	0.16	0.12	0.09
NM_018241|TMEM184C|chr4|+	chr4:148555319-148556347	148555609	0.86	0.83	0.82	0.88	0.85	0.97	0.71	0.83	0.79	0.92	1.00	0.89	0.78	0.92	0.97	0.88	0.90	0.91	0.93	0.98	0.74	0.91	0.94	0.87	0.94	0.98	0.93	0.91	NA	0.89	0.88	0.93	0.97	0.88	0.86	0.92	0.86	0.83	0.86	0.85	0.93	0.88	0.88	0.91	0.90	1.00	0.92	0.63	0.98	NA	0.94	NA	0.84	0.91	0.88	0.85	0.93	0.86	1.00	0.97	0.88	0.87	0.93	0.90	0.84	0.92	0.88	0.97	0.94	0.97	1.00	0.86	0.81	0.95	0.97	0.95	0.82	0.94	0.87	0.72	0.94	0.88	0.89	0.69	NA	0.90	0.78	0.92	0.96	0.86	0.92	0.92	0.89	0.85	0.97	1.00	0.88	0.83	0.91	1.00	0.92	0.86	0.85	0.80	0.87
NM_017741|DCAF16|chr4|-	chr4:17802242-17806394	17803962	0.82	0.96	NA	1.00	1.00	1.00	0.65	NA	0.97	NA	NA	1.00	0.75	0.98	1.00	1.00	0.99	0.94	1.00	1.00	NA	0.93	1.00	0.91	1.00	NA	0.91	0.93	0.23	0.93	0.96	1.00	1.00	0.88	NA	1.00	0.92	1.00	1.00	0.89	1.00	NA	0.89	0.97	NA	1.00	NA	0.71	0.88	NA	1.00	NA	0.89	0.90	0.93	0.93	0.96	1.00	NA	1.00	0.93	0.91	0.91	1.00	1.00	0.97	0.86	0.96	1.00	1.00	1.00	0.80	0.92	1.00	NA	1.00	0.95	NA	0.97	0.86	0.98	0.98	1.00	0.78	NA	0.98	0.98	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	NA	0.89	0.86	NA	1.00	0.97	0.89	0.88	0.93
NM_004477|FRG1|chr4|+	chr4:190884247-190885338	190884397	0.07	0.01	0.01	0.00	0.01	0.01	0.01	0.00	0.04	0.02	0.01	0.02	0.00	0.00	0.01	0.00	0.02	0.01	0.01	0.04	0.01	0.00	0.02	0.00	0.02	0.01	0.01	0.02	NA	0.02	0.00	0.03	0.01	0.08	0.00	0.01	0.03	0.01	0.04	0.04	0.01	0.02	0.03	0.02	0.03	0.01	0.01	NA	0.04	NA	0.01	NA	NA	0.01	0.03	0.01	0.03	0.01	0.01	0.00	0.03	0.02	0.01	0.01	0.01	0.01	NA	0.04	0.03	0.01	0.00	0.07	0.01	0.02	0.00	0.02	0.04	0.00	0.03	0.01	0.01	0.02	0.04	NA	NA	0.00	0.00	0.06	0.09	0.02	0.02	0.01	0.04	0.02	0.03	0.01	0.02	0.05	0.04	0.00	0.00	0.03	0.01	0.04	0.03
NM_052864|TIFA|chr4|-	chr4:113193716-113199590	113198375	0.09	0.23	0.13	0.22	0.19	0.14	NA	0.13	0.14	0.15	0.38	0.19	0.21	0.15	0.16	0.22	0.14	0.16	0.15	0.24	0.17	0.19	0.17	0.26	NA	0.17	0.15	0.21	NA	0.16	0.16	0.13	0.20	0.16	0.13	0.19	0.16	0.16	0.18	0.17	0.14	0.22	0.13	0.27	0.17	0.18	0.32	0.16	0.13	NA	0.14	NA	0.12	0.17	0.12	0.27	0.19	0.15	NA	0.17	0.21	0.14	0.16	0.15	0.15	0.14	0.22	0.16	0.20	0.14	0.20	0.14	0.22	0.17	0.22	0.17	0.21	0.27	0.19	NA	0.14	0.16	0.24	0.24	NA	0.18	0.30	0.22	0.19	0.14	0.25	0.21	0.38	0.15	0.13	0.18	0.22	0.17	0.24	0.22	0.15	0.15	0.19	0.20	0.12
NM_133370|YTHDC1|chr4|-	chr4:69178822-69180041	69179814	0.42	0.49	0.61	0.65	0.58	0.56	0.31	0.47	0.51	0.55	0.59	0.54	0.38	0.54	0.59	0.59	0.64	0.48	0.54	0.63	0.42	0.48	0.47	0.31	0.56	0.58	0.45	0.50	0.24	0.54	0.48	0.54	0.60	0.68	0.52	0.66	0.63	0.58	0.69	0.48	0.44	0.48	0.47	0.53	0.51	0.55	0.57	0.62	0.72	NA	1.00	0.30	0.43	0.46	0.46	0.53	0.56	0.49	0.72	0.56	0.66	0.58	0.51	0.69	0.60	0.61	0.47	0.62	0.79	0.56	0.58	0.70	0.67	0.62	0.52	0.58	0.50	0.92	0.60	0.40	0.63	0.45	0.56	0.61	NA	0.47	0.60	0.68	0.55	0.49	0.60	0.48	0.64	0.57	0.77	0.56	0.56	0.46	0.45	0.83	0.60	0.79	0.59	0.60	0.49
NM_031953|SNX25|chr4|+	chr4:186284538-186285311	186284883	0.10	0.07	0.15	0.20	0.09	NA	0.07	0.10	NA	0.06	0.16	NA	0.09	0.08	0.19	0.11	0.32	0.12	0.11	0.11	0.10	0.13	0.11	0.10	0.10	0.16	0.07	0.06	NA	NA	0.12	0.17	0.14	0.16	0.12	0.08	0.08	0.13	0.23	NA	0.06	0.08	0.12	NA	0.11	0.10	0.08	NA	0.34	NA	0.18	NA	0.11	0.14	NA	NA	0.07	0.12	0.10	NA	0.08	NA	NA	0.05	0.07	0.06	0.10	0.50	0.11	NA	NA	0.25	0.22	0.07	0.10	0.08	0.14	0.13	0.09	0.11	0.10	0.17	NA	NA	NA	0.03	0.24	0.21	0.08	0.10	0.11	0.08	0.10	0.21	NA	0.10	0.14	0.07	NA	0.14	0.10	0.18	0.14	0.13	0.10
NM_001184692|NPNT|chr4|+	chr4:106890051-106892834	106890431	0.80	0.90	0.92	0.95	0.95	0.91	0.78	0.88	0.87	0.75	0.99	0.97	0.77	0.94	0.93	0.92	0.96	0.87	0.91	0.99	0.90	0.81	0.93	0.88	NA	0.99	0.85	0.92	0.63	0.84	0.84	0.99	0.94	0.93	NA	0.97	0.91	0.92	0.93	0.81	0.91	0.87	0.78	0.85	0.94	0.96	0.97	0.63	0.98	1.00	1.00	0.55	0.81	0.81	0.83	NA	0.84	0.88	0.99	0.96	0.87	0.92	0.84	0.96	0.94	0.84	0.83	0.95	0.99	NA	0.92	0.89	0.95	0.95	0.90	0.89	0.93	0.99	0.97	0.90	0.95	0.89	0.95	0.75	NA	0.86	0.99	0.99	0.94	0.90	0.97	0.93	0.93	0.86	0.97	0.93	0.92	0.81	0.85	NA	0.94	0.88	0.89	0.85	0.85
NM_181889|UBE2D3|chr4|-	chr4:103715441-103718617	103717261	0.12	0.16	0.14	0.12	0.13	0.09	0.10	0.11	0.06	0.08	0.21	0.13	0.09	0.11	0.14	0.12	0.15	0.13	0.08	0.14	0.11	0.11	0.09	0.13	0.11	0.09	0.11	0.23	NA	0.15	0.08	0.10	0.14	0.16	0.09	0.14	0.12	0.15	0.15	0.14	0.14	0.10	0.09	0.12	0.11	0.09	0.12	0.14	0.12	0.23	0.11	0.13	0.13	0.13	0.09	0.13	0.12	0.11	0.18	0.13	0.15	0.08	0.11	0.10	0.12	0.13	0.07	0.12	0.10	0.08	0.13	0.17	0.17	0.13	0.14	0.14	0.11	0.20	0.13	0.13	0.14	0.13	0.11	0.12	0.23	0.09	0.17	0.13	0.12	0.09	0.12	0.15	0.15	0.18	0.07	0.12	0.14	0.14	0.09	0.16	0.10	0.15	0.12	0.16	0.14
NM_001154|ANXA5|chr4|-	chr4:122589142-122589682	122589450	0.48	0.61	0.62	0.67	0.50	0.66	0.40	0.62	0.71	0.55	0.81	0.67	0.47	0.61	0.76	0.64	0.89	0.63	0.65	0.68	0.44	0.55	0.53	0.43	0.56	0.73	0.61	0.49	0.35	0.60	0.44	0.63	0.63	0.73	0.53	0.67	0.64	0.62	0.74	0.62	0.55	0.64	0.63	0.60	0.61	0.63	0.56	0.58	0.82	1.00	0.69	0.36	0.57	0.53	0.64	0.63	0.62	0.61	0.68	0.68	0.54	0.61	0.49	0.63	0.57	0.54	0.64	0.91	0.74	0.75	0.77	0.73	0.84	0.58	0.54	0.62	0.52	0.61	0.78	0.44	0.66	0.50	0.67	0.53	1.00	0.62	0.69	0.73	0.65	0.47	0.61	0.57	0.62	0.60	0.70	0.65	0.52	0.54	0.62	0.66	0.59	0.75	0.73	0.70	0.61
NM_003603|SORBS2|chr4|-	chr4:186506646-186508842	186508130	NA	0.97	NA	0.93	0.81	NA	NA	NA	NA	NA	1.00	NA	0.76	0.95	1.00	NA	NA	NA	NA	0.95	0.85	NA	0.88	NA	NA	NA	NA	NA	NA	0.90	NA	0.91	0.89	1.00	NA	0.89	NA	NA	0.95	0.88	0.90	0.97	NA	0.91	0.85	0.86	0.86	0.85	1.00	NA	1.00	NA	NA	0.76	0.79	0.86	0.81	0.93	1.00	NA	NA	0.89	0.82	1.00	0.93	0.97	0.93	NA	0.96	0.97	0.90	1.00	0.99	0.93	NA	0.90	0.90	0.98	1.00	NA	0.93	NA	NA	0.78	NA	0.83	NA	1.00	0.92	0.74	NA	0.89	NA	NA	NA	NA	0.82	NA	NA	0.78	0.94	NA	0.98	0.99	0.86
NM_020846|SLAIN2|chr4|+	chr4:48424027-48428182	48424474	0.35	0.55	0.44	0.53	0.37	0.36	0.39	0.36	0.46	0.41	0.34	0.54	0.33	0.39	0.54	0.45	0.56	0.44	0.44	0.23	0.38	0.42	0.35	0.38	0.39	0.45	0.52	0.56	NA	0.59	0.34	0.61	0.44	0.43	0.26	0.48	0.53	0.52	0.51	0.52	0.39	0.46	0.39	0.65	0.54	0.34	0.35	0.67	0.35	NA	0.54	0.37	0.44	0.42	0.39	0.47	0.44	0.41	0.41	0.37	0.43	0.43	0.53	0.47	0.34	0.44	0.51	0.48	0.27	0.37	0.49	0.59	0.54	0.38	0.42	0.52	0.38	0.52	0.51	0.38	0.47	0.50	0.38	0.54	NA	0.51	0.63	0.51	0.39	0.32	0.48	0.57	0.63	0.49	0.47	0.54	0.41	0.43	0.51	0.21	0.47	0.61	0.49	0.55	0.48
NM_018261|EXOC1|chr4|+	chr4:56770508-56771170	56770752	0.69	0.75	0.83	0.77	0.70	0.80	0.32	0.66	0.63	0.67	0.93	0.81	0.50	0.70	0.81	0.85	0.81	0.73	0.77	0.89	0.48	0.78	0.68	0.35	0.87	0.79	0.73	0.67	NA	0.75	0.49	0.82	0.82	0.77	0.82	0.76	0.68	0.68	0.81	0.78	0.70	0.77	0.70	0.64	0.71	0.86	0.77	0.82	0.89	NA	0.87	NA	0.69	0.76	0.72	0.80	0.69	0.72	1.00	0.89	0.67	0.77	0.60	0.84	0.82	0.83	0.69	0.86	0.89	0.77	0.87	0.82	0.93	0.84	0.80	0.67	0.43	0.89	0.87	0.33	0.85	0.67	0.79	0.75	NA	0.75	0.82	0.75	0.74	0.69	0.77	0.80	0.63	0.76	0.85	0.75	0.71	0.71	0.70	0.96	0.78	0.82	0.76	0.69	0.74
NM_003652|CPZ|chr4|+	chr4:8620988-8621982	8621182	0.13	NA	NA	0.16	0.15	0.18	0.14	0.15	0.04	0.14	0.15	0.14	0.13	NA	0.20	0.12	0.20	0.13	0.08	0.12	0.15	0.13	0.07	0.20	0.14	0.11	NA	NA	NA	0.11	0.12	0.12	0.16	0.18	0.20	0.09	0.14	0.10	0.12	0.10	0.23	0.15	0.12	NA	0.14	0.20	NA	NA	0.16	NA	0.10	NA	NA	0.14	0.09	NA	0.12	NA	0.13	NA	NA	0.15	NA	0.07	0.10	0.25	NA	NA	0.11	0.18	0.16	0.11	0.10	0.13	0.08	0.18	0.16	NA	0.10	0.11	0.19	0.18	0.15	NA	NA	NA	0.08	0.11	0.20	0.20	0.11	0.16	NA	0.07	0.14	0.19	0.12	0.13	0.10	0.26	0.13	0.15	0.10	0.11	0.15
NM_152995|NFXL1|chr4|-	chr4:47849331-47850353	47850203	0.49	0.59	NA	0.74	0.37	NA	0.33	0.73	0.87	NA	NA	0.92	0.43	0.76	NA	0.55	1.00	0.85	0.99	0.60	NA	0.50	0.52	0.27	0.65	0.73	0.71	0.48	NA	0.70	NA	0.83	NA	NA	0.72	0.74	0.79	0.71	NA	NA	NA	NA	NA	0.80	NA	0.70	0.65	NA	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA	NA	0.80	0.61	0.58	0.48	0.73	0.53	NA	0.72	0.72	NA	NA	NA	0.78	NA	0.66	NA	0.74	0.60	0.75	0.76	0.50	NA	NA	0.75	NA	NA	0.57	NA	0.89	0.81	0.44	NA	NA	0.79	0.78	0.74	NA	NA	NA	0.67	0.62	0.49	0.84	0.69	0.91	NA
NM_005339|UBE2K|chr4|+	chr4:39779979-39784384	39780234	0.24	0.37	0.47	0.35	0.23	0.25	0.32	0.27	0.26	0.21	0.22	0.39	0.30	0.28	0.36	0.30	0.54	0.32	0.31	0.15	0.25	0.25	0.29	0.24	0.26	0.18	0.45	0.41	0.23	0.43	0.21	0.33	0.26	0.36	0.14	0.40	0.40	0.49	0.43	0.44	0.21	0.28	0.26	0.48	0.38	0.20	0.26	0.46	0.28	0.49	0.47	0.19	0.33	0.32	0.26	0.39	0.30	0.29	0.18	0.22	0.40	0.28	0.38	0.28	0.27	0.35	0.41	0.40	0.15	0.25	0.28	0.42	0.41	0.32	0.32	0.32	0.41	0.28	0.32	0.34	0.34	0.34	0.33	0.45	0.61	0.23	0.36	0.41	0.32	0.20	0.26	0.43	0.57	0.46	0.32	0.40	0.29	0.36	0.47	0.13	0.27	0.45	0.37	0.46	0.38
NM_032927|TMEM128|chr4|-	chr4:4237295-4237983	4237755	0.56	0.75	0.80	0.86	0.77	0.66	0.16	0.69	0.94	0.63	0.97	0.83	0.31	0.86	0.84	0.79	0.91	0.87	0.86	0.92	0.36	0.79	0.66	0.31	0.80	1.00	0.69	0.57	NA	0.71	0.34	0.82	0.78	0.87	0.74	0.74	0.84	0.74	0.94	0.82	0.68	0.66	0.59	0.84	0.76	0.78	0.69	0.57	0.94	NA	0.80	NA	0.67	0.67	0.65	0.69	0.80	0.75	0.97	0.86	0.69	0.87	0.49	0.92	0.87	0.71	0.66	0.82	0.92	0.70	0.77	0.95	0.93	0.92	0.66	0.68	0.71	0.82	0.94	0.30	0.79	0.69	0.65	0.52	NA	0.63	0.76	0.91	0.79	0.57	0.92	0.76	0.80	0.73	0.93	0.71	0.55	0.66	0.74	0.98	0.80	0.96	0.92	0.87	0.75
NM_014988|LIMCH1|chr4|+	chr4:41699176-41702078	41699689	0.54	0.89	NA	0.74	0.83	0.67	1.00	0.59	0.26	NA	0.96	0.81	0.90	0.76	0.91	0.82	0.82	0.74	0.77	0.84	0.94	0.65	0.44	0.88	0.90	0.65	0.83	1.00	NA	0.89	0.94	NA	0.94	0.80	0.78	0.89	0.75	0.84	0.79	0.83	0.82	0.80	0.79	0.89	0.79	0.65	0.77	0.57	0.60	0.85	0.84	NA	0.81	0.86	0.45	0.86	0.69	0.90	0.97	0.48	0.69	0.54	0.87	0.70	0.68	0.89	0.68	0.69	0.49	0.45	0.72	0.88	0.96	0.58	0.94	0.86	0.96	1.00	0.82	1.00	0.87	0.93	NA	NA	NA	0.58	0.74	0.83	0.94	0.74	0.79	NA	NA	NA	0.72	0.97	0.94	0.88	0.78	0.84	0.72	0.94	0.83	0.90	0.75
NM_024592|SRD5A3|chr4|+	chr4:56235998-56238405	56236401	0.13	0.15	0.13	0.09	0.09	0.08	0.10	0.14	0.11	0.08	0.13	0.13	0.11	0.10	0.12	0.08	0.12	0.13	0.14	0.07	0.09	0.09	0.11	0.10	0.09	0.11	0.10	0.12	NA	0.13	0.07	0.12	0.12	0.12	0.08	0.14	0.11	0.15	0.17	0.14	0.09	0.16	0.09	0.16	0.14	0.12	0.10	0.11	0.09	NA	0.09	0.07	0.11	0.15	0.15	0.10	0.17	0.10	0.07	0.09	0.13	0.11	0.10	0.11	0.11	0.12	0.17	0.09	0.08	0.11	0.10	0.18	0.12	0.10	0.08	0.13	0.11	0.11	0.15	0.13	0.15	0.08	0.08	0.11	0.25	0.11	0.09	0.14	0.13	0.08	0.12	0.12	0.12	0.14	0.11	0.12	0.09	0.21	0.15	0.11	0.13	0.13	0.15	0.15	0.18
NM_032313|NOA1|chr4|-	chr4:57829168-57829827	57829608	0.21	0.13	0.20	0.19	0.17	0.18	0.13	0.20	0.21	0.14	0.18	0.19	0.16	0.20	0.15	0.17	0.13	0.16	0.24	0.23	0.17	0.28	0.16	0.16	0.21	0.23	0.20	0.19	NA	0.16	0.17	0.14	0.25	0.12	0.14	0.17	0.16	0.17	0.18	0.20	0.16	0.16	0.17	0.24	0.15	0.15	0.18	NA	0.13	NA	0.32	0.05	0.13	0.19	0.14	0.18	0.18	0.16	0.17	0.18	0.31	0.17	0.16	0.19	0.21	0.13	0.19	0.16	0.16	0.23	0.16	0.19	0.18	0.22	0.20	0.19	0.22	0.23	0.17	0.20	0.18	0.21	0.20	0.19	NA	0.20	0.16	0.20	0.18	0.14	0.19	0.21	0.17	0.15	0.17	0.15	0.17	0.25	0.14	0.23	0.21	0.21	0.14	0.17	0.27
NM_001128426|AP1AR|chr4|+	chr4:113189299-113191232	113189678	0.43	0.58	0.56	0.74	0.62	0.63	0.23	0.58	0.66	0.57	0.80	0.73	0.27	0.63	0.73	0.68	0.79	0.57	0.60	0.80	0.31	0.56	0.61	0.35	0.67	0.74	0.55	0.47	NA	0.61	0.32	0.67	0.76	0.65	0.67	0.66	0.56	0.59	0.74	0.63	0.58	0.59	0.64	0.60	0.72	0.65	0.63	0.53	0.76	NA	0.85	NA	0.57	0.51	0.54	0.55	0.52	0.59	0.76	0.68	0.50	0.61	0.51	0.59	0.64	0.54	0.54	0.83	0.74	0.75	0.76	0.68	0.75	0.65	0.64	0.68	0.58	0.72	0.56	0.32	0.67	0.49	0.65	0.44	NA	0.61	0.92	0.76	0.71	0.52	0.71	0.69	0.63	0.61	0.75	0.68	0.55	0.52	0.57	0.78	0.60	0.76	0.64	0.58	0.59
NM_002092|GRSF1|chr4|-	chr4:71685108-71686578	71686393	0.49	0.61	0.51	0.51	0.64	0.51	0.57	0.60	0.37	0.45	0.61	0.53	0.53	0.57	0.50	0.55	0.59	0.52	0.59	0.57	0.57	0.38	0.44	0.56	0.47	0.42	0.54	0.60	NA	0.52	0.61	0.48	0.56	0.61	0.50	0.51	0.59	0.53	0.57	0.48	0.50	0.53	0.43	0.56	0.47	0.51	0.58	0.64	0.53	0.71	0.64	NA	0.57	0.51	0.46	0.49	0.55	0.53	0.66	0.45	0.58	0.44	0.52	0.53	0.56	0.52	0.53	0.52	0.52	0.41	0.48	0.55	0.62	0.50	0.57	0.50	0.78	0.64	0.53	0.59	0.57	0.56	0.54	0.45	0.81	0.41	0.78	0.64	0.52	0.42	0.53	0.49	0.47	0.59	0.40	0.57	0.50	0.51	0.58	0.45	0.61	0.62	0.48	0.54	0.64
NM_004453|ETFDH|chr4|+	chr4:159629515-159630560	159629666	0.21	0.43	0.36	0.21	0.25	0.21	0.39	0.33	0.16	0.26	0.29	0.30	0.26	0.18	0.32	0.25	0.42	0.24	0.23	0.15	0.24	0.19	0.16	0.29	0.30	0.28	0.36	0.53	NA	0.29	0.17	0.17	0.17	0.35	0.23	0.33	0.45	0.32	0.37	0.29	0.27	0.21	0.17	0.44	0.27	0.23	0.21	0.39	0.19	NA	0.32	NA	0.32	0.35	0.21	0.27	0.29	0.31	0.31	0.20	0.38	0.21	0.18	0.29	0.28	0.28	NA	0.21	0.20	0.19	0.17	0.35	0.28	0.21	0.18	0.23	0.34	0.36	0.28	0.21	0.21	0.26	0.28	NA	NA	0.26	0.43	0.31	0.35	0.18	0.21	0.33	NA	0.35	0.21	0.26	0.27	0.32	0.32	0.28	0.31	0.43	0.28	0.38	0.28
