event_id	loci	Proximal_Site	TCGA-DI-A2QU-01A-11R-A18M-07	TCGA-AX-A2HC-01A-11R-A17B-07	TCGA-E6-A1M0-01A-11R-A144-07	TCGA-AX-A2HD-01A-21R-A17B-07	TCGA-AX-A1CK-01A-11R-A137-07	TCGA-AX-A2HA-01A-12R-A18M-07	TCGA-AX-A1CI-01A-11R-A137-07	TCGA-BK-A0CB-01A-32R-A104-07	TCGA-BG-A2AD-01A-21R-A16F-07	TCGA-AX-A0J0-01A-11R-A109-07	TCGA-AJ-A3NH-01A-11R-A22K-07	TCGA-BK-A4ZD-01A-11R-A27V-07	TCGA-AX-A1CF-01A-11R-A137-07	TCGA-DI-A2QY-01A-12R-A19W-07	TCGA-AJ-A3NC-01A-11R-A22K-07	TCGA-BG-A3EW-01A-11R-A22K-07	TCGA-AJ-A3NE-01A-11R-A22K-07	TCGA-BK-A13C-01A-11R-A118-07	TCGA-AX-A2H8-01A-11R-A17B-07	TCGA-AX-A05Y-01A-11R-A00V-07	TCGA-AX-A0IZ-01A-11R-A118-07	TCGA-BG-A3PP-01A-11R-A22K-07	TCGA-AJ-A2QL-01A-11R-A18M-07
NR_027671|UGGT1|chr2|+	chr2:128947290-128953394	128950471	NA	0.71	0.60	0.65	NA	NA	NA	NA	0.60	0.59	0.52	NA	0.47	NA	0.74	0.58	0.51	0.52	NA	0.39	NA	NA	0.70
NM_015530|GORASP2|chr2|+	chr2:171822299-171823649	171822539	0.94	0.55	0.97	0.44	1.00	1.00	1.00	0.95	0.50	0.92	0.76	0.74	0.56	1.00	0.97	0.55	0.62	0.67	0.72	0.19	1.00	0.91	0.69
NM_016316|REV1|chr2|-	chr2:100016974-100017815	100017617	0.64	0.34	0.35	0.35	0.47	0.54	0.63	0.48	NA	0.34	0.50	0.45	0.34	0.70	0.60	0.41	0.48	0.53	NA	0.13	0.72	0.48	0.45
NM_138370|PKDCC|chr2|+	chr2:42284742-42285658	42285183	0.70	0.37	NA	0.43	0.94	1.00	0.78	0.95	NA	NA	NA	NA	0.62	0.96	0.90	0.78	0.81	NA	0.77	0.81	0.98	NA	0.41
NM_178123|SESTD1|chr2|-	chr2:179967217-179974755	179974203	0.05	NA	NA	0.11	NA	0.08	NA	0.07	0.19	0.17	0.09	0.17	0.09	0.07	0.17	0.19	0.19	NA	NA	0.06	0.11	0.03	0.08
NM_005813|PRKD3|chr2|-	chr2:37477647-37480493	37480266	NA	0.65	0.70	0.60	NA	NA	NA	0.28	0.72	0.66	0.75	0.72	0.41	0.24	0.71	0.67	NA	0.73	NA	0.40	NA	NA	NA
NM_005783|TXNDC9|chr2|-	chr2:99935444-99936262	99936112	NA	1.00	1.00	NA	NA	NA	NA	NA	0.96	1.00	1.00	0.95	NA	NA	1.00	0.97	0.96	0.99	NA	NA	NA	1.00	0.98
NM_002881|RALB|chr2|+	chr2:121050716-121052492	121050942	NA	0.95	NA	0.93	NA	NA	NA	0.96	0.93	0.76	0.93	0.89	0.86	NA	1.00	0.85	0.89	1.00	1.00	0.38	NA	0.97	1.00
NM_002081|GPC1|chr2|+	chr2:241405474-241407512	241406836	0.99	0.79	1.00	0.78	NA	1.00	1.00	1.00	0.64	0.97	0.73	NA	0.89	1.00	NA	0.61	0.67	0.87	0.97	0.83	1.00	0.81	0.94
NM_024293|FAM134A|chr2|+	chr2:220046734-220050153	220048363	0.08	0.12	0.14	0.16	NA	NA	NA	0.20	0.08	0.06	0.08	0.11	0.08	0.13	0.17	0.12	0.14	0.12	0.14	0.07	NA	0.09	0.31
NM_152834|TMEM18|chr2|-	chr2:667946-669675	669302	0.09	0.29	0.17	0.12	0.16	0.12	0.24	0.14	0.23	0.14	0.18	0.13	0.20	0.09	0.16	0.18	0.15	0.15	0.17	0.12	0.11	0.14	0.22
NM_021198|CTDSP1|chr2|+	chr2:219269019-219270677	219269180	0.99	0.81	0.79	0.76	1.00	1.00	1.00	0.90	0.80	0.67	0.96	0.91	0.73	1.00	0.96	0.84	0.86	0.79	0.95	0.34	1.00	0.99	0.98
NM_031288|INO80B|chr2|+	chr2:74684460-74685525	74685057	0.19	0.36	NA	0.66	0.44	NA	0.21	0.08	0.23	NA	0.15	0.16	0.06	0.07	0.57	0.39	0.19	0.26	0.16	0.08	0.18	0.14	NA
NM_021141|XRCC5|chr2|+	chr2:217069910-217071012	217070084	0.45	0.46	0.33	0.42	0.43	0.32	0.44	0.31	0.42	0.37	0.43	0.37	0.25	0.46	0.44	0.37	0.40	0.50	0.50	0.16	0.31	0.23	0.52
NM_032312|YIPF4|chr2|+	chr2:32530557-32532423	32530887	0.37	0.33	NA	0.23	0.45	0.34	0.46	0.33	0.34	0.22	0.27	0.34	NA	0.38	0.37	0.26	0.30	0.44	0.20	NA	0.32	0.27	0.32
NM_022152|TMBIM1|chr2|-	chr2:219138898-219140344	219139465	1.00	0.66	NA	NA	NA	1.00	NA	1.00	0.75	1.00	1.00	1.00	0.85	1.00	1.00	1.00	1.00	1.00	1.00	0.62	1.00	1.00	0.92
NM_032472|PPIL3|chr2|-	chr2:201735692-201736244	201736002	0.78	0.43	0.79	0.53	0.94	1.00	0.99	0.57	0.57	0.52	0.66	0.67	NA	0.97	0.69	0.52	0.63	0.49	NA	0.12	0.84	0.76	0.63
NM_001190882|ORC4|chr2|-	chr2:148690385-148693267	148692942	0.16	0.25	0.18	0.15	0.15	0.13	0.12	0.16	0.19	0.14	0.16	0.19	0.15	0.10	0.16	0.15	0.15	0.21	0.19	NA	0.17	0.15	0.16
NM_005896|IDH1|chr2|-	chr2:209100947-209101893	209101717	1.00	0.94	1.00	0.94	0.93	1.00	1.00	0.93	0.96	0.91	0.99	0.94	0.90	1.00	0.98	0.97	0.96	1.00	0.97	0.76	1.00	1.00	1.00
NM_007046|EMILIN1|chr2|+	chr2:27308545-27309273	27308889	NA	0.21	0.25	NA	NA	NA	0.29	0.33	0.19	0.20	0.34	NA	0.35	0.49	NA	NA	0.28	NA	NA	0.13	0.21	0.41	NA
NM_006839|IMMT|chr2|-	chr2:86371048-86372004	86371782	1.00	0.95	0.98	0.97	1.00	1.00	1.00	0.99	0.90	0.91	0.97	1.00	1.00	1.00	1.00	0.99	0.99	0.98	0.88	0.99	1.00	1.00	0.97
NM_001103147|GIGYF2|chr2|+	chr2:233721502-233725099	233723232	0.09	0.22	0.13	0.13	NA	NA	NA	NA	0.14	0.11	0.10	0.20	0.09	NA	0.22	0.14	0.14	0.22	0.11	0.10	NA	0.14	0.15
NM_000393|COL5A2|chr2|-	chr2:189896704-189898942	189898650	NA	NA	0.59	0.40	0.56	0.66	NA	0.45	0.58	0.47	NA	0.55	0.44	0.64	0.73	0.56	0.66	0.50	NA	0.13	0.64	0.67	NA
NM_001184938|EPB41L5|chr2|+	chr2:120861635-120866025	120862238	NA	NA	NA	0.13	NA	NA	NA	NA	0.26	0.21	0.22	0.27	0.24	NA	NA	0.18	0.26	0.30	0.31	0.11	NA	0.24	0.36
NM_013233|STK39|chr2|-	chr2:168810526-168812080	168811906	0.72	NA	0.62	NA	0.39	0.58	NA	NA	NA	0.45	0.65	0.58	0.41	NA	0.83	0.51	0.68	0.77	NA	0.05	NA	0.49	0.77
NM_002712|PPP1R7|chr2|+	chr2:242122061-242122984	242122386	0.09	0.08	0.12	0.10	0.11	0.13	0.08	0.08	0.12	0.10	0.13	0.10	0.09	0.07	0.09	0.10	0.11	0.12	0.14	0.08	0.07	0.12	0.14
NM_005855|RAMP1|chr2|+	chr2:238820169-238820750	238820434	1.00	NA	NA	NA	NA	NA	NA	0.82	0.91	NA	0.87	NA	0.85	1.00	0.96	0.76	NA	0.87	NA	0.43	0.96	1.00	1.00
NM_003124|SPR|chr2|+	chr2:73118475-73119290	73118625	1.00	NA	NA	0.98	1.00	1.00	NA	1.00	0.97	NA	NA	0.99	0.92	0.99	1.00	0.93	0.97	0.94	NA	0.83	1.00	0.94	NA
NR_045774|ATF2|chr2|-	chr2:175936973-175939563	175939330	NA	0.58	0.74	0.61	NA	NA	NA	NA	0.68	0.59	NA	0.78	0.49	NA	0.81	0.62	0.72	0.76	0.86	0.22	NA	0.74	0.82
NM_015348|TMEM131|chr2|-	chr2:98372792-98373846	98373655	0.95	0.62	0.81	0.63	0.90	NA	0.99	0.64	0.79	0.93	0.93	0.98	0.53	1.00	0.97	0.79	0.92	0.82	0.85	0.15	NA	1.00	0.97
NM_001105537|ZNF142|chr2|-	chr2:219499274-219503531	219502917	0.28	0.12	0.12	0.18	0.06	0.10	0.09	0.05	0.16	0.11	NA	0.12	0.09	0.08	NA	NA	NA	0.07	NA	0.02	0.07	0.11	NA
NM_201557|FHL2|chr2|-	chr2:105976526-105977891	105977329	0.10	NA	0.11	0.05	0.10	0.21	0.14	0.05	0.16	0.09	0.06	0.12	0.06	0.17	0.06	0.03	0.04	NA	0.10	0.04	0.09	0.08	0.09
NM_014521|SH3BP4|chr2|+	chr2:235962235-235964367	235962385	0.93	0.90	0.86	0.83	NA	NA	0.90	0.83	0.88	0.86	0.88	0.89	0.79	NA	0.93	0.81	0.90	0.86	0.93	0.83	NA	0.88	1.00
NM_022662|ANAPC1|chr2|-	chr2:112525223-112526983	112526722	0.32	0.22	0.14	0.24	0.11	0.17	0.20	0.09	0.33	0.31	0.35	0.29	0.13	0.12	0.23	0.33	0.27	0.30	0.26	0.12	0.07	0.19	0.17
NM_001013663|PTRHD1|chr2|-	chr2:25012902-25013450	25013212	0.18	0.17	0.31	0.14	0.20	0.19	0.21	0.16	0.17	0.18	0.22	0.22	0.17	0.22	0.22	0.19	0.19	0.15	0.11	0.19	0.20	0.24	0.17
NM_001130158|MYO1B|chr2|+	chr2:192288562-192290093	192288741	NA	0.61	0.65	0.56	NA	0.80	NA	0.52	0.75	0.65	0.85	0.83	0.52	0.79	0.90	0.70	0.75	NA	0.80	0.20	0.89	0.73	NA
NM_001430|EPAS1|chr2|+	chr2:46611647-46613850	46611840	NA	NA	NA	0.76	NA	0.97	NA	0.70	0.81	NA	0.94	0.92	0.67	NA	0.96	0.86	0.90	0.84	0.79	0.50	0.90	NA	0.93
NM_004836|EIF2AK3|chr2|-	chr2:88856250-88857454	88857207	NA	0.87	NA	0.75	NA	0.99	NA	NA	0.74	0.90	1.00	0.94	0.63	NA	NA	0.91	0.92	0.85	0.77	0.32	NA	NA	NA
NM_005444|RQCD1|chr2|+	chr2:219458830-219461170	219459819	0.89	0.81	0.96	0.75	NA	NA	NA	NA	0.79	0.79	0.95	0.91	0.53	NA	0.97	0.90	0.94	0.80	0.89	0.56	NA	0.74	0.81
NM_017789|SEMA4C|chr2|-	chr2:97525466-97527192	97527042	0.66	0.61	0.80	0.53	NA	0.87	0.84	0.73	0.60	0.70	0.92	0.95	0.60	0.99	0.98	0.87	0.87	0.65	0.79	0.66	0.78	0.97	0.65
NM_032822|FAM136A|chr2|-	chr2:70523098-70524609	70524459	0.74	0.90	0.91	0.85	0.61	0.92	0.94	0.58	0.86	0.91	0.91	0.84	0.75	0.78	0.90	0.88	0.90	0.80	0.99	0.44	0.73	0.69	0.99
NM_004804|CIAO1|chr2|+	chr2:96936848-96939903	96937255	0.31	0.37	0.56	0.66	0.33	0.33	0.54	0.21	0.46	0.43	0.54	0.58	0.26	0.19	0.69	0.60	0.54	0.51	0.42	0.28	0.32	0.32	0.42
NM_001244678|THNSL2|chr2|+	chr2:88485416-88486150	88485803	NA	NA	NA	NA	0.92	NA	1.00	NA	0.92	0.83	0.86	NA	0.70	1.00	0.82	0.74	0.86	0.77	NA	NA	1.00	0.97	0.95
NM_002056|GFPT1|chr2|-	chr2:69546926-69553365	69552439	0.33	NA	0.54	0.46	0.36	0.32	0.32	0.32	0.54	0.40	0.53	0.37	0.47	0.25	0.31	0.37	0.33	0.53	0.41	NA	0.20	0.27	0.32
NM_005415|SLC20A1|chr2|+	chr2:113420440-113421407	113420655	1.00	0.69	0.95	0.76	0.90	1.00	1.00	0.86	0.81	0.87	0.93	0.92	0.57	1.00	0.98	0.81	0.92	0.79	NA	0.29	1.00	0.98	0.96
NM_030915|LBH|chr2|+	chr2:30480298-30482911	30480461	NA	NA	NA	0.82	NA	NA	NA	0.85	0.93	0.92	0.91	NA	0.84	NA	0.92	0.87	0.90	0.88	0.80	0.88	NA	0.95	0.94
NM_002166|ID2|chr2|+	chr2:8823814-8824580	8824172	0.79	0.42	0.64	0.47	0.78	0.77	0.96	0.36	0.47	0.67	0.59	0.51	NA	1.00	0.73	0.51	0.57	0.51	0.76	0.35	0.96	0.76	0.60
NM_014860|SUPT7L|chr2|-	chr2:27875053-27876614	27875968	0.26	0.24	0.21	0.21	0.13	0.21	0.17	0.18	0.22	0.11	0.22	0.27	0.18	0.14	0.19	0.15	0.20	0.33	0.16	0.22	0.15	0.14	0.21
NM_017750|RETSAT|chr2|-	chr2:85569215-85570504	85570014	NA	0.95	NA	0.89	1.00	NA	NA	0.99	1.00	0.97	1.00	0.98	0.99	NA	1.00	1.00	1.00	0.97	0.75	NA	NA	1.00	0.98
NM_018471|ZC3H15|chr2|+	chr2:187373269-187374093	187373512	1.00	0.96	0.97	1.00	1.00	1.00	1.00	1.00	1.00	0.75	0.94	0.88	0.97	1.00	1.00	0.85	0.90	1.00	1.00	0.69	1.00	0.98	1.00
NM_015702|MMADHC|chr2|-	chr2:150426148-150426682	150426492	0.71	0.50	0.61	0.51	0.49	0.79	0.84	0.50	0.60	0.45	0.51	0.49	0.45	0.97	0.67	0.43	0.47	0.52	0.75	0.17	0.80	0.62	0.72
NM_003628|PKP4|chr2|+	chr2:159536940-159538050	159537449	0.99	0.74	0.91	0.86	1.00	0.98	1.00	0.92	0.93	0.98	0.82	0.77	0.82	1.00	0.92	0.79	0.72	0.91	0.74	0.70	1.00	0.91	0.89
NM_002709|PPP1CB|chr2|+	chr2:29022064-29025840	29023854	0.48	0.39	0.49	0.13	0.90	0.84	0.98	0.80	0.31	0.22	0.58	0.62	0.40	NA	0.62	0.30	0.41	0.49	0.29	0.29	0.93	0.54	0.44
NM_020744|MTA3|chr2|+	chr2:42936013-42936673	42936279	0.13	0.19	0.12	0.13	0.15	0.22	0.21	0.16	0.13	0.11	0.29	0.16	0.09	0.24	0.23	0.18	0.26	0.23	0.20	0.07	0.16	0.21	0.15
NM_020143|PNO1|chr2|+	chr2:68401866-68403377	68402103	0.80	0.61	0.57	0.57	0.79	NA	NA	NA	0.77	0.25	0.55	0.49	0.57	0.85	0.54	0.56	0.43	0.56	0.64	NA	NA	0.49	0.85
NM_020122|KCMF1|chr2|+	chr2:85280270-85282802	85280837	0.10	0.22	0.05	0.09	0.08	0.10	0.11	0.09	0.12	0.05	0.18	0.09	0.08	0.09	0.09	0.13	0.11	0.12	0.12	0.06	0.09	0.07	0.11
NM_001206703|SP100|chr2|+	chr2:231334729-231335237	231334903	0.63	NA	NA	0.35	NA	0.70	0.86	0.45	NA	0.37	0.48	0.46	0.58	0.71	0.61	0.44	0.44	0.48	0.75	0.12	0.67	0.50	0.63
NM_198963|DHX57|chr2|-	chr2:39024869-39025584	39025303	0.97	0.77	0.83	0.65	1.00	NA	NA	0.95	NA	0.58	0.85	0.86	NA	1.00	0.99	0.84	NA	0.80	0.94	NA	1.00	0.99	0.92
NM_004622|TSN|chr2|+	chr2:122522709-122525463	122524692	0.97	0.49	0.82	0.49	NA	0.94	NA	0.99	0.58	0.75	0.90	0.73	0.58	1.00	0.96	0.74	0.78	0.72	0.67	0.94	1.00	0.98	0.88
NM_017657|AFTPH|chr2|+	chr2:64819018-64820145	64819184	0.85	0.47	0.52	0.58	0.67	1.00	0.97	0.54	0.57	0.62	0.92	0.88	0.44	0.97	0.99	0.82	0.84	0.61	0.66	0.11	NA	0.91	0.85
NM_172003|CBWD2|chr2|+	chr2:114253213-114253755	114253363	0.07	0.07	0.08	0.09	0.06	0.06	0.21	0.03	0.12	0.21	0.24	0.14	0.09	0.16	0.21	0.19	0.22	0.20	0.20	0.02	0.10	0.10	0.11
NM_006357|UBE2E3|chr2|+	chr2:181927517-181928156	181927700	0.97	0.63	0.73	0.62	1.00	1.00	1.00	0.89	0.70	0.70	0.90	0.83	0.66	1.00	1.00	0.78	0.87	0.74	1.00	0.31	1.00	1.00	0.92
NM_001145928|SAP130|chr2|-	chr2:128698795-128699738	128699563	NA	0.94	0.92	0.96	NA	NA	NA	NA	1.00	0.83	0.92	0.78	1.00	NA	0.83	0.72	0.82	0.95	NA	NA	NA	0.77	NA
NM_024065|PDCL3|chr2|+	chr2:101192815-101193902	101193107	0.13	0.06	0.07	0.08	0.07	0.14	0.10	0.07	0.13	0.12	0.05	0.09	0.05	0.08	0.08	0.09	0.07	0.10	0.11	0.08	0.13	0.10	0.09
NM_177983|PPM1G|chr2|-	chr2:27604058-27604672	27604381	1.00	0.97	1.00	0.99	1.00	1.00	1.00	1.00	1.00	0.88	0.90	0.81	1.00	1.00	0.96	0.86	0.87	1.00	1.00	0.93	1.00	0.95	1.00
NM_001146688|KDM3A|chr2|+	chr2:86719161-86719837	86719311	1.00	0.94	1.00	0.94	0.99	0.98	1.00	1.00	0.97	0.89	0.89	0.89	0.96	1.00	0.97	0.84	0.89	0.99	0.90	0.97	1.00	0.96	0.97
NM_012198|GCA|chr2|+	chr2:163216726-163217917	163217479	NA	NA	NA	NA	NA	0.48	0.79	NA	NA	0.39	0.43	0.33	NA	0.75	0.43	0.36	0.39	0.50	NA	NA	0.76	0.43	0.63
NM_032321|C2orf88|chr2|+	chr2:191064422-191068247	191064924	NA	NA	0.48	0.50	0.27	0.43	0.47	0.24	0.46	0.31	NA	NA	NA	0.26	0.54	0.61	0.48	NA	NA	0.18	0.38	NA	0.50
NM_024624|SMC6|chr2|-	chr2:17844955-17846880	17846599	NA	0.29	0.20	0.20	0.20	0.20	0.23	NA	0.30	NA	0.21	0.21	NA	0.12	0.23	0.23	0.29	NA	NA	NA	0.20	0.14	NA
NM_004238|TRIP12|chr2|-	chr2:230628569-230632466	230631954	0.05	0.25	0.09	0.08	0.05	0.04	0.07	0.05	0.11	0.06	0.07	0.10	0.09	0.03	0.08	0.10	0.11	0.10	0.16	0.08	0.04	0.06	0.09
NM_018981|DNAJC10|chr2|+	chr2:183641847-183644725	183643211	0.23	0.50	0.26	0.16	0.19	0.21	0.24	0.46	0.27	0.16	0.15	0.15	0.40	0.20	0.18	0.22	0.19	0.32	0.15	0.69	0.32	0.15	0.22
NM_001145412|NFE2L2|chr2|-	chr2:178095028-178096736	178095842	1.00	0.89	1.00	0.95	NA	1.00	1.00	1.00	0.97	1.00	1.00	1.00	0.96	NA	1.00	1.00	1.00	0.99	1.00	0.47	1.00	1.00	1.00
NM_001159597|SH3YL1|chr2|-	chr2:218143-219001	218835	0.86	0.50	0.83	0.66	0.77	0.87	0.90	0.73	0.63	0.70	0.79	0.75	0.80	0.99	0.92	0.73	0.76	0.87	0.66	0.61	0.92	0.85	0.81
NM_012233|RAB3GAP1|chr2|+	chr2:135926114-135928258	135926522	1.00	0.52	0.84	0.66	NA	NA	NA	0.80	0.78	0.55	0.75	0.68	0.47	1.00	0.83	0.54	0.65	0.84	0.60	0.48	0.96	0.72	0.96
NM_016044|FAHD2A|chr2|+	chr2:96078642-96080639	96078824	0.06	0.07	0.05	NA	0.06	0.07	0.07	0.03	0.05	0.10	NA	NA	0.03	0.04	0.06	0.05	0.05	0.04	NA	0.02	0.06	0.05	0.05
NM_020738|KIDINS220|chr2|-	chr2:8864510-8872112	8869077	NA	0.06	0.01	NA	NA	NA	NA	NA	0.00	0.00	0.02	0.01	NA	NA	0.02	0.00	0.00	0.01	0.01	NA	NA	0.01	NA
NM_001257197|CUL3|chr2|-	chr2:225337486-225339093	225338686	0.14	0.15	0.09	0.13	0.10	0.10	0.09	0.08	0.14	0.11	0.15	0.15	0.06	0.09	0.12	0.13	0.17	0.10	0.12	0.10	0.08	0.09	0.10
NM_001136193|FASTKD2|chr2|+	chr2:207656406-207660848	207656556	0.14	0.33	0.17	0.15	0.12	NA	0.25	0.13	NA	0.15	0.18	0.12	NA	0.10	0.12	0.14	0.17	0.21	0.10	NA	0.06	0.06	0.13
NM_152522|ARL6IP6|chr2|+	chr2:153616260-153617716	153616816	NA	0.04	NA	0.03	NA	NA	NA	NA	0.14	0.43	0.34	0.31	0.08	NA	0.55	0.26	0.30	NA	NA	NA	NA	0.53	0.13
NM_017877|C2orf18|chr2|+	chr2:27000909-27005352	27003956	0.27	0.11	0.33	0.17	NA	NA	NA	0.16	0.10	0.17	NA	0.17	0.15	NA	NA	0.18	0.18	0.21	0.13	0.08	0.33	NA	0.16
NM_006062|SMYD5|chr2|+	chr2:73452923-73454363	73453303	1.00	1.00	0.94	NA	NA	NA	NA	NA	1.00	0.82	0.91	0.87	1.00	1.00	0.97	0.84	0.92	NA	1.00	0.87	NA	0.98	1.00
NM_020151|STARD7|chr2|-	chr2:96850581-96852652	96852108	1.00	0.94	0.95	0.85	NA	NA	NA	0.84	0.90	0.88	1.00	1.00	0.88	NA	1.00	0.99	0.99	0.95	1.00	0.70	NA	1.00	1.00
NM_005381|NCL|chr2|-	chr2:232319458-232319978	232319762	0.80	0.54	0.60	0.55	0.86	0.85	0.86	0.40	0.67	0.36	0.65	0.59	0.41	0.91	0.78	0.48	0.64	0.60	0.93	0.12	0.80	0.71	0.87
NM_003111|SP3|chr2|-	chr2:174773017-174774985	174774688	NA	0.66	0.82	0.65	NA	1.00	NA	NA	0.67	0.86	0.91	0.92	0.62	NA	0.96	0.76	0.84	0.77	0.92	0.29	NA	0.93	0.85
NM_016516|VPS54|chr2|-	chr2:64119254-64120669	64120244	0.54	0.39	0.38	0.33	0.42	0.58	0.65	0.27	0.50	0.25	0.37	0.41	0.24	0.56	0.44	0.30	0.35	0.50	NA	NA	0.50	0.40	0.49
NM_032357|CCDC115|chr2|-	chr2:131095611-131096805	131096192	0.93	0.57	0.95	0.57	NA	1.00	NA	0.73	0.62	0.67	0.87	0.79	0.48	1.00	0.97	0.74	0.72	0.73	0.90	0.11	1.00	0.89	0.97
NM_001031738|TMEM150A|chr2|-	chr2:85825136-85826440	85825728	0.18	0.14	NA	0.05	0.42	NA	0.37	0.17	NA	NA	0.17	0.12	0.06	0.27	0.29	0.09	0.10	0.11	NA	0.09	0.20	NA	NA
NM_021095|SLC5A6|chr2|-	chr2:27422451-27423447	27423108	1.00	0.99	1.00	0.99	1.00	NA	1.00	0.92	0.96	0.98	1.00	1.00	0.97	1.00	1.00	1.00	1.00	NA	1.00	0.72	1.00	1.00	1.00
NM_144582|TEX261|chr2|-	chr2:71213052-71215845	71215693	0.97	0.86	0.84	0.78	NA	NA	NA	NA	0.90	0.93	0.85	0.80	0.81	NA	0.90	0.82	0.81	0.81	0.75	0.79	NA	0.70	0.91
NM_016252|BIRC6|chr2|+	chr2:32842791-32843943	32842982	0.78	0.40	0.47	0.31	0.62	0.76	0.96	0.30	0.33	0.38	0.65	0.66	0.25	1.00	0.82	0.51	0.70	0.38	0.60	0.07	0.69	0.81	0.57
NM_001145048|GPN1|chr2|+	chr2:27872981-27874424	27873668	0.32	0.23	0.29	0.25	0.65	0.44	NA	0.63	0.19	0.12	0.14	0.11	0.33	0.51	0.27	0.17	0.16	0.34	0.19	0.33	NA	0.11	0.25
NM_001153|ANXA4|chr2|+	chr2:70052587-70053592	70052770	0.50	NA	0.38	0.41	0.39	0.46	0.57	0.38	0.40	0.47	0.40	0.45	0.32	0.52	0.55	0.40	0.45	0.54	0.41	0.29	0.48	0.35	0.52
NM_025181|SLC35F5|chr2|-	chr2:114464343-114472772	114472019	0.12	NA	NA	0.29	0.14	0.13	0.17	NA	0.27	NA	0.13	0.09	0.38	0.10	0.18	NA	0.16	0.35	0.17	NA	0.13	0.07	0.16
NM_014640|TTLL4|chr2|+	chr2:219618856-219620117	219619358	0.19	0.27	0.11	NA	0.10	0.10	0.12	0.12	0.22	0.15	0.16	0.15	NA	0.12	0.12	0.13	0.14	NA	0.20	0.12	0.06	0.13	0.20
NM_005168|RND3|chr2|-	chr2:151324706-151326752	151326317	NA	0.84	0.89	0.87	NA	1.00	NA	NA	0.86	0.94	0.97	0.97	0.71	NA	NA	NA	0.95	0.90	0.88	NA	NA	NA	0.90
NM_006267|RANBP2|chr2|+	chr2:109400051-109402246	109400524	0.19	0.27	0.14	0.28	0.13	0.18	0.15	0.12	0.25	0.17	0.22	0.18	0.10	0.15	0.15	0.21	0.23	0.21	0.15	0.13	0.11	0.21	0.25
NM_145687|MAP4K4|chr2|+	chr2:102507627-102511156	102507890	0.30	0.41	0.33	0.23	0.19	0.19	0.43	0.21	0.28	0.22	0.25	0.31	0.16	0.14	0.31	0.30	0.30	0.38	0.27	0.17	0.19	0.14	0.26
NM_025202|EFHD1|chr2|+	chr2:233546294-233547491	233546540	1.00	NA	0.98	NA	0.99	NA	NA	0.99	1.00	0.64	1.00	1.00	0.96	NA	1.00	0.96	NA	1.00	0.99	0.75	NA	NA	NA
NM_001349|DARS|chr2|-	chr2:136664247-136664977	136664827	0.79	0.45	0.63	0.43	0.94	0.83	0.81	0.51	0.62	0.69	0.95	0.97	0.50	1.00	1.00	0.80	0.91	0.69	0.83	0.05	0.99	1.00	0.63
NM_013341|OLA1|chr2|-	chr2:174939538-174940255	174939881	0.67	0.68	0.73	0.66	0.73	0.66	0.70	1.00	0.64	0.58	0.59	0.49	0.72	0.66	0.62	0.61	0.56	0.66	0.57	1.00	0.70	0.62	0.67
NM_001173431|OBSL1|chr2|-	chr2:220419873-220421014	220420637	0.64	NA	NA	0.41	0.82	NA	NA	0.39	0.71	0.47	0.49	NA	0.48	0.67	0.89	0.51	0.62	NA	0.55	0.14	NA	NA	NA
NM_003581|NCK2|chr2|+	chr2:106509437-106510736	106509587	0.94	0.90	0.86	0.85	NA	0.95	NA	0.87	0.91	0.72	0.96	0.94	0.87	NA	0.99	0.86	0.90	0.93	0.96	0.48	0.97	0.97	0.99
NM_002149|HPCAL1|chr2|+	chr2:10566849-10567740	10567129	0.96	0.64	0.80	0.87	NA	1.00	1.00	0.74	0.94	0.69	0.96	0.90	0.80	1.00	0.97	0.78	0.86	0.81	0.94	0.56	1.00	0.94	0.95
NM_022552|DNMT3A|chr2|-	chr2:25450751-25457289	25455877	NA	0.26	0.07	0.48	0.22	NA	NA	NA	0.26	0.19	0.06	0.15	0.19	0.05	0.16	0.07	0.08	NA	NA	0.11	0.05	0.13	0.06
NM_177969|PPM1B|chr2|+	chr2:44457551-44458615	44457900	0.63	NA	0.36	0.22	NA	0.48	NA	0.21	NA	0.64	0.70	0.58	NA	NA	0.88	0.65	0.65	0.57	NA	NA	0.95	0.82	0.61
NM_002997|SDC1|chr2|-	chr2:20400540-20402696	20401432	1.00	0.99	0.87	0.84	NA	1.00	NA	1.00	0.98	0.84	0.90	0.90	0.75	NA	0.97	0.75	0.79	NA	NA	0.43	1.00	0.97	NA
NM_001243926|MAPKAPK3|chr3|+	chr3:50685324-50686729	50685474	1.00	NA	0.87	1.00	NA	NA	NA	1.00	1.00	1.00	0.98	1.00	1.00	0.87	0.99	1.00	0.96	NA	NA	1.00	0.92	1.00	NA
NM_017801|CMTM6|chr3|-	chr3:32522783-32525589	32525417	0.85	0.73	0.86	0.78	NA	0.90	NA	0.75	0.80	0.86	0.89	0.90	0.76	NA	0.97	0.91	0.87	0.87	0.98	NA	NA	NA	0.90
NM_007182|RASSF1|chr3|-	chr3:50367214-50368158	50368008	1.00	0.94	1.00	NA	NA	NA	NA	1.00	1.00	0.98	1.00	0.99	NA	NA	NA	0.98	0.96	1.00	NA	0.91	0.96	1.00	0.99
