event_id	loci	Proximal_Site	TCGA-GC-A3BM-01A-11R-A22U-07	TCGA-CU-A0YN-01A-21R-A10U-07	TCGA-K4-A3WV-01A-11R-A22U-07	TCGA-GC-A6I3-01A-11R-A31N-07	TCGA-BT-A20R-01A-12R-A16R-07	TCGA-BT-A20W-01A-21R-A14Y-07	TCGA-BL-A13J-01A-11R-A277-07	TCGA-BL-A13J-01A-11R-A10U-07	TCGA-BL-A13J-01B-04R-A277-07	TCGA-K4-A54R-01A-11R-A26T-07	TCGA-BT-A20Q-01A-11R-A14Y-07	TCGA-BT-A2LA-01A-11R-A18C-07	TCGA-K4-A5RI-01A-11R-A28M-07	TCGA-BT-A20U-01A-11R-A14Y-07	TCGA-GD-A3OP-01A-21R-A220-07	TCGA-GD-A3OQ-01A-32R-A220-07	TCGA-CU-A0YR-01A-12R-A10U-07	TCGA-GD-A2C5-01A-12R-A180-07	TCGA-GC-A3WC-01A-31R-A22U-07	TCGA-BT-A20N-01A-11R-A14Y-07	TCGA-BT-A2LB-01A-11R-A18C-07
NM_001193302|SEMA4A|chr1|+	chr1:156146195-156149863	156147502	0.12	0.02	0.07	NA	NA	0.05	NA	0.05	NA	0.04	0.02	NA	0.09	0.12	0.05	0.04	NA	0.01	0.02	0.16	0.09
NM_178427|ARNT|chr1|-	chr1:150780918-150784586	150782329	0.17	0.05	0.09	NA	0.08	0.17	NA	0.09	NA	0.10	0.10	0.03	0.09	0.11	0.13	0.08	NA	0.13	0.15	0.09	0.12
NM_002061|GCLM|chr1|-	chr1:94350648-94354715	94354465	0.56	0.34	0.48	0.18	0.55	0.51	0.25	0.30	0.42	0.39	0.39	0.32	0.29	0.41	0.29	0.37	0.43	0.36	0.44	0.34	0.40
NM_005095|ZMYM4|chr1|+	chr1:35885070-35887550	35885752	0.85	0.54	0.60	0.48	0.68	0.70	0.42	0.49	NA	0.68	0.54	0.91	0.76	0.65	0.78	0.70	0.73	0.58	0.59	0.62	0.74
NM_018438|FBXO6|chr1|+	chr1:11733671-11734400	11734014	0.54	0.56	0.51	0.63	0.70	0.73	NA	0.56	NA	0.45	0.66	0.55	0.55	0.49	0.52	0.54	0.55	0.64	0.48	0.55	0.51
NM_152379|C1orf131|chr1|-	chr1:231359523-231360160	231359928	0.64	0.76	0.75	0.85	0.72	0.74	NA	NA	NA	0.70	0.64	0.65	0.66	0.56	0.64	0.64	0.77	0.85	0.60	0.65	0.70
NM_017850|C1orf109|chr1|-	chr1:38147246-38148832	38147901	0.76	NA	0.96	NA	NA	0.91	NA	0.70	NA	0.98	NA	0.91	0.95	0.71	0.78	0.78	NA	NA	0.85	0.93	NA
NM_182685|EFNA1|chr1|+	chr1:155106430-155107386	155106995	0.76	0.83	0.91	1.00	0.94	0.93	0.69	0.83	0.87	0.74	0.85	0.89	0.87	0.79	0.78	0.77	0.87	0.96	0.78	0.83	0.90
NM_002065|GLUL|chr1|-	chr1:182352021-182353858	182353433	0.70	0.75	0.66	0.71	0.80	0.79	0.52	0.69	0.97	0.71	0.82	0.78	0.84	0.67	0.70	0.69	0.67	0.84	0.69	0.71	0.81
NM_000775|CYP2J2|chr1|-	chr1:60358978-60359501	60359283	0.80	NA	0.74	0.99	0.84	0.81	0.87	0.85	NA	0.80	0.82	NA	NA	NA	0.76	0.85	0.76	0.95	NA	0.79	0.86
NM_018070|SSBP3|chr1|-	chr1:54689872-54692833	54691191	0.13	0.18	0.09	NA	0.06	0.35	NA	0.14	NA	0.06	0.05	0.09	0.10	0.06	0.07	0.04	0.09	0.19	0.07	0.18	0.06
NR_036473|SNHG3|chr1|+	chr1:28835341-28837710	28836077	0.07	0.08	0.14	0.21	0.06	0.07	0.09	0.05	0.36	0.08	0.09	0.04	0.07	0.06	0.06	0.09	0.06	0.07	0.10	0.08	0.12
NM_014955|METTL13|chr1|+	chr1:171765621-171766858	171765988	0.42	0.30	0.39	0.34	0.43	0.38	0.37	0.35	NA	0.28	0.52	0.29	0.29	0.37	0.39	0.39	0.37	0.37	0.33	0.34	0.39
NM_001097589|SPRR3|chr1|+	chr1:152975477-152976388	152975677	NA	0.95	0.97	0.99	NA	NA	0.89	0.91	NA	0.97	0.89	NA	NA	0.95	0.97	0.95	0.97	0.96	NA	0.96	0.96
NM_025160|WDR26|chr1|-	chr1:224572840-224577562	224576950	0.35	0.30	0.19	0.17	0.34	0.36	0.35	0.32	0.65	0.28	0.35	0.19	0.25	0.31	0.38	0.30	0.34	0.25	0.26	0.22	0.19
NM_015327|SMG5|chr1|-	chr1:156218690-156220461	156219244	0.65	0.73	0.87	1.00	0.95	0.82	0.64	0.63	0.83	0.80	0.86	0.81	0.92	0.58	0.69	0.67	0.84	0.95	0.71	0.64	0.85
NM_020524|PBXIP1|chr1|-	chr1:154916550-154917593	154917306	0.81	0.73	0.85	1.00	0.87	0.89	0.69	0.85	0.84	0.81	0.86	0.87	0.93	0.91	0.79	0.77	0.78	0.87	0.82	0.73	0.86
NM_012424|RPS6KC1|chr1|+	chr1:213445866-213448087	213446770	0.21	0.14	0.27	NA	0.23	0.28	NA	NA	NA	0.23	0.24	0.22	0.23	0.31	0.19	0.22	0.22	0.22	0.15	NA	0.19
NM_006135|CAPZA1|chr1|+	chr1:113212613-113214249	113212957	0.97	0.99	0.98	1.00	0.97	0.97	0.84	0.98	0.97	0.99	0.98	0.98	0.97	0.98	0.97	0.97	0.97	0.97	0.97	0.96	0.97
NM_005426|TP53BP2|chr1|-	chr1:223967565-223968596	223967971	0.60	0.57	0.68	0.82	0.80	0.67	NA	0.57	NA	0.69	0.63	0.59	0.66	0.64	0.49	0.56	0.66	0.76	0.51	0.60	0.71
NM_015014|RBM34|chr1|-	chr1:235294515-235295312	235294988	0.08	0.12	0.09	0.12	0.10	0.09	0.08	0.06	NA	0.06	0.06	0.13	0.10	0.13	0.12	0.12	0.10	0.10	0.11	0.08	0.10
NR_024538|GSTM4|chr1|+	chr1:110203786-110204322	110203945	0.79	0.88	0.80	1.00	0.74	0.73	NA	NA	NA	0.86	0.91	0.96	0.90	0.92	0.98	NA	0.88	0.85	0.91	0.95	0.96
NM_014935|PLEKHA6|chr1|-	chr1:204187949-204191907	204189914	0.73	NA	0.23	NA	0.27	0.42	NA	NA	NA	0.47	0.51	NA	NA	0.60	0.72	0.50	0.79	0.39	0.61	NA	0.17
NM_001242857|PRKACB|chr1|+	chr1:84700862-84704341	84701216	0.90	0.94	NA	NA	NA	0.93	0.73	0.93	0.95	NA	0.96	NA	0.98	0.91	0.92	0.94	0.98	NA	0.93	0.93	0.98
NM_005645|TAF13|chr1|-	chr1:109605099-109607315	109606825	0.52	0.48	0.63	NA	0.49	0.60	0.33	0.60	0.31	0.64	0.57	0.64	0.74	0.49	0.57	0.52	0.59	0.59	0.50	0.54	0.64
NM_002840|PTPRF|chr1|+	chr1:44087605-44089691	44089074	0.49	0.47	0.56	0.99	0.77	0.59	0.43	0.53	0.65	0.44	0.55	0.60	0.66	0.49	0.46	0.51	0.56	0.80	0.49	0.49	0.63
NM_000396|CTSK|chr1|-	chr1:150768689-150769374	150769026	0.67	0.79	0.91	0.92	0.99	0.86	0.75	0.83	1.00	0.89	0.87	NA	0.90	0.91	0.83	0.83	0.82	1.00	0.90	0.87	0.91
NM_022075|CERS2|chr1|-	chr1:150937665-150938764	150938537	0.94	0.92	0.98	1.00	0.95	0.97	0.91	0.92	1.00	0.99	0.98	0.98	0.99	0.94	0.94	0.94	0.95	0.94	0.97	0.97	1.00
NM_203350|ZRANB2|chr1|-	chr1:71528973-71530820	71530060	0.88	0.92	1.00	1.00	1.00	0.99	0.84	0.97	0.90	1.00	0.97	1.00	0.96	0.94	0.84	0.98	0.93	1.00	0.88	0.95	1.00
NM_001981|EPS15|chr1|-	chr1:51819943-51822518	51820939	0.61	0.51	0.65	NA	0.70	0.66	0.42	0.53	0.66	0.86	0.50	0.75	0.86	0.72	0.58	0.65	0.55	0.88	0.50	0.46	0.86
NM_001178096|F3|chr1|-	chr1:94994862-94996152	94995675	0.93	0.90	0.97	NA	0.89	0.93	0.72	0.86	NA	1.00	NA	NA	0.97	0.85	0.94	0.85	0.85	NA	0.92	0.85	0.99
NM_013339|ALG6|chr1|+	chr1:63902493-63903132	63902804	0.29	0.19	0.21	0.26	0.25	0.21	NA	0.18	NA	NA	0.27	0.22	0.29	0.20	0.27	0.23	0.19	0.25	0.26	0.27	0.30
NM_022733|SMAP2|chr1|+	chr1:40887647-40889003	40887861	0.94	0.97	0.96	1.00	1.00	1.00	NA	0.99	NA	1.00	1.00	1.00	1.00	0.96	1.00	0.97	1.00	1.00	0.98	0.95	1.00
NM_024569|MPZL1|chr1|+	chr1:167757056-167760066	167757283	0.91	0.82	0.85	0.56	0.86	0.80	0.63	0.89	0.74	0.86	0.91	0.90	0.90	0.89	0.90	0.85	0.85	0.78	0.86	0.83	0.87
NM_152493|ZNF362|chr1|+	chr1:33764530-33766330	33764910	0.87	0.85	0.91	0.99	0.93	0.93	NA	0.85	NA	0.86	0.95	0.90	0.89	0.88	0.71	0.89	0.88	0.95	0.76	0.86	0.93
NM_198551|MIA3|chr1|+	chr1:222838650-222840012	222839030	0.29	0.30	0.26	0.50	0.49	0.28	0.43	0.30	NA	0.29	0.34	0.39	0.38	0.36	0.32	0.34	0.37	0.41	0.35	0.31	0.29
NM_001204088|C1orf151-NBL1|chr1|+	chr1:19983358-19984956	19983508	0.91	0.94	0.95	0.97	0.95	0.95	0.85	0.98	0.92	0.94	1.00	0.98	0.91	0.97	0.90	0.91	0.92	0.95	0.91	0.96	0.98
NM_001256402|ELOVL1|chr1|-	chr1:43829057-43829808	43829407	0.73	0.76	0.84	1.00	0.91	0.90	0.77	0.86	0.96	0.86	0.82	0.87	0.87	0.83	0.75	0.74	0.85	0.95	0.84	0.76	0.87
NM_006625|SRSF10|chr1|-	chr1:24291055-24294213	24292979	0.23	0.16	0.16	0.44	0.21	0.18	0.19	0.19	NA	0.26	0.31	0.42	0.27	0.31	0.22	0.21	0.17	0.24	0.22	0.19	0.35
NM_014810|CEP350|chr1|+	chr1:180080131-180084017	180080303	0.70	0.69	NA	0.07	NA	0.73	0.56	0.61	0.95	NA	0.70	NA	NA	0.79	0.84	0.74	0.60	0.56	0.68	0.74	NA
NM_015176|FBXO28|chr1|+	chr1:224345053-224349773	224347087	0.68	0.68	0.57	NA	0.76	0.72	0.48	0.57	NA	0.44	0.77	0.33	0.80	0.58	0.87	0.66	0.80	0.53	0.76	0.55	NA
NM_001357|DHX9|chr1|+	chr1:182856217-182856910	182856405	0.56	0.70	0.69	0.93	0.85	0.70	0.44	0.71	0.95	0.69	0.70	0.69	0.78	0.70	0.57	0.58	0.73	0.82	0.58	0.65	0.70
NM_024664|PPCS|chr1|+	chr1:42925273-42926113	42925739	0.84	0.88	0.99	1.00	1.00	0.94	0.82	0.83	NA	0.86	0.88	0.90	0.98	0.87	0.83	0.83	0.91	1.00	0.84	0.90	0.98
NM_003851|CREG1|chr1|-	chr1:167510247-167511538	167511321	0.99	0.97	0.96	1.00	1.00	0.99	0.74	0.98	0.78	1.00	0.99	1.00	1.00	0.97	0.96	0.95	0.99	0.99	0.95	0.95	1.00
NM_148970|TNFRSF25|chr1|-	chr1:6520042-6521822	6521245	0.04	0.69	0.86	0.15	NA	0.11	NA	1.00	NA	1.00	0.13	0.32	0.93	NA	NA	0.47	NA	0.02	0.11	0.98	0.04
NM_018178|GOLPH3L|chr1|-	chr1:150618687-150621224	150620852	0.77	0.83	0.75	NA	0.90	0.86	0.63	0.83	0.85	0.98	0.90	0.85	0.92	0.84	0.78	0.79	0.92	0.93	NA	0.79	0.91
NM_012486|PSEN2|chr1|+	chr1:227083124-227083798	227083347	0.95	1.00	1.00	0.98	1.00	1.00	NA	1.00	NA	0.95	0.96	0.98	0.99	0.92	0.96	0.93	0.98	1.00	1.00	0.92	1.00
NM_001167738|NAV1|chr1|+	chr1:201788964-201796119	201789845	NA	0.54	NA	NA	0.35	0.37	NA	0.28	NA	NA	0.36	0.67	NA	0.27	NA	0.46	NA	0.34	0.46	NA	0.29
NM_005872|BCAS2|chr1|-	chr1:115110051-115110877	115110416	0.33	0.38	0.43	0.79	0.68	0.43	0.46	0.37	0.92	0.41	0.41	0.47	0.53	0.43	0.40	0.41	0.49	0.63	0.41	0.42	0.40
NM_004401|DFFA|chr1|-	chr1:10516565-10521759	10521316	0.63	0.52	0.54	0.23	0.31	0.57	0.44	0.43	NA	0.29	0.46	0.63	0.36	0.51	0.47	0.57	0.59	0.35	0.45	0.48	0.23
NM_001040874|HIST2H2AA4|chr1|-	chr1:149812983-149814318	149813805	0.05	0.07	0.04	0.08	0.06	0.07	0.01	0.06	0.06	0.04	0.03	0.06	0.06	0.07	0.04	0.04	0.07	0.06	0.07	0.06	0.05
NM_015383|NBPF14|chr1|-	chr1:148002907-148004791	148004546	1.00	1.00	1.00	NA	NA	0.99	0.98	1.00	NA	NA	0.99	NA	1.00	NA	0.99	0.99	NA	NA	0.99	NA	1.00
NM_018067|MAP7D1|chr1|+	chr1:36645848-36646451	36646090	0.65	0.73	0.74	1.00	0.90	0.78	0.70	0.78	0.82	0.71	0.75	0.74	0.82	0.80	0.69	0.74	0.77	0.90	0.75	0.81	0.77
NM_015269|ZCCHC11|chr1|-	chr1:52889072-52889674	52889450	0.18	0.21	0.17	NA	0.17	0.15	NA	0.14	NA	0.22	0.18	0.18	0.25	0.17	0.19	0.18	NA	NA	0.17	0.19	0.18
NM_001042663|PLEKHG5|chr1|-	chr1:6526256-6527632	6527238	0.61	0.23	0.28	0.12	0.17	0.50	NA	0.61	NA	0.27	0.22	0.18	0.27	0.24	0.33	0.25	0.30	0.46	0.52	0.49	0.21
NR_046083|ADIPOR1|chr1|-	chr1:202909954-202910829	202910662	0.97	0.95	1.00	0.96	0.99	0.97	0.85	0.96	1.00	0.98	0.95	0.96	0.98	0.96	0.95	0.97	0.95	0.96	0.96	0.96	0.95
NR_002188|GBAP1|chr1|-	chr1:155180097-155184264	155183027	0.29	0.27	0.33	0.22	0.19	0.25	0.24	0.26	NA	0.26	0.22	0.27	0.25	0.24	0.26	0.24	0.23	0.18	0.28	0.23	0.23
NM_001127320|UBAP2L|chr1|+	chr1:154235578-154238975	154235908	0.02	0.01	0.01	0.01	0.01	0.02	NA	0.01	NA	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.01
NM_020216|RNPEP|chr1|+	chr1:201974685-201975271	201974954	0.94	0.95	0.94	1.00	0.99	0.97	0.95	0.95	NA	0.88	0.92	0.96	0.93	0.94	0.94	0.94	0.94	1.00	0.93	0.94	0.97
NM_002167|ID3|chr1|-	chr1:23884395-23884906	23884697	0.48	0.47	0.52	0.57	0.60	0.51	0.47	0.40	NA	0.52	0.64	0.50	0.57	0.54	0.47	0.49	0.52	0.58	0.51	0.49	0.50
NM_146421|GSTM1|chr1|+	chr1:110235827-110236370	110235977	0.94	1.00	1.00	0.99	1.00	0.98	NA	NA	NA	1.00	1.00	NA	1.00	1.00	NA	NA	NA	1.00	1.00	NA	NA
NM_003760|EIF4G3|chr1|-	chr1:21132968-21133993	21133606	0.69	0.69	0.64	0.86	0.79	0.65	0.51	0.61	NA	0.70	0.74	0.69	0.86	0.64	0.69	0.63	0.81	0.81	0.63	0.65	0.73
NM_181719|TMCO4|chr1|-	chr1:20008368-20009937	20008882	0.44	NA	0.64	0.78	0.67	0.67	NA	0.62	NA	0.43	0.64	NA	0.53	0.49	0.43	0.52	0.65	0.66	0.51	0.61	0.64
NM_005839|SRRM1|chr1|+	chr1:24998672-24999765	24998822	0.98	1.00	0.98	1.00	1.00	1.00	NA	0.98	NA	1.00	1.00	1.00	0.99	0.97	0.97	0.96	1.00	0.98	0.97	0.98	1.00
NM_016176|SDF4|chr1|-	chr1:1152305-1153068	1152900	0.37	0.22	0.58	0.74	0.64	0.37	0.32	0.23	NA	0.46	0.36	0.41	0.48	0.35	0.42	0.29	0.24	0.55	0.39	0.27	0.46
NM_004905|PRDX6|chr1|+	chr1:173456873-173457938	173457066	0.35	0.29	0.24	0.26	0.38	0.36	0.29	0.34	0.50	0.31	0.41	0.50	0.36	0.38	0.47	0.40	0.41	0.32	0.34	0.38	0.30
NM_004079|CTSS|chr1|-	chr1:150702663-150705621	150704995	0.19	0.18	0.12	0.08	0.12	0.15	0.26	0.14	NA	0.13	0.16	NA	0.13	0.16	0.17	0.17	0.12	0.14	0.14	0.15	0.10
NM_001195000|MR1|chr1|+	chr1:181024360-181031081	181025478	0.48	0.24	0.31	0.10	NA	0.35	0.17	0.22	0.34	NA	0.38	NA	0.37	0.35	0.50	0.39	NA	0.28	0.56	0.22	0.17
NM_015906|TRIM33|chr1|-	chr1:114935396-114940482	114938595	0.69	0.50	0.47	NA	0.38	0.50	0.40	0.53	0.73	NA	0.68	0.62	0.49	0.58	0.65	0.69	0.62	0.53	0.48	0.56	0.29
NM_023015|INTS3|chr1|+	chr1:153745668-153747467	153746510	0.14	0.12	0.09	0.29	0.14	0.13	NA	0.12	NA	0.11	0.11	0.12	0.13	0.12	0.16	0.10	0.13	0.14	0.12	0.11	0.14
NM_005558|LAD1|chr1|-	chr1:201348590-201351021	201350407	0.02	0.03	0.02	0.06	0.03	0.03	0.03	0.03	0.22	0.02	0.02	0.03	0.03	0.02	0.03	0.02	0.03	0.04	0.03	0.02	0.02
NM_001126|ADSS|chr1|-	chr1:244571797-244572940	244572294	0.42	0.39	0.54	0.86	0.60	0.44	0.34	0.44	0.51	0.50	0.54	0.58	0.56	0.50	0.44	0.39	0.47	0.50	0.37	0.39	0.60
NM_000696|ALDH9A1|chr1|-	chr1:165631264-165632381	165631687	0.57	0.60	0.75	1.00	0.87	0.74	0.66	0.62	1.00	0.62	0.72	0.64	0.75	0.70	0.58	0.50	0.72	0.90	0.61	0.63	0.80
NM_152608|C1orf55|chr1|-	chr1:226170394-226173224	226172912	0.81	NA	0.80	NA	NA	0.82	0.64	0.80	NA	0.86	0.85	0.87	0.87	0.84	0.82	0.79	0.77	0.75	0.81	0.86	NA
NM_001164245|C1orf27|chr1|+	chr1:186388140-186390499	186388290	0.74	0.56	0.61	0.15	0.57	0.63	0.45	0.63	0.64	0.49	0.74	0.65	0.55	0.63	0.79	0.67	0.61	0.58	0.74	0.44	0.41
NM_022078|GPATCH3|chr1|-	chr1:27216393-27217717	27217011	0.29	0.19	0.18	0.22	0.21	NA	NA	NA	NA	0.20	0.25	0.23	0.23	0.37	0.27	0.15	NA	0.22	NA	NA	0.31
NM_001164825|C1orf212|chr1|-	chr1:35317380-35321583	35320673	0.09	0.06	0.05	0.05	0.06	0.11	0.07	0.05	NA	0.06	0.05	0.08	0.08	0.08	0.08	0.07	0.07	0.06	0.10	0.06	0.05
NM_153747|PIGC|chr1|-	chr1:172410596-172411970	172411480	1.00	1.00	1.00	NA	1.00	1.00	0.98	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	1.00
NM_003564|TAGLN2|chr1|-	chr1:159887908-159888731	159888581	0.97	0.99	0.98	0.99	1.00	1.00	0.91	1.00	1.00	0.99	1.00	0.99	0.97	1.00	0.97	0.96	0.99	1.00	0.97	1.00	1.00
NM_020362|PITHD1|chr1|+	chr1:24113764-24114835	24114421	0.86	0.86	0.97	1.00	1.00	0.96	0.84	0.91	1.00	0.88	0.92	0.91	0.92	0.90	0.87	0.87	0.93	1.00	0.88	0.89	0.93
NM_015607|CHTOP|chr1|+	chr1:153617539-153618788	153617919	0.62	0.39	0.44	0.31	0.42	0.35	0.53	0.49	NA	0.23	0.47	0.92	0.43	0.53	0.55	0.51	0.58	0.41	0.52	0.57	0.44
NM_001040126|PQLC2|chr1|+	chr1:19655065-19658389	19655728	0.03	0.06	0.01	0.02	0.02	0.02	NA	0.02	NA	0.01	0.03	0.14	0.02	0.05	0.02	0.02	0.02	0.01	0.04	0.02	0.01
NM_002245|KCNK1|chr1|+	chr1:233807016-233808165	233807735	0.55	0.65	0.84	NA	0.97	0.90	NA	0.84	NA	0.90	0.77	NA	0.75	0.47	NA	0.63	0.73	0.96	0.54	0.72	0.89
NM_016486|TMEM69|chr1|+	chr1:46158875-46160200	46159735	0.59	0.55	0.61	1.00	0.79	0.59	0.76	0.63	NA	0.85	0.72	0.78	0.76	0.56	0.56	0.57	0.68	0.87	0.55	0.62	0.81
NM_001048210|CLCC1|chr1|-	chr1:109474508-109475123	109474958	0.71	0.61	0.65	0.57	0.57	0.69	0.71	0.56	0.39	0.45	0.72	0.84	0.69	0.65	0.78	0.81	0.62	0.73	0.81	0.55	0.72
NM_016374|ARID4B|chr1|-	chr1:235330213-235331967	235331795	0.77	0.74	0.80	NA	0.93	0.90	0.64	0.81	NA	0.90	0.87	0.88	0.97	0.71	0.73	0.73	0.80	0.92	0.78	0.83	0.93
NR_026678|TMEM79|chr1|+	chr1:156261175-156262234	156261325	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	0.75	0.97	0.97	1.00	1.00	1.00	1.00	1.00	0.99	1.00
NM_002053|GBP1|chr1|-	chr1:89517960-89519151	89519001	0.91	0.90	0.88	0.94	0.96	0.92	0.65	0.94	NA	0.93	0.94	NA	0.97	0.86	0.91	0.93	0.91	1.00	0.93	0.93	0.94
NM_001126337|TUFT1|chr1|+	chr1:151554119-151556062	151554382	0.78	0.90	0.86	NA	0.93	0.94	0.57	0.91	0.95	0.90	0.92	NA	0.93	0.91	0.81	0.85	0.92	0.96	0.84	0.92	0.96
NM_018230|NUP133|chr1|-	chr1:229577002-229577787	229577637	0.86	0.88	0.86	1.00	0.87	0.96	0.86	0.85	NA	0.84	0.96	0.91	0.87	0.87	0.88	0.87	0.89	0.93	0.85	0.86	0.90
NM_020239|CDC42SE1|chr1|-	chr1:151022745-151025803	151023601	0.14	0.17	0.20	0.71	0.29	0.18	0.16	0.18	0.42	0.23	0.16	0.23	0.27	0.14	0.14	0.15	0.21	0.32	0.13	0.16	0.18
NM_032368|LZIC|chr1|-	chr1:9986347-9990515	9990332	0.63	0.36	0.45	0.19	0.30	0.54	0.34	0.44	NA	0.41	0.53	0.57	0.33	0.67	0.75	0.50	0.50	0.31	0.57	0.43	0.41
NM_001658|ARF1|chr1|+	chr1:228285552-228286902	228285723	0.81	0.86	0.90	1.00	0.96	0.90	0.74	0.86	1.00	0.94	0.91	0.93	0.96	0.87	0.86	0.82	0.88	0.98	0.85	0.88	0.94
NM_022457|RFWD2|chr1|-	chr1:175913620-175914306	175914024	0.04	0.04	0.04	0.08	0.05	0.04	0.11	0.05	0.26	0.04	0.05	0.05	0.05	0.05	0.04	0.03	0.04	0.06	0.04	0.04	0.06
NM_001184763|UHMK1|chr1|+	chr1:162492193-162503940	162499374	0.01	NA	NA	NA	NA	NA	0.00	0.01	0.01	NA	0.01	NA	NA	0.01	0.01	0.01	0.01	NA	0.01	0.01	NA
NM_001142569|C1orf106|chr1|+	chr1:200882664-200889372	200884818	0.00	0.00	0.01	NA	0.01	0.01	NA	0.00	NA	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01
NM_015471|NSL1|chr1|-	chr1:212910606-212912028	212911214	0.22	0.26	0.24	0.34	0.41	0.29	NA	0.28	NA	0.19	0.26	0.27	0.26	0.23	0.22	0.18	0.25	0.39	0.19	0.18	0.35
NM_153213|ARHGEF19|chr1|-	chr1:16524369-16525239	16524743	0.33	0.34	0.55	0.71	0.54	0.60	NA	0.47	NA	0.60	0.58	0.45	0.46	0.38	0.42	0.55	0.52	0.68	0.41	0.52	0.34
NM_205861|DHDDS|chr1|+	chr1:26795385-26798841	26797757	0.11	0.04	0.08	0.04	0.01	0.10	NA	0.11	NA	0.04	0.05	0.17	0.09	0.09	0.05	0.03	0.02	0.06	0.10	0.05	0.03
NM_005686|SOX13|chr1|+	chr1:204094985-204097013	204096337	0.89	0.83	1.00	NA	0.98	1.00	NA	0.80	NA	0.94	0.94	NA	1.00	0.89	0.88	0.91	0.83	1.00	0.91	NA	0.96
NM_006335|TIMM17A|chr1|+	chr1:201938596-201939509	201938850	0.55	0.60	0.72	1.00	0.99	0.78	0.53	0.70	0.75	0.56	0.78	0.77	0.80	0.72	0.65	0.63	0.71	0.98	0.67	0.60	0.76
NM_001198972|KIAA1522|chr1|+	chr1:33238465-33240593	33238676	0.98	0.98	0.99	1.00	0.99	0.98	0.98	0.98	1.00	0.99	0.99	0.99	1.00	0.98	0.98	0.99	0.97	0.98	0.99	0.98	0.99
NM_024980|GPR157|chr1|-	chr1:9160354-9164693	9164495	0.72	0.80	NA	NA	NA	0.69	0.66	0.79	NA	NA	NA	NA	NA	0.75	0.75	0.78	0.71	NA	NA	0.80	0.79
NM_015627|LDLRAP1|chr1|+	chr1:25893338-25895379	25893544	0.89	0.97	0.95	NA	0.95	0.92	NA	0.95	NA	0.97	0.97	NA	0.93	0.94	0.92	0.95	0.96	0.98	0.92	0.94	0.97
NM_005857|ZMPSTE24|chr1|+	chr1:40758116-40759859	40758385	0.91	0.89	0.93	NA	0.91	0.88	0.80	0.91	0.90	0.95	0.92	0.94	0.93	0.89	0.92	0.88	0.91	0.90	0.86	0.87	0.95
NM_001136497|BTF3L4|chr1|+	chr1:52552383-52556678	52552778	0.38	0.21	0.19	0.12	0.23	0.23	0.32	0.25	0.59	0.25	0.24	0.28	0.29	0.27	0.34	0.29	0.24	0.20	0.26	0.23	0.22
NM_001198903|YY1AP1|chr1|-	chr1:155629245-155630704	155630554	1.00	1.00	1.00	1.00	1.00	1.00	0.76	1.00	0.60	0.99	1.00	1.00	1.00	0.98	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_001113348|ECE1|chr1|-	chr1:21543719-21546624	21546347	0.82	0.83	0.83	0.83	0.90	0.87	0.78	0.80	NA	0.84	0.89	0.92	0.87	0.87	0.84	0.78	0.78	0.83	0.86	0.75	0.84
NM_023077|SELRC1|chr1|-	chr1:53150097-53153840	53153230	0.78	0.72	0.71	NA	0.58	0.77	NA	0.59	NA	0.52	0.62	0.73	0.62	0.62	0.75	0.55	0.81	0.54	0.66	0.59	0.59
NM_007122|USF1|chr1|-	chr1:161009033-161009799	161009622	1.00	1.00	1.00	1.00	1.00	1.00	0.78	1.00	0.82	1.00	1.00	1.00	1.00	0.99	1.00	0.98	0.99	1.00	0.97	1.00	1.00
NM_145279|MOB3C|chr1|-	chr1:47072400-47075356	47073470	0.03	NA	0.06	NA	NA	0.11	NA	NA	NA	0.05	0.06	NA	0.08	0.04	0.03	0.03	NA	NA	0.06	0.06	0.06
NM_001256165|TMCO1|chr1|-	chr1:165696021-165697358	165696706	0.27	0.22	0.22	0.48	0.30	0.29	0.23	0.26	0.55	0.27	0.22	0.23	0.27	0.24	0.23	0.25	0.30	0.36	0.24	0.26	0.23
NM_017556|FBLIM1|chr1|+	chr1:16111042-16113109	16111413	0.88	0.81	0.79	NA	0.90	0.87	0.75	0.79	NA	0.82	0.89	0.88	0.90	0.88	0.77	0.78	0.76	0.85	0.91	0.80	0.83
NM_021639|GPBP1L1|chr1|-	chr1:46092892-46094080	46093330	0.45	0.47	0.44	0.96	0.71	0.51	0.37	0.54	0.83	0.59	0.57	0.55	0.60	0.53	0.44	0.48	0.47	0.78	0.43	0.46	0.62
NM_018085|IPO9|chr1|+	chr1:201845071-201853146	201845870	0.08	0.15	0.05	0.07	0.09	0.09	NA	0.09	NA	0.05	0.08	0.32	0.10	0.10	0.13	0.08	0.09	0.04	0.18	0.10	0.05
